site,species,plant_no,dry_mass_g,sla_cm2g,niche,genusspecies,group,niche2
la_selva,asplenium_auritum,2,0.005,40,epiphyte,aspaur,E2,epiphyte
la_selva,asplenium_auritum,1,0.0085,23.52941176,epiphyte,aspaur,E2,epiphyte
la_selva,asplenium_auritum,3,0.0061,32.78688525,epiphyte,aspaur,E2,epiphyte
la_selva,asplenium_auritum,6,0.0082,24.3902439,epiphyte,aspaur,E2,epiphyte
la_selva,asplenium_auritum,5,0.0073,27.39726027,epiphyte,aspaur,E2,epiphyte
la_selva,asplenium_auritum,4,0.0107,18.69158879,epiphyte,aspaur,E2,epiphyte
la_selva,asplenium_juglandifolium,3,0.0023,86.95652174,epiphyte,aspjug,E2,epiphyte
la_selva,asplenium_juglandifolium,1,0.0017,117.6470588,epiphyte,aspjug,E2,epiphyte
la_selva,asplenium_juglandifolium,2,0.0024,83.33333333,epiphyte,aspjug,E2,epiphyte
la_selva,asplenium_juglandifolium,4,0.0013,153.8461538,epiphyte,aspjug,E2,epiphyte
la_selva,asplenium_juglandifolium,5,0.0016,125,epiphyte,aspjug,E2,epiphyte
la_selva,asplenium_serratum,3,0.0058,86.20689655,epiphyte,aspser,E2,epiphyte
la_selva,asplenium_serratum,1,0.0098,51.02040816,epiphyte,aspser,E2,epiphyte
la_selva,asplenium_serratum,2,0.0048,104.1666667,epiphyte,aspser,E2,epiphyte
la_selva,asplenium_serratum,4,0.0064,78.125,epiphyte,aspser,E2,epiphyte
la_selva,asplenium_serratum,5,0.0083,60.24096386,epiphyte,aspser,E2,epiphyte
la_selva,asplenium_serratum,6,0.0069,72.46376812,epiphyte,aspser,E2,epiphyte
la_selva,blechnum_occidentale,5,0.0081,61.72839506,terrestrial,bleocc,E2,terrestrial
la_selva,blechnum_occidentale,6,0.0096,52.08333333,terrestrial,bleocc,E2,terrestrial
la_selva,blechnum_occidentale,1,0.0067,74.62686567,terrestrial,bleocc,E2,terrestrial
la_selva,blechnum_occidentale,2,0.0071,70.42253521,terrestrial,bleocc,E2,terrestrial
la_selva,blechnum_occidentale,3,0.0081,61.72839506,terrestrial,bleocc,E2,terrestrial
la_selva,blechnum_occidentale,4,0.0076,65.78947368,terrestrial,bleocc,E2,terrestrial
la_selva,campyloneurum_brevifolium,3,0.0112,44.64285714,epiphyte,cambre,E1,epiphyte
la_selva,campyloneurum_brevifolium,6,0.0139,35.97122302,epiphyte,cambre,E1,epiphyte
la_selva,campyloneurum_brevifolium,1,0.009,55.55555556,epiphyte,cambre,E1,epiphyte
la_selva,campyloneurum_brevifolium,4,0.0111,45.04504505,epiphyte,cambre,E1,epiphyte
la_selva,campyloneurum_brevifolium,5,0.0106,47.16981132,epiphyte,cambre,E1,epiphyte
la_selva,campyloneurum_brevifolium,2,0.0116,47.4137931,epiphyte,cambre,E1,epiphyte
