site,species,plant_no,genusspecies,niche2,niche,group,lamina_area_cm2,frond_length_cm,stipe_length_cm,lamina_length_cm,chl_mg_m2,xylem_area_mm2,huber,guardcell_length_um,average_guardcell_width_um,stomatal_size,sd_mm2,SWC,osmotic_potential,waterpot_tlp,rwc_tlp,elasticity,capacitance_full,capacitance_zero,capacitance_absolute,sla_cm2g,d13C,d15N,c_perc,n_perc
la_selva,asplenium_auritum,1,aspaur,epiphyte,epiphyte,E2,61.5,34.8,10.4,24.4,363,0.029229,4.75E-06,0.0554125,0.011825,0.00130892,29.39814815,4.72441444,-0.556664017,-0.690985057,96.77150667,14.32527046,0.054222328,0.129335634,0.360533796,23.52941176,-34.33,-2.19,43.09442641,3.140422078
la_selva,asplenium_auritum,2,aspaur,epiphyte,epiphyte,E2,58.5,42.7,16.1,26.6,224,0.02361,4.04E-06,0.0527125,0.0115875,0.00121966,31.48148148,NA,NA,NA,NA,NA,NA,NA,NA,40,-34.65,-1.53,42.75867861,2.456047032
la_selva,asplenium_auritum,3,aspaur,epiphyte,epiphyte,E2,25,31.8,12.2,19.6,300,0.03141,1.26E-05,0.0462,0.010375,0.00095389,18.05555556,NA,NA,NA,NA,NA,NA,NA,NA,32.78688525,-36.01,-2.66,43.30630631,2.449324324
la_selva,asplenium_auritum,4,aspaur,epiphyte,epiphyte,E2,28.6,20.6,6.5,14.1,420,0.017878,6.25E-06,0.0480875,0.010925,0.0010511,56.34259259,NA,NA,NA,NA,NA,NA,NA,NA,18.69158879,-31.57,0.42,40.48032603,2.507026419
la_selva,asplenium_auritum,5,aspaur,epiphyte,epiphyte,E2,55.7,30.5,7.2,23.3,363,0.022458,4.03E-06,0.044075,0.0115875,0.001030033,30.32407407,3.54711124,-0.707036323,-0.813800645,98.25083387,39.36269758,0.021864577,0.095379818,0.133163725,27.39726027,-31.5,2.25,42.59174568,2.032626882
la_selva,asplenium_auritum,6,aspaur,epiphyte,epiphyte,E2,41.8,27.5,7.3,20.2,332,0.017343,4.15E-06,0.0491875,0.010175,0.00099685,29.49074074,NA,NA,NA,NA,NA,NA,NA,NA,24.3902439,-32.06,2.72,43.42339149,2.987459106
la_selva,asplenium_auritum,7,aspaur,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.641099646,-0.729342871,-1.072728541,94.55589739,9.124925582,0.064029347,0.10601806,1.283290954,NA,NA,NA,NA,NA
la_selva,asplenium_auritum,8,aspaur,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.672375884,-0.380289724,-0.619664306,87.51050406,2.722152065,0.207698975,0.225534311,2.441651101,NA,NA,NA,NA,NA
la_selva,asplenium_auritum,9,aspaur,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.041001822,-0.879015611,-1.217881566,92.7671078,11.81714906,0.059314191,0.128149173,0.59315274,NA,NA,NA,NA,NA
la_selva,asplenium_auritum,10,aspaur,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.409389541,-0.460776951,-0.515607729,95.91361036,4.499902106,0.161898109,0.339484055,2.336084882,NA,NA,NA,NA,NA
la_selva,asplenium_juglandifolia,1,aspjug,epiphyte,epiphyte,E2,53.6,19,0,19,46,NA,NA,0.0508875,0.009725,0.000988295,28.78179384,5.169424706,-0.772098749,-0.879521976,93.96797803,12.56704421,0.069750189,0.320569644,0.926460347,117.6470588,-31,0.69,42.68779278,1.54973822
la_selva,asplenium_juglandifolia,2,aspjug,epiphyte,epiphyte,E2,139.8,56,19,37,110,0.042102,3.01E-06,0.051488889,0.0106,0.00109198,24.5426149,NA,NA,NA,NA,NA,NA,NA,NA,83.33333333,-30.98,1.5,42.69880885,1.792682927
la_selva,asplenium_juglandifolia,3,aspjug,epiphyte,epiphyte,E2,57,69,30,39,135,0.056099,9.84E-06,0.0496,0.010233333,0.001016213,22.75769746,NA,NA,NA,NA,NA,NA,NA,NA,86.95652174,-32.47,2.8,42.46221591,1.755397727
la_selva,asplenium_juglandifolia,4,aspjug,epiphyte,epiphyte,E2,24.9,14.5,3.5,11,46,0.012428,4.99E-06,0.0525125,0.0107625,0.00113044,22.31146809,NA,NA,NA,NA,NA,NA,NA,NA,153.8461538,-32.47,1.79,39.46440774,0.880979499
la_selva,asplenium_juglandifolia,5,aspjug,epiphyte,epiphyte,E2,34,19,3,16,249,0.013227,3.89E-06,0.052055556,0.010433333,0.001083396,13.16376618,4.808107212,-0.893043708,-1.058981098,94.28005844,16.22603552,0.052140327,0.189295734,0.188191573,125,NA,NA,NA,NA
la_selva,asplenium_juglandifolia,7,aspjug,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.487559069,-0.450179834,-0.567027074,96.16132884,9.71367121,0.077978475,0.111518618,0.960924037,NA,NA,NA,NA,NA
la_selva,asplenium_juglandifolia,8,aspjug,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.854134151,-0.882086304,-1.035107835,95.09690705,15.54164864,0.05346148,0.18002415,0.775285163,NA,NA,NA,NA,NA
la_selva,asplenium_serratum,1,aspser,epiphyte,epiphyte,E2,248,47,0,47,389,0.059051,2.38E-06,0.065711111,0.016522222,0.002180496,13.16376618,6.966683753,-0.535328698,-0.698440591,96.99720004,15.10995062,0.048418384,0.098164815,0.287594771,51.02040816,-34.98,-0.99,39.58922285,3.683725968
la_selva,asplenium_serratum,2,aspser,epiphyte,epiphyte,E2,209,47,0,47,471,0.055754,2.67E-06,0.064966667,0.016166667,0.0021012,14.50245426,NA,NA,NA,NA,NA,NA,NA,NA,104.1666667,-35.69,0.01,41.37895637,3.798403194
la_selva,asplenium_serratum,3,aspser,epiphyte,epiphyte,E2,403,67,0,67,585,0.120665,2.99E-06,0.076488889,0.016144444,0.002475049,11.60196341,NA,NA,NA,NA,NA,NA,NA,NA,86.20689655,-34.08,0.22,41.00730124,2.924283396
la_selva,asplenium_serratum,4,aspser,epiphyte,epiphyte,E2,272,68,0,68,611,0.07383,2.71E-06,0.077922222,0.0162,0.002532444,9.3708166,NA,NA,NA,NA,NA,NA,NA,NA,78.125,-34.21,0.47,42.29156429,2.435162435
la_selva,asplenium_serratum,5,aspser,epiphyte,epiphyte,E2,358,75,0,75,578,0.105834,2.96E-06,0.058655556,0.015866667,0.001870722,13.60999554,5.200257272,-0.623017097,-0.82749504,96.45852154,15.14741344,0.04733594,0.078966212,0.223650105,60.24096386,-35.85,-0.64,34.43822122,2.96200394
la_selva,asplenium_serratum,6,aspser,epiphyte,epiphyte,E2,596,72,0,72,490,0.122967,2.06E-06,0.0602,0.014011111,0.001687524,15.70727354,NA,NA,NA,NA,NA,NA,NA,NA,72.46376812,-34.78,0.91,41.82201533,3.957009858
la_selva,asplenium_serratum,7,aspser,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.543013921,-0.872049231,-1.11371133,93.95844012,13.67770364,0.055256297,0.145121483,0.157213931,NA,NA,NA,NA,NA
la_selva,asplenium_serratum,8,aspser,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.16183262,-0.946891429,-1.123557049,96.58628219,26.97384213,0.030675591,0.118201547,0.081598504,NA,NA,NA,NA,NA
la_selva,asplenium_serratum,9,aspser,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.120619599,-0.586185877,-0.782966382,97.92548877,27.87033067,0.026256088,0.047992386,0.077886356,NA,NA,NA,NA,NA
la_selva,asplenium_serratum,10,aspser,epiphyte,epiphyte,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.717681214,-0.701959553,-0.817673002,96.55841472,18.25613433,0.04610565,0.194503742,0.148481143,NA,NA,NA,NA,NA
la_selva,blechnum_occidentale,1,bleocc,terrestrial,terrestrial,E2,189.4,64.8,29.2,35.6,427,0.092216,4.87E-06,0.0529875,0.00965,0.001017835,29.62962963,2.800700015,-1.080060349,-1.221002777,97.44780275,39.2338439,0.022286572,0.140344634,0.077757027,74.62686567,-34.41,2.13,42.63093623,2.300949796
la_selva,blechnum_occidentale,2,bleocc,terrestrial,terrestrial,E2,170.6,88.8,27,61.8,592,0.140674,8.25E-06,0.05555,0.0111625,0.001237105,31.25,NA,NA,NA,NA,NA,NA,NA,NA,70.42253521,-34.83,1.81,41.01065919,1.491164095
la_selva,blechnum_occidentale,3,bleocc,terrestrial,terrestrial,E2,259.9,100.7,28.4,72.3,465,0.13814,5.32E-06,0.051557143,0.008885714,0.000920783,45.60185185,NA,NA,NA,NA,NA,NA,NA,NA,61.72839506,-32.25,1.46,44.33954276,2.184871578
la_selva,blechnum_occidentale,4,bleocc,terrestrial,terrestrial,E2,191.4,67.8,31.6,36.2,338,0.100628,5.26E-06,0.0507125,0.0101375,0.001024418,28.88888889,NA,NA,NA,NA,NA,NA,NA,NA,65.78947368,-34.98,1.76,43.42339149,1.426663032
la_selva,blechnum_occidentale,5,bleocc,terrestrial,terrestrial,E2,185.8,66.1,15.8,50.3,515,0.099148,5.34E-06,0.05405,0.0095625,0.0010324,40.92592593,3.159761759,-1.151232854,-1.286836909,95.13098851,24.11225696,0.037053778,0.296766233,0.148314941,61.72839506,-32.89,1.7,43.91106881,2.644547185
la_selva,blechnum_occidentale,6,bleocc,terrestrial,terrestrial,E2,190.7,52.4,18.1,34.3,509,0.118353,6.21E-06,0.0511375,0.008975,0.00092024,55.55555556,NA,NA,NA,NA,NA,NA,NA,NA,52.08333333,-32.81,1.05,46.0926683,2.15017716
la_selva,blechnum_occidentale,8,bleocc,terrestrial,terrestrial,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.795947753,-0.918319881,-1.014807613,96.63445948,27.60527608,0.032993604,0.174681638,0.104265425,NA,NA,NA,NA,NA
la_selva,blechnum_occidentale,9,bleocc,terrestrial,terrestrial,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.341574732,-0.737160629,-0.912870764,98.27090952,40.72104492,0.019247656,0.051785654,0.064444409,NA,NA,NA,NA,NA
la_selva,blechnum_occidentale,10,bleocc,terrestrial,terrestrial,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59593091,-0.818215117,-1.251356869,96.01005676,21.56966841,0.030165302,0.052798459,0.111896529,NA,NA,NA,NA,NA
