Species,GF,log LL,log LMA,log Nmass,log Narea,,,,
Oreopanax obtusifolius,EP,,2.12,,,,,,
Blakea foliacea,EP,,1.86,,,,,,
Ficus macbridei,EP,,2.21,,,,,,
Clusia stenophylla,EP,,2.42,,,,,,
Nephrolepsis sp,F,,2.19,0.037,0.226,,,,
Dicranopteris linearis,F,,1.92,0.037,-0.039,,,,
Nephrolepsis sp,F,,1.68,0.045,-0.275,,,,
Cibotium glaucum,F,,1.78,0.220,-0.001,,,,
Dicranopteris linearis,F,,2.04,-0.018,0.024,,,,
Pteridium aquilinum,F,,2.03,0.332,0.367,,,,
Diphasiastrum complanatum,F,,,-0.095,,,,,
Equisetum sylvaticum,F,,1.61,0.363,-0.025,,,,
Lycopodium annotinum,F,,,-0.066,,,,,
Matteuccia struthiopteris,F,,1.57,0.517,0.083,,,,
Athylium wallichianum,F,,1.94,0.497,0.436,,,,
Equisetum arvense,F,0.56,2.00,0.324,0.329,,,,
Equisetum variegatum,F,0.56,2.20,0.350,0.549,,,,
Carex kauaiensis,G,,2.18,-0.013,0.162,,,,
Heteropogon contortus,G,,1.66,0.072,-0.273,,,,
Machaerina mariscoides,G,,2.35,-0.161,0.189,,,,
Luzula alpino-pilosa,G,0.28,1.83,0.474,0.307,,,,
Poa laxa,G,,1.60,0.635,0.233,,,,
Bomarea glaucescens,G,,2.06,0.336,0.393,,,,
Calamagrostis intermedia,G,,2.30,-0.174,0.125,,,,
Carex pichinchensis,G,,1.94,0.217,0.162,,,,
Luzula gigantea,G,,1.77,0.190,-0.039,,,,
Agrostis nigritella,G,,1.97,0.334,0.303,,,,
Luzula racemosa,G,0.82,2.01,0.093,0.102,,,,
Bromus lanatus,G,,1.93,0.420,0.354,,,,
Aegilops geniculata,G,,1.57,0.514,0.082,,,,
Aegilops ovata,G,,1.64,0.452,0.090,,,,
Avena barbata,G,,1.61,0.382,-0.001,,,,
Avenula bromoides,G,,1.74,0.305,0.087,,,,
Brachypodium distachyon,G,,1.48,0.236,-0.271,,,,
Brachypodium phoenicoides,G,,1.80,0.210,0.040,,,,
Brachypodium retusum,G,,1.74,0.281,0.034,,,,
Bromus erectus,G,,1.74,0.328,0.075,,,,
Bromus lanceolatus,G,,1.59,0.274,-0.123,,,,
Bromus madritiensis,G,,1.43,0.324,-0.243,,,,
Dactylis glomerata,G,,1.65,0.441,0.090,,,,
Desmazeria rigida,G,,1.63,0.407,0.070,,,,
Dichanthium ischaemum,G,,1.54,0.305,-0.155,,,,
Melica ciliata,G,,1.63,0.432,0.086,,,,
Phleum pratense,G,,1.57,0.427,0.016,,,,
Brachypodium phoenicoides,G,0.71,1.74,0.325,0.070,,,,
Dactylis glomerata,G,,1.55,0.536,0.087,,,,
Aegilops geniculata,G,0.32,1.64,0.399,0.043,,,,
Agropyron sp,G,,1.56,0.544,0.112,,,,
Avena barbata,G,,1.60,0.394,-0.010,,,,
Avenula bromoides,G,0.41,1.80,0.240,0.036,,,,
Brachypodium distachyon,G,0.34,1.53,0.384,-0.090,,,,
Brachypodium phoenicoides,G,0.57,1.81,0.230,0.075,,,,
Bromus erectus,G,0.45,1.73,0.300,0.047,,,,
Bromus hordeaceus,G,,1.55,0.427,-0.016,,,,
Bromus lanceolatus,G,0.33,1.61,0.342,-0.046,,,,
Bromus madritiensis,G,,1.45,0.336,-0.206,,,,
Carex hallerana,G,0.62,1.86,0.270,0.130,,,,
Dactylis glomerata,G,0.30,1.66,0.480,0.140,,,,
Hordeum murinum,G,,1.53,0.484,0.022,,,,
Lolium rigidum,G,,1.60,0.394,-0.002,,,,
Phleum pratense,G,0.31,1.61,0.391,0.004,,,,
Vulpia ciliata,G,,1.42,0.320,-0.234,,,,
Calamagrostis lapponica,G,,1.59,0.245,-0.165,,,,
Carex capitata,G,,1.88,0.232,0.108,,,,
Carex rostrata,G,,1.84,0.383,0.221,,,,
Carex vaginata,G,,1.79,0.286,0.080,,,,
Deschampsia cespitosa,G,,1.74,0.270,0.014,,,,
Elytrigia repens,G,,1.62,0.388,0.005,,,,
Eriophorum angustifolium,G,,1.88,0.409,0.293,,,,
Juncus arcticus,G,,2.36,0.349,0.705,,,,
Carex saxatilis,G,,1.79,0.462,0.253,,,,
Juncus trifidus,G,,1.76,0.509,0.271,,,,
Luzula multiflora,G,,1.53,0.361,-0.106,,,,
Phleum alpinum,G,,1.62,0.499,0.117,,,,
