"sample_id","genusspecies","individual","K","MPa","curve_id","perc_loss_k","PLC"
"aspuni_2_0.00","aspuni",2,0.121256326925921,0,"aspuni-2",1,100
"aspuni_3_0.00","aspuni",3,0.1640967400244,0,"aspuni-3",1,100
"aspuni_4_0.00","aspuni",4,0.121075896082875,0,"aspuni-4",1,100
"aspuni_5_0.00","aspuni",5,0.110221286205745,0,"aspuni-5",1,100
"aspuni_6_0.00","aspuni",6,0.102016221088197,0,"aspuni-6",1,100
"aspuni_7_0.00","aspuni",7,0.112022214827635,0,"aspuni-7",1,100
"dippro_1_0.00","dippro",1,2.19243451227782,0,"dippro-1",1,100
"dippro_1_0.50","dippro",1,0.770809571700502,0.5,"dippro-1",0.351577010571537,35.1577010571537
"dippro_1_1.00","dippro",1,0.407315480515746,1,"dippro-1",0.185782279121563,18.5782279121563
"dippro_1_1.50","dippro",1,0.0559567690246343,1.5,"dippro-1",0.0255226638293056,2.55226638293056
"dippro_2_0.00","dippro",2,2.1169146048831,0,"dippro-2",1,100
"dippro_2_0.25","dippro",2,1.63490602525356,0.25,"dippro-2",0.772306082391,77.2306082391
"dippro_2_0.50","dippro",2,1.62432990331537,0.5,"dippro-2",0.767310074562534,76.7310074562534
"dippro_2_0.75","dippro",2,1.65606862166526,0.75,"dippro-2",0.78230298843666,78.230298843666
"dippro_2_1.00","dippro",2,1.01440148846317,1,"dippro-2",0.47918866737621,47.918866737621
"dippro_2_1.25","dippro",2,0.509198517150341,1.25,"dippro-2",0.240538052869856,24.0538052869856
"dippro_2_1.50","dippro",2,0.286564602546103,1.5,"dippro-2",0.135368994991618,13.5368994991618
"dippro_4_0.00","dippro",4,1.08477977674301,0,"dippro-4",1,100
"dippro_4_0.50","dippro",4,0.473171263278325,0.5,"dippro-4",0.436191080828402,43.6191080828402
"dippro_4_1.00","dippro",4,0.113565158470773,1,"dippro-4",0.104689597746508,10.4689597746508
"dippro_4_1.50","dippro",4,0.137965801348957,1.5,"dippro-4",0.127183235073936,12.7183235073936
"dippro_5_0.00","dippro",5,0.740388930080928,0,"dippro-5",1,100
"dippro_5_0.50","dippro",5,0.490455562463584,0.5,"dippro-5",0.662429626561238,66.2429626561238
"dippro_5_1.00","dippro",5,0.408899022544278,1,"dippro-5",0.552275980814007,55.2275980814007
"dippro_5_1.50","dippro",5,0.297658544100037,1.5,"dippro-5",0.402029976417262,40.2029976417262
"dippro_6_0.00","dippro",6,1.21414893114647,0,"dippro-6",1,100
"dippro_6_0.50","dippro",6,0.860582857443318,0.5,"dippro-6",0.708795136549436,70.8795136549436
"dippro_6_1.00","dippro",6,0.528205260920667,1,"dippro-6",0.435041573048129,43.5041573048129
"dippro_6_1.50","dippro",6,0.20109911903424,1.5,"dippro-6",0.1656296965516,16.56296965516
"dippro_7_0.00","dippro",7,0.902361732054243,0,"dippro-7",1,100
"dippro_7_0.50","dippro",7,0.722456105077158,0.5,"dippro-7",0.800628040190128,80.0628040190128
"dippro_7_1.00","dippro",7,0.248286660431563,1,"dippro-7",0.275152027852881,27.5152027852881
"dippro_7_1.50","dippro",7,0.0541536817158444,1.5,"dippro-7",0.0600132738259662,6.00132738259662
"drypat_1_0.00","drypat",1,1.91213747881904,0,"drypat-1",1,100
"drypat_1_0.50","drypat",1,1.79434366198622,0.5,"drypat-1",0.938396784678072,93.8396784678072
"drypat_1_1.00","drypat",1,0.80233962808584,1,"drypat-1",0.419603525883179,41.9603525883179
"drypat_1_1.50","drypat",1,0.0758560824081273,1.5,"drypat-1",0.0396708308102287,3.96708308102287
"drypat_1_2.00","drypat",1,0.105828366291435,2,"drypat-1",0.0553455844382046,5.53455844382046
"drypat_2_0.00","drypat",2,4.27498713940855,0,"drypat-2",1,100
"drypat_2_0.50","drypat",2,1.04284934227751,0.5,"drypat-2",0.243942100471861,24.3942100471861
"drypat_2_1.00","drypat",2,0.269687875894927,1,"drypat-2",0.0630850730307083,6.30850730307083
"drypat_2_1.50","drypat",2,0.00195050171604796,1.5,"drypat-2",0.000456259083932077,0.0456259083932077
"drypat_2_2.00","drypat",2,-0.0216694714751116,2,"drypat-2",-0.00506889746529379,-0.506889746529379
"drypat_3_0.00","drypat",3,1.36954825035001,0,"drypat-3",1,100
"drypat_3_0.50","drypat",3,0.876305546850707,0.5,"drypat-3",0.639850072187491,63.9850072187491
"drypat_3_1.00","drypat",3,0.403436789257001,1,"drypat-3",0.294576543143986,29.4576543143986
"drypat_3_1.50","drypat",3,0.113307664346078,1.5,"drypat-3",0.0827336052724836,8.27336052724836
"drypat_3_2.00","drypat",3,0.0658988889465353,2,"drypat-3",0.0481172451789805,4.81172451789805
"drypat_4_0.00","drypat",4,1.48629936235585,0,"drypat-4",1,100
"drypat_4_0.50","drypat",4,1.0218152988862,0.5,"drypat-4",0.68748956284727,68.748956284727
"drypat_4_1.00","drypat",4,0.510176756803944,1,"drypat-4",0.343253028108208,34.3253028108208
"drypat_4_1.50","drypat",4,0.0721269396906281,1.5,"drypat-4",0.0485278682864425,4.85278682864425
"drypat_4_2.00","drypat",4,0.0372403384142927,2,"drypat-4",0.025055745401966,2.5055745401966
"drypat_5_0.00","drypat",5,1.97374622911252,0,"drypat-5",1,100
"drypat_5_0.50","drypat",5,1.37549531803974,0.5,"drypat-5",0.69689572942628,69.689572942628
"drypat_5_1.00","drypat",5,0.264673617245318,1,"drypat-5",0.134097085705049,13.4097085705049
"drypat_5_1.50","drypat",5,0.202961613436795,1.5,"drypat-5",0.102830652919375,10.2830652919375
"drypat_5_2.00","drypat",5,0.00505146822755373,2,"drypat-5",0.00255933014743495,0.255933014743495
"drypat_6_0.00","drypat",6,1.39019462292954,0,"drypat-6",1,100
"drypat_6_0.50","drypat",6,1.01372363789911,0.5,"drypat-6",0.729195481826063,72.9195481826063
"drypat_6_1.00","drypat",6,0.368890315504349,1,"drypat-6",0.265351562594157,26.5351562594157
"drypat_6_1.50","drypat",6,0.0972162503470974,1.5,"drypat-6",0.0699299571035848,6.99299571035848
"drypat_6_2.00","drypat",6,0.0318291442195582,2,"drypat-6",0.0228954591641888,2.28954591641888
"eladec_1_0.00","eladec",1,0.127024722031132,0,"eladec-1",1,100
"eladec_2_0.00","eladec",2,0.0908474476925129,0,"eladec-2",1,100
"eladec_3_0.00","eladec",3,0.0873993274887413,0,"eladec-3",1,100
"eladec_4_0.00","eladec",4,0.142206254365774,0,"eladec-4",1,100
"eladec_5_0.00","eladec",5,0.11642412454872,0,"eladec-5",1,100
"eladec_6_0.00","eladec",6,0.139064776067531,0,"eladec-6",1,100
"lommax_1_0.00","lommax",1,1.1073356850455,0,"lommax-1",1,100
"lommax_1_0.50","lommax",1,0.737552514957649,0.5,"lommax-1",0.666060459279193,66.6060459279193
"lommax_1_1.00","lommax",1,0.859980953740017,1,"lommax-1",0.776621728491191,77.6621728491191
"lommax_1_1.50","lommax",1,0.718710344973965,1.5,"lommax-1",0.649044688688445,64.9044688688445
"lommax_1_2.00","lommax",1,0.527904525551081,2,"lommax-1",0.476733959431089,47.6733959431089
"lommax_1_2.50","lommax",1,0.174314562988544,2.5,"lommax-1",0.157417994690003,15.7417994690003
"lommax_1_3.00","lommax",1,0.0299346164580033,3,"lommax-1",0.0270330098291497,2.70330098291497
"lommax_2_0.00","lommax",2,0.118484182205888,0,"lommax-2",1,100
"lommax_3_0.00","lommax",3,0.894992989741382,0,"lommax-3",1,100
"lommax_3_0.50","lommax",3,0.709093720748979,0.5,"lommax-3",0.792289692630866,79.2289692630866
"lommax_3_1.00","lommax",3,0.691856753691875,1,"lommax-3",0.773030360709077,77.3030360709077
"lommax_3_1.50","lommax",3,0.537119811242278,1.5,"lommax-3",0.600138568009885,60.0138568009885
"lommax_3_2.00","lommax",3,0.505513982405979,2,"lommax-3",0.564824516169734,56.4824516169734
"lommax_3_2.50","lommax",3,0.285151777318278,2.5,"lommax-3",0.318607833342556,31.8607833342556
"lommax_3_3.00","lommax",3,0.0138327043191026,3,"lommax-3",0.0154556566114554,1.54556566114554
"lommax_4_0.00","lommax",4,1.45253099257849,0,"lommax-4",1,100
"lommax_4_0.50","lommax",4,0.812192347259608,0.5,"lommax-4",0.559156638591117,55.9156638591117
"lommax_4_1.00","lommax",4,0.876533903275175,1,"lommax-4",0.603452806001184,60.3452806001184
"lommax_4_1.50","lommax",4,0.771284045215704,1.5,"lommax-4",0.53099317615698,53.099317615698
"lommax_4_2.00","lommax",4,0.456350761197756,2,"lommax-4",0.314176264416675,31.4176264416675
"lommax_4_2.50","lommax",4,0.347926313878454,2.5,"lommax-4",0.239531077585357,23.9531077585357
"lommax_4_3.00","lommax",4,0.139612689954998,3,"lommax-4",0.0961168406514763,9.61168406514763
"lommax_5_0.00","lommax",5,0.588750979549881,0,"lommax-5",1,100
"lommax_6_0.00","lommax",6,0.403359083753577,0,"lommax-6",1,100
"lommax_7_0.00","lommax",7,0.604792810716135,0,"lommax-7",1,100
"nipcra_2_0.00","nipcra",2,0.199725860229019,0,"nipcra-2",1,100
"nipcra_3_0.00","nipcra",3,0.0730279143028194,0,"nipcra-3",1,100
"nipcra_4_0.00","nipcra",4,0.94654349835334,0,"nipcra-4",1,100
"nipcra_6_0.00","nipcra",6,1.57309401877589,0,"nipcra-6",1,100
"nipcra_8_0.00","nipcra",8,0.97015863761775,0,"nipcra-8",1,100
"olecos_2_0.00","olecos",2,2.75107824107534,0,"olecos-2",1,100
"olecos_2_0.50","olecos",2,1.97834081681136,0.5,"olecos-2",0.719114704654153,71.9114704654153
"olecos_2_1.00","olecos",2,1.54852268853232,1,"olecos-2",0.562878461765245,56.2878461765245
"olecos_2_1.50","olecos",2,0.980228720332869,1.5,"olecos-2",0.356307103773871,35.6307103773871
"olecos_2_2.00","olecos",2,0.227825309770997,2,"olecos-2",0.0828130971956453,8.28130971956453
"olecos_2_2.50","olecos",2,0.010405614017275,2.5,"olecos-2",0.00378237661943327,0.378237661943327
"olecos_3_0.00","olecos",3,3.37323686870307,0,"olecos-3",1,100
"olecos_3_0.50","olecos",3,2.11611132223061,0.5,"olecos-3",0.627323667028521,62.7323667028521
"olecos_3_1.00","olecos",3,1.16854722418186,1,"olecos-3",0.346417186122818,34.6417186122818
"olecos_3_1.50","olecos",3,0.865514938719799,1.5,"olecos-3",0.25658291202437,25.658291202437
"olecos_3_2.00","olecos",3,0.122048889954386,2,"olecos-3",0.0361815356302894,3.61815356302894
"olecos_3_2.50","olecos",3,0.0474691183737254,2.5,"olecos-3",0.0140722754497748,1.40722754497748
"olecos_4_0.00","olecos",4,4.07085926738524,0,"olecos-4",1,100
"olecos_4_0.50","olecos",4,2.6596476183926,0.5,"olecos-4",0.653338139124844,65.3338139124843
"olecos_4_1.00","olecos",4,1.96245314793428,1,"olecos-4",0.48207344421287,48.207344421287
"olecos_4_1.50","olecos",4,1.3478171893351,1.5,"olecos-4",0.331089114313897,33.1089114313897
