species,site,plant_no,dry_mass,lamina_area,SWC,osmotic_potential,waterpot_tlp,rwc_tlp,elasticity,capacitance_full,capacitance_zero.,capacitance_absolute,niche,genusspecies,group
asplenium_auritum,la_selva,1,0.1558,61.5,4.72441444,-0.556664017,-0.690985057,96.77150667,14.32527046,0.054222328,0.129335634,0.360533796,epiphyte,aspaur,E2
asplenium_auritum,la_selva,2,0.1808,58.5,3.54711124,-0.707036323,-0.813800645,98.25083387,39.36269758,0.021864577,0.095379818,0.133163725,epiphyte,aspaur,E2
asplenium_auritum,la_selva,3,0.2477,25,3.641099646,-0.729342871,-1.072728541,94.55589739,9.124925582,0.064029347,0.10601806,1.283290954,epiphyte,aspaur,E2
asplenium_auritum,la_selva,4,0.0907,28.6,6.672375884,-0.380289724,-0.619664306,87.51050406,2.722152065,0.207698975,0.225534311,2.441651101,epiphyte,aspaur,E2
asplenium_auritum,la_selva,5,0.3297,55.7,3.041001822,-0.879015611,-1.217881566,92.7671078,11.81714906,0.059314191,0.128149173,0.59315274,epiphyte,aspaur,E2
asplenium_auritum,la_selva,6,0.2007,41.8,5.409389541,-0.460776951,-0.515607729,95.91361036,4.499902106,0.161898109,0.339484055,2.336084882,epiphyte,aspaur,E2
asplenium_juglandifolium,la_selva,1,0.2479,53.6,5.169424706,-0.772098749,-0.879521976,93.96797803,12.56704421,0.069750189,0.320569644,0.926460347,epiphyte,aspjug,E2
asplenium_juglandifolium,la_selva,2,0.1889,139.8,4.808107212,-0.893043708,-1.058981098,94.28005844,16.22603552,0.052140327,0.189295734,0.188191573,epiphyte,aspjug,E2
asplenium_juglandifolium,la_selva,3,0.2304,57,5.487559069,-0.450179834,-0.567027074,96.16132884,9.71367121,0.077978475,0.111518618,0.960924037,epiphyte,aspjug,E2
asplenium_juglandifolium,la_selva,4,0.1339,24.9,4.854134151,-0.882086304,-1.035107835,95.09690705,15.54164864,0.05346148,0.18002415,0.775285163,epiphyte,aspjug,E2
asplenium_serratum,la_selva,1,0.3806,248,6.966683753,-0.535328698,-0.698440591,96.99720004,15.10995062,0.048418384,0.098164815,0.287594771,epiphyte,aspser,E2
asplenium_serratum,la_selva,2,0.3418,209,5.200257272,-0.623017097,-0.82749504,96.45852154,15.14741344,0.04733594,0.078966212,0.223650105,epiphyte,aspser,E2
asplenium_serratum,la_selva,3,0.4543,403,4.543013921,-0.872049231,-1.11371133,93.95844012,13.67770364,0.055256297,0.145121483,0.157213931,epiphyte,aspser,E2
asplenium_serratum,la_selva,4,0.4119,272,3.16183262,-0.946891429,-1.123557049,96.58628219,26.97384213,0.030675591,0.118201547,0.081598504,epiphyte,aspser,E2
asplenium_serratum,la_selva,5,0.4639,358,4.120619599,-0.586185877,-0.782966382,97.92548877,27.87033067,0.026256088,0.047992386,0.077886356,epiphyte,aspser,E2
asplenium_serratum,la_selva,6,0.5143,596,6.717681214,-0.701959553,-0.817673002,96.55841472,18.25613433,0.04610565,0.194503742,0.148481143,epiphyte,aspser,E2
asplenium_uniseriale,las_cruces,3,0.1648,152.18,6.975403615,-0.329955583,-0.453791397,95.42458569,5.712193585,0.120224969,0.125657357,0.504534815,terrestrial,aspuni,E2
asplenium_uniseriale,las_cruces,4,0.1125,60.7,10.0102651,-0.451530654,-0.544175946,94.81822374,7.612181685,0.106625112,0.332538401,1.098996744,terrestrial,aspuni,E2
asplenium_uniseriale,las_cruces,5,0.0931,92.51,9.318790097,-1.012072076,-1.124164715,95.37456054,21.88333309,0.041081404,0.297664251,0.214039194,terrestrial,aspuni,E2
asplenium_uniseriale,las_cruces,6,0.1634,67.53,6.492631792,-0.455779126,-0.518059102,97.66744016,14.62434858,0.058148995,0.223367366,0.507511384,terrestrial,aspuni,E2
asplenium_uniseriale,las_cruces,7,0.1308,65.46,9.744462897,-0.644980746,-0.738905663,94.15682064,9.753456098,0.088076663,0.456629152,0.952747895,terrestrial,aspuni,E2
asplenium_uniseriale,las_cruces,8,0.1291,74,6.199732834,-0.873828175,-0.960833944,94.14838121,14.98771781,0.060649918,0.498944393,0.364439305,terrestrial,aspuni,E2
blechnum_occidentale,la_selva,1,0.4247,189.4,2.800700015,-1.080060349,-1.221002777,97.44780275,39.2338439,0.022286572,0.140344634,0.077757027,terrestrial,bleocc,E2
blechnum_occidentale,la_selva,2,0.389,170.6,3.159761759,-1.151232854,-1.286836909,95.13098851,24.11225696,0.037053778,0.296766233,0.148314941,terrestrial,bleocc,E2
blechnum_occidentale,la_selva,4,0.3894,191.4,2.795947753,-0.918319881,-1.014807613,96.63445948,27.60527608,0.032993604,0.174681638,0.104265425,terrestrial,bleocc,E2
blechnum_occidentale,la_selva,5,0.3351,185.8,3.341574732,-0.737160629,-0.912870764,98.27090952,40.72104492,0.019247656,0.051785654,0.064444409,terrestrial,bleocc,E2
blechnum_occidentale,la_selva,6,0.4905,190.7,2.59593091,-0.818215117,-1.251356869,96.01005676,21.56966841,0.030165302,0.052798459,0.111896529,terrestrial,bleocc,E2
parablechnum_schiedeanum,las_cruces,1,0.8026,380.59,2.382239358,-1.175450169,-1.288365183,93.6042757,19.17026785,0.047805202,0.443158627,0.133422733,terrestrial,blesch,E2
