"site","species","plant_no","niche2","genusspecies","sd_mm2"
"la_selva","asplenium_auritum",1,"epiphyte","aspaur",29.3981481481481
"la_selva","asplenium_auritum",2,"epiphyte","aspaur",31.4814814814815
"la_selva","asplenium_auritum",3,"epiphyte","aspaur",18.0555555555556
"la_selva","asplenium_auritum",4,"epiphyte","aspaur",56.3425925925926
"la_selva","asplenium_auritum",5,"epiphyte","aspaur",30.3240740740741
"la_selva","asplenium_auritum",6,"epiphyte","aspaur",29.4907407407407
"la_selva","asplenium_juglandifolium",1,"epiphyte","aspjug",28.7817938420348
"la_selva","asplenium_juglandifolium",2,"epiphyte","aspjug",24.5426149040607
"la_selva","asplenium_juglandifolium",3,"epiphyte","aspjug",22.7576974564926
"la_selva","asplenium_juglandifolium",4,"epiphyte","aspjug",22.3114680946006
"la_selva","asplenium_juglandifolium",5,"epiphyte","aspjug",13.1637661758143
"la_selva","asplenium_serratum",1,"epiphyte","aspser",13.1637661758144
"la_selva","asplenium_serratum",2,"epiphyte","aspser",14.5024542614904
"la_selva","asplenium_serratum",3,"epiphyte","aspser",11.6019634091923
"la_selva","asplenium_serratum",4,"epiphyte","aspser",9.37081659973227
"la_selva","asplenium_serratum",5,"epiphyte","aspser",13.6099955377064
"la_selva","asplenium_serratum",6,"epiphyte","aspser",15.7072735385988
"la_selva","blechnum_occidentale",1,"terrestrial","bleocc",29.6296296296296
"la_selva","blechnum_occidentale",2,"terrestrial","bleocc",31.25
"la_selva","blechnum_occidentale",3,"terrestrial","bleocc",45.6018518518518
"la_selva","blechnum_occidentale",4,"terrestrial","bleocc",28.8888888888889
"la_selva","blechnum_occidentale",5,"terrestrial","bleocc",40.9259259259259
"la_selva","blechnum_occidentale",6,"terrestrial","bleocc",55.5555555555555
"la_selva","campyloneurum_brevifolium",1,"epiphyte","cambre",44.212962962963
"la_selva","campyloneurum_brevifolium",2,"epiphyte","cambre",37.7314814814815
"la_selva","campyloneurum_brevifolium",3,"epiphyte","cambre",51.6203703703704
"la_selva","campyloneurum_brevifolium",4,"epiphyte","cambre",54.3518518518518
"la_selva","campyloneurum_brevifolium",5,"epiphyte","cambre",53.4259259259259
"la_selva","campyloneurum_brevifolium",6,"epiphyte","cambre",43.3333333333333
"la_selva","christella_dentata",1,"terrestrial","theden",112.5
"la_selva","christella_dentata",2,"terrestrial","theden",95.8333333333331
"la_selva","christella_dentata",3,"terrestrial","theden",101.62037037037
"la_selva","christella_dentata",4,"terrestrial","theden",117.268518518518
"la_selva","christella_dentata",6,"terrestrial","theden",107.175925925926
"la_selva","cyclopeltis_semicordata",2,"terrestrial","cycsem",45.9616242748773
"la_selva","cyclopeltis_semicordata",3,"terrestrial","cycsem",49.0852298081214
"la_selva","cyclopeltis_semicordata",4,"terrestrial","cycsem",44.9352967425257
"la_selva","cyclopeltis_semicordata",6,"terrestrial","cycsem",52.8781793842035
"la_selva","cyclopeltis_semicordata",7,"terrestrial","cycsem",54.2168674698795
"la_selva","cyclopeltis_semicordata",8,"terrestrial","cycsem",53.9937527889335
"la_selva","diplazium_striatastrum",1,"terrestrial","dipstr",111.805555555556
"la_selva","diplazium_striatastrum",2,"terrestrial","dipstr",106.944444444445
"la_selva","diplazium_striatastrum",3,"terrestrial","dipstr",107.407407407407
"la_selva","diplazium_striatastrum",4,"terrestrial","dipstr",115.046296296296
"la_selva","diplazium_striatastrum",5,"terrestrial","dipstr",103.009259259259
"la_selva","diplazium_striatastrum",6,"terrestrial","dipstr",102.962962962963
"la_selva","elaphoglossum_amygdalifolium",1,"hemi-epiphyte","elaamy",7.6869322152341
"la_selva","elaphoglossum_amygdalifolium",2,"hemi-epiphyte","elaamy",8.85161891451199
"la_selva","elaphoglossum_amygdalifolium",3,"hemi-epiphyte","elaamy",11.6468669927789
"la_selva","elaphoglossum_amygdalifolium",4,"hemi-epiphyte","elaamy",9.5038434661076
"la_selva","elaphoglossum_amygdalifolium",5,"hemi-epiphyte","elaamy",6.75518285581179
"la_selva","elaphoglossum_amygdalifolium",6,"hemi-epiphyte","elaamy",7.6869322152341
"la_selva","elaphoglossum_herminieri",1,"epiphyte","elaher",24.2254833449802
"la_selva","elaphoglossum_herminieri",2,"epiphyte","elaher",31.4465408805031
"la_selva","elaphoglossum_herminieri",3,"epiphyte","elaher",26.554856743536
"la_selva","elaphoglossum_herminieri",4,"epiphyte","elaher",31.772653156301
"la_selva","elaphoglossum_herminieri",5,"epiphyte","elaher",27.7195434428139
"la_selva","elaphoglossum_herminieri",6,"epiphyte","elaher",21.5699976706266
"la_selva","elaphoglossum_latifolium",1,"epiphyte","elalat",32.3782902399255
"la_selva","elaphoglossum_latifolium",2,"epiphyte","elalat",32.611227579781
"la_selva","elaphoglossum_latifolium",3,"epiphyte","elalat",34.9406009783368
"la_selva","elaphoglossum_latifolium",4,"epiphyte","elalat",33.0771022594922
"la_selva","elaphoglossum_latifolium",5,"epiphyte","elalat",18.1691125087351
"la_selva","elaphoglossum_latifolium",6,"epiphyte","elalat",31.7260656883298
"la_selva","goniopteris_curta",1,"terrestrial","thecur",125
"la_selva","goniopteris_curta",2,"terrestrial","thecur",115.277777777778
"la_selva","goniopteris_curta",3,"terrestrial","thecur",138.888888888889
"la_selva","goniopteris_curta",4,"terrestrial","thecur",104.861111111111
"la_selva","goniopteris_curta",5,"terrestrial","thecur",106.25
"la_selva","goniopteris_curta",6,"terrestrial","thecur",139.583333333333
"la_selva","goniopteris_nicaraguensis",1,"terrestrial","thenic",136.992414100848
"la_selva","goniopteris_nicaraguensis",2,"terrestrial","thenic",113.342257920571
"la_selva","goniopteris_nicaraguensis",3,"terrestrial","thenic",104.863900044623
"la_selva","goniopteris_nicaraguensis",4,"terrestrial","thenic",84.1142347166443
"la_selva","goniopteris_nicaraguensis",5,"terrestrial","thenic",117.358322177599
"la_selva","goniopteris_nicaraguensis",6,"terrestrial","thenic",114.234716644355
"la_selva","lomariopsis_japurensis",1,"hemi-epiphyte","lomjap",29.6296296296296
"la_selva","lomariopsis_japurensis",2,"hemi-epiphyte","lomjap",36.3425925925926
