"genusspecies","site","plant_no","water_potential","species","niche","group","niche2"
"aspaur","la_selva",1,1.35,"asplenium_auritum","epiphyte","E2","epiphyte"
"aspaur","la_selva",2,1.15,"asplenium_auritum","epiphyte","E2","epiphyte"
"aspaur","la_selva",3,0.95,"asplenium_auritum","epiphyte","E2","epiphyte"
"aspaur","la_selva",4,1.15,"asplenium_auritum","epiphyte","E2","epiphyte"
"aspaur","la_selva",5,1.2,"asplenium_auritum","epiphyte","E2","epiphyte"
"aspaur","la_selva",6,0.65,"asplenium_auritum","epiphyte","E2","epiphyte"
"aspjug","la_selva",1,NA,"asplenium_juglandifolia","epiphyte","E2","epiphyte"
"aspjug","la_selva",2,NA,"asplenium_juglandifolia","epiphyte","E2","epiphyte"
"aspjug","la_selva",3,NA,"asplenium_juglandifolia","epiphyte","E2","epiphyte"
"aspjug","la_selva",4,NA,"asplenium_juglandifolia","epiphyte","E2","epiphyte"
"aspjug","la_selva",5,NA,"asplenium_juglandifolia","epiphyte","E2","epiphyte"
"aspjug","la_selva",6,NA,"asplenium_juglandifolia","epiphyte","E2","epiphyte"
"aspser","la_selva",1,0.4,"asplenium_serratum","epiphyte","E2","epiphyte"
"aspser","la_selva",2,0.45,"asplenium_serratum","epiphyte","E2","epiphyte"
"aspser","la_selva",3,0.27,"asplenium_serratum","epiphyte","E2","epiphyte"
"aspser","la_selva",4,0.52,"asplenium_serratum","epiphyte","E2","epiphyte"
"aspser","la_selva",5,0.48,"asplenium_serratum","epiphyte","E2","epiphyte"
"aspser","la_selva",6,0.72,"asplenium_serratum","epiphyte","E2","epiphyte"
"aspuni","las_cruces",1,0.98,"asplenium_uniseriale","terrestrial","E2","terrestrial"
"aspuni","las_cruces",2,0.42,"asplenium_uniseriale","terrestrial","E2","terrestrial"
"aspuni","las_cruces",3,0.46,"asplenium_uniseriale","terrestrial","E2","terrestrial"
"aspuni","las_cruces",4,0.92,"asplenium_uniseriale","terrestrial","E2","terrestrial"
"aspuni","las_cruces",5,0.35,"asplenium_uniseriale","terrestrial","E2","terrestrial"
"aspuni","las_cruces",6,0.28,"asplenium_uniseriale","terrestrial","E2","terrestrial"
"aspuni","las_cruces",7,0.424,"asplenium_uniseriale","terrestrial","E2","terrestrial"
"bleocc","la_selva",1,0.56,"blechnum_occidentale","terrestrial","E2","terrestrial"
"bleocc","la_selva",2,1.11,"blechnum_occidentale","terrestrial","E2","terrestrial"
"bleocc","la_selva",3,1.31,"blechnum_occidentale","terrestrial","E2","terrestrial"
"bleocc","la_selva",4,0.96,"blechnum_occidentale","terrestrial","E2","terrestrial"
"bleocc","la_selva",5,1.3,"blechnum_occidentale","terrestrial","E2","terrestrial"
"bleocc","la_selva",6,0.79,"blechnum_occidentale","terrestrial","E2","terrestrial"
"blesch","las_cruces",1,0.41,"blechnum_schiedeanum","terrestrial","E2","terrestrial"
"blesch","las_cruces",2,0.65,"blechnum_schiedeanum","terrestrial","E2","terrestrial"
"blesch","las_cruces",3,0.85,"blechnum_schiedeanum","terrestrial","E2","terrestrial"
"blesch","las_cruces",4,0.45,"blechnum_schiedeanum","terrestrial","E2","terrestrial"
"blesch","las_cruces",5,0.65,"blechnum_schiedeanum","terrestrial","E2","terrestrial"
"blesch","las_cruces",6,0.76,"blechnum_schiedeanum","terrestrial","E2","terrestrial"
"cambre","la_selva",1,0.61,"campyloneurum_brevifolium","epiphyte","E1","epiphyte"
"cambre","la_selva",2,0.72,"campyloneurum_brevifolium","epiphyte","E1","epiphyte"
"cambre","la_selva",3,0.46,"campyloneurum_brevifolium","epiphyte","E1","epiphyte"
"cambre","la_selva",4,0.64,"campyloneurum_brevifolium","epiphyte","E1","epiphyte"
"cambre","la_selva",5,0.8,"campyloneurum_brevifolium","epiphyte","E1","epiphyte"
"cambre","la_selva",6,0.75,"campyloneurum_brevifolium","epiphyte","E1","epiphyte"
"cycsem","la_selva",1,0.65,"cyclopeltis_semicordata","terrestrial","out","terrestrial"
"cycsem","la_selva",2,0.55,"cyclopeltis_semicordata","terrestrial","out","terrestrial"
"cycsem","la_selva",3,0.55,"cyclopeltis_semicordata","terrestrial","out","terrestrial"
"cycsem","la_selva",4,0.4,"cyclopeltis_semicordata","terrestrial","out","terrestrial"
