Genus,Epithet,Author,Field_Site,Life_form,Eupolypod_clade,Genbank_Accession,Genbank_substituion
Asplenium,auritum,Sw.,La Selva,epiphyte,E2,EF463146,
Asplenium,juglandifolium,Lam.,La Selva,epiphyte,E2,AF525269,
Asplenium,serratum,L.,La Selva,epiphyte,E2,KJ628633,
Asplenium,uniseriale,Raddi,Las Cruces,terrestrial,E2,GU929858, A. radicans
Blechnum,occidentale,L.,La Selva,terrestrial,E2,EU352296,
Campyloneurum,brevifolium,(Lodd. ex Link) Link,La Selva,epiphyte,E1,MF317994,
Christella,dentata,(Forsk.) Brownsey & Jermy,La Selva,terrestrial,E2,KY099782,
Cyclopeltis,semicordata,(Sw.) J. Sm.,La Selva,terrestrial,E1,EF463234,
Diplazium,atirrense,(J. D. Sm.) Lellinger,Las Cruces,terrestrial,E2,KT329392, D. macrodictyon
Diplazium,prominulum,Maxon,Las Cruces,terrestrial,E2,EF463310, D. cristatum
Diplazium,striatastrum,Lellinger,La Selva,terrestrial,E2,KY427346, D. striatum (plastome)
Dryopteris,patula,(Sw.) Underw.,Las Cruces,epiphyte,E1,KJ464427,
Elaphoglossum,amygdalifolium,(Mett. ex Kuhn) Christ,La Selva,hemi-epiphyte,E1,EF463184,
Elaphoglossum,decursivum,Mickel,Las Cruces,epiphyte,E1,AY818698, E. lonchophyllum
Elaphoglossum,herminieri,(Bory & Fée) T. Moore,La Selva,epiphyte,E1,EF463193,
Elaphoglossum,latifolium,(Sw.) J. Sm.,La Selva,epiphyte,E1,KJ628702,
Goniopteris,curta,(Christ) A. R. Sm.,La Selva,terrestrial,E2,EF463285, G. gemmulifera
Goniopteris,nicaraguensis,(E. Fourn.) Salino & T. E. Almeida,La Selva,terrestrial,E2,KJ628860,
Lomariopsis,japurensis,(Mart.) J. Sm.,La Selva,hemi-epiphyte,E1,KJ628760,
Lomariopsis,maxonii,(Underw.) Holtt.,Las Cruces,hemi-epiphyte,E1,KJ628767, L. vestita
Mickelia,nicotianifolia,"(Sw.) R. C. Moran, Labiak & Sundue",La Selva,climber,E1,EF463171,
Nephrolepis,biserrata,(Sw.) Schott,La Selva,terrestrial,E1,KY099834,
Nephrolepis,brownii,(Desv.) Hovenk. & Miyam.,Las Cruces,terrestrial,E1,KR816691,
Nephrolepis,rivularis,(Vahl) Mett. ex Krug,La Selva,terrestrial,E1,HM748158,
Niphidium,crassifolium,(L.) Lellinger,Las Cruces,epiphyte,E1,EF463254,
Oleandra,articulata,(Sw.) C. Presl,La Selva,epiphyte,E1,KF667644,
Oleandra,costaricensis,Maxon,Las Cruces,terrestrial,E1,KF667646, O. pilosa
Olfersia,cervina,(L.) Kunze,Las Cruces,terrestrial,E1,EF463213,
Parablechnum,schiedeanum,(Schltdl. ex C. Presl) Gasper & Salino,Las Cruces,terrestrial,E2,KU898655,
Parapolystichum,excultum,"(Mett.) Labiak, Sundue & R. C. Moran",Las Cruces,terrestrial,E1,KJ464444,
Pecluma,pectinata,(L.) M. G. Price,La Selva,epiphyte,E1,KT780741,
Phlebodium,aureum,(L.) J. Sm.,La Selva,epiphyte,E1,KR816694,
Pleopeltis,bradeorum,(Rosenst.) A. R. Sm. & Tejero,La Selva,hemi-epiphyte,E1,AY362614,
Polybotrya,osmundacea,Humb. & Bonpl. ex Willd.,La Selva,climber,E1,KM495215,
Salpichlaena,volubilis,(Kaulf.) J. Sm.,La Selva,terrestrial,E2,EF463162,
Serpocaulon,fraxinifolium,(Jacq.) A. R. Sm.,Las Cruces,epiphyte,E1,EF551071,
Serpocaulon,loriciforme,(Rosenst.) A. R. Sm.,La Selva,epiphyte,E1,KJ628812,
Serpocaulon,triseriale,(Sw.) A. R. Sm.,Las Cruces,epiphyte,E1,EF463263,
Tectaria,incisa,Cav.,La Selva,terrestrial,E1,EF463272,
Dennstaedtia,dissecta,(Sw.) Moore,,,out group,EF463166,
