site,date,species,niche,plant_no,d13C,c_ug,d15N,n_ug,sample_mg
laselva,8/7/2017,polybotrya_osmundacea,climber,1,-37.12,1734.95,3.53,88.47,3.651
laselva,8/7/2017,polybotrya_osmundacea,climber,2,-34.78,1756.87,3.18,86.26,3.627
laselva,8/7/2017,polybotrya_osmundacea,climber,3,-36.45,1723.22,5.17,82.14,3.629
laselva,8/7/2017,polybotrya_osmundacea,climber,4,-35.60,1690.05,2.94,95.04,3.553
laselva,8/7/2017,polybotrya_osmundacea,climber,5,-34.94,1712.16,1.50,98.60,3.642
laselva,8/7/2017,polybotrya_osmundacea,climber,6,-35.91,1734.29,2.67,87.17,3.628
laselva,8/7/2017,asplenium_auritum,epiphyte,1,-34.33,1592.77,-2.19,116.07,3.696
laselva,8/7/2017,asplenium_auritum,epiphyte,2,-34.65,1527.34,-1.53,87.73,3.572
laselva,8/7/2017,asplenium_auritum,epiphyte,3,-36.01,1538.24,-2.66,87.00,3.552
laselva,8/7/2017,asplenium_auritum,epiphyte,4,-31.57,1440.29,0.42,89.20,3.558
laselva,8/7/2017,asplenium_auritum,epiphyte,5,-31.50,1527.34,2.25,72.89,3.586
laselva,8/7/2017,asplenium_auritum,epiphyte,6,-32.06,1592.77,2.72,109.58,3.668
laselva,19/7/2017,asplenium_juglandifolia,epiphyte,1,-31.00,1549.14,0.69,56.24,3.629
laselva,19/7/2017,asplenium_juglandifolia,epiphyte,2,-30.98,1505.56,1.50,63.21,3.526
laselva,19/7/2017,asplenium_juglandifolia,epiphyte,3,-32.47,1494.67,2.80,61.79,3.52
laselva,19/7/2017,asplenium_juglandifolia,epiphyte,4,-32.47,1385.99,1.79,30.94,3.512
laselva,19/7/2017,asplenium_juglandifolia,epiphyte,5,,,,,
laselva,14/7/2017,asplenium_serratum,epiphyte,1,-34.98,1462.03,-0.99,136.04,3.693
laselva,14/7/2017,asplenium_serratum,epiphyte,2,-35.69,1451.16,0.01,133.21,3.507
laselva,14/7/2017,asplenium_serratum,epiphyte,3,-34.08,1516.45,0.22,108.14,3.698
laselva,14/7/2017,asplenium_serratum,epiphyte,4,-34.21,1549.14,0.47,89.20,3.663
laselva,14/7/2017,asplenium_serratum,epiphyte,5,-35.85,1223.59,-0.64,105.24,3.553
laselva,14/7/2017,asplenium_serratum,epiphyte,6,-34.78,1527.34,0.91,144.51,3.652
