species,id,salt,filter_mass,total_mass_t0,time0,date_t0,fvfm0,temp,total_mass_t1,time1,date_t1,total_mass_t2,time2,date_t2,total_mass_t3,time3,date_t3
lomves,1,kno3,0.064,0.0681,14:19,7/5/2017,685,25.3,0.0678,17:07,7/5/2017,0.0684,19:30,7/5/2017,0.0686,14:45,7/6/2017
lomves,2,nacl,0.0603,0.068,14:19,7/5/2017,672,25.3,0.0625,17:07,7/5/2017,0.0631,19:30,7/5/2017,0.0628,14:45,7/6/2017
lomves,3,c,0.0582,0.0734,14:19,7/5/2017,639,25.3,0.0742,17:07,7/5/2017,0.0724,19:30,7/5/2017,0.0809,14:45,7/6/2017
lomves,4,kno3,0.0572,0.0619,14:19,7/5/2017,688,25.3,0.0617,17:07,7/5/2017,0.0617,19:30,7/5/2017,0.0626,14:45,7/6/2017
lomves,5,mgso4,0.062,0.073,14:19,7/5/2017,673,25.3,0.069,17:07,7/5/2017,0.0684,19:30,7/5/2017,0.0687,14:45,7/6/2017
lomves,6,nacl,0.0678,0.0754,14:19,7/5/2017,595,25.3,0.0706,17:07,7/5/2017,0.0704,19:30,7/5/2017,0.0701,14:45,7/6/2017
lomves,7,mgso4,0.0755,0.0893,14:19,7/5/2017,664,25.3,0.0803,17:07,7/5/2017,0.0802,19:30,7/5/2017,0.0802,14:45,7/6/2017
lomves,8,nacl,0.0787,0.0841,14:19,7/5/2017,632,25.3,0.0803,17:07,7/5/2017,0.0808,19:30,7/5/2017,0.081,14:45,7/6/2017
lomves,9,mgso4,0.0714,0.0804,14:19,7/5/2017,669,25.3,0.0772,17:07,7/5/2017,0.0766,19:30,7/5/2017,0.0764,14:45,7/6/2017
lomves,10,c,0.0776,0.0893,14:19,7/5/2017,663,25.3,0.0923,17:07,7/5/2017,0.091,19:30,7/5/2017,0.0983,14:45,7/6/2017
lomves,11,mgso4,0.079,0.0858,14:19,7/5/2017,673,25.3,0.0831,17:07,7/5/2017,0.0831,19:30,7/5/2017,0.0838,14:45,7/6/2017
lomves,12,c,0.0846,0.0898,14:19,7/5/2017,646,25.3,0.0952,17:07,7/5/2017,0.0971,19:30,7/5/2017,0.1082,14:45,7/6/2017
lomves,13,mgso4,0.0839,0.0899,14:19,7/5/2017,678,25.3,0.0874,17:07,7/5/2017,0.0882,19:30,7/5/2017,0.088,14:45,7/6/2017
lomves,14,c,0.084,0.1005,14:19,7/5/2017,652,25.3,0.1022,17:07,7/5/2017,0.1008,19:30,7/5/2017,0.1111,14:45,7/6/2017
lomves,15,nacl,0.0819,0.0893,14:19,7/5/2017,654,25.3,0.0833,17:07,7/5/2017,0.0839,19:30,7/5/2017,0.0837,14:45,7/6/2017
