species,id,salt,fvfm,time,date,trial_no
lomves,1,kno3,685,14:19,7/5/2017,1
lomves,2,nacl,672,14:19,7/5/2017,1
lomves,3,c,639,14:19,7/5/2017,1
lomves,4,kno3,688,14:19,7/5/2017,1
lomves,5,mgso4,673,14:19,7/5/2017,1
lomves,6,nacl,595,14:19,7/5/2017,1
lomves,7,mgso4,664,14:19,7/5/2017,1
lomves,8,nacl,632,14:19,7/5/2017,1
lomves,9,mgso4,669,14:19,7/5/2017,1
lomves,10,c,663,14:19,7/5/2017,1
lomves,11,mgso4,673,14:19,7/5/2017,1
lomves,12,c,646,14:19,7/5/2017,1
lomves,13,mgso4,678,14:19,7/5/2017,1
lomves,14,c,652,14:19,7/5/2017,1
lomves,15,nacl,654,14:19,7/5/2017,1
lomves,16,c,645,14:19,7/5/2017,1
lomves,17,kno3,746,14:19,7/5/2017,1
lomves,18,nacl,586,14:19,7/5/2017,1
lomves,19,kno3,661,14:19,7/5/2017,1
lomves,20,kno3,625,14:19,7/5/2017,1
lomves,1,kno3,516,15:12,7/7/2017,2
lomves,2,nacl,0,15:12,7/7/2017,2
lomves,3,c,649,15:12,7/7/2017,2
lomves,4,kno3,363,15:12,7/7/2017,2
lomves,5,mgso4,287,15:12,7/7/2017,2
lomves,6,nacl,0,15:12,7/7/2017,2
lomves,7,mgso4,307,15:12,7/7/2017,2
lomves,8,nacl,181,15:12,7/7/2017,2
lomves,9,mgso4,55,15:12,7/7/2017,2
lomves,10,c,671,15:12,7/7/2017,2
lomves,11,mgso4,227,15:12,7/7/2017,2
lomves,12,c,593,15:12,7/7/2017,2
lomves,13,mgso4,96,15:12,7/7/2017,2
lomves,14,c,622,15:12,7/7/2017,2
lomves,15,nacl,13,15:12,7/7/2017,2
lomves,16,c,656,15:12,7/7/2017,2
lomves,17,kno3,140,15:12,7/7/2017,2
lomves,18,nacl,240,15:12,7/7/2017,2
lomves,19,kno3,166,15:12,7/7/2017,2
lomves,20,kno3,360,15:12,7/7/2017,2
camp,21,nacl,646,11:16,7/6/2017,1
camp,22,nacl,666,11:16,7/6/2017,1
camp,23,mgso4,654,11:16,7/6/2017,1
camp,24,c,669,11:16,7/6/2017,1
camp,25,c,662,11:16,7/6/2017,1
camp,26,kno3,631,11:16,7/6/2017,1
camp,27,nacl,688,11:16,7/6/2017,1
camp,28,c,615,11:16,7/6/2017,1
camp,29,kno3,606,11:16,7/6/2017,1
camp,30,c,661,11:16,7/6/2017,1
camp,31,c,641,11:16,7/6/2017,1
camp,32,kno3,657,11:16,7/6/2017,1
camp,33,mgso4,697,11:16,7/6/2017,1
camp,34,nacl,655,11:16,7/6/2017,1
camp,35,mgso4,624,11:16,7/6/2017,1
camp,36,mgso4,643,11:16,7/6/2017,1
camp,37,kno3,689,11:16,7/6/2017,1
camp,38,kno3,705,11:16,7/6/2017,1
camp,39,nacl,661,11:16,7/6/2017,1
camp,40,mgso4,649,11:16,7/6/2017,1
lomves,1,kno3,497,16:02,7/7/2017,3
lomves,2,nacl,0,16:02,7/7/2017,3
lomves,3,c,631,16:02,7/7/2017,3
lomves,4,kno3,457,16:02,7/7/2017,3
lomves,5,mgso4,0,16:02,7/7/2017,3
lomves,6,nacl,0,16:02,7/7/2017,3
lomves,7,mgso4,0.012,16:02,7/7/2017,3
lomves,8,nacl,0,16:02,7/7/2017,3
lomves,9,mgso4,0,16:02,7/7/2017,3
lomves,10,c,661,16:02,7/7/2017,3
lomves,11,mgso4,0,16:02,7/7/2017,3
lomves,12,c,604,16:02,7/7/2017,3
lomves,13,mgso4,72,16:02,7/7/2017,3
lomves,14,c,618,16:02,7/7/2017,3
lomves,15,nacl,0,16:02,7/7/2017,3
lomves,16,c,646,16:02,7/7/2017,3
lomves,17,kno3,0,16:02,7/7/2017,3
lomves,18,nacl,73,16:02,7/7/2017,3
lomves,19,kno3,0,16:02,7/7/2017,3
lomves,20,kno3,390,16:02,7/7/2017,3
lomves,1,kno3,562,19:17,7/7/2017,4
lomves,2,nacl,0,19:17,7/7/2017,4
lomves,3,c,553,19:17,7/7/2017,4
lomves,4,kno3,439,19:17,7/7/2017,4
lomves,5,mgso4,0,19:17,7/7/2017,4
lomves,6,nacl,0,19:17,7/7/2017,4
lomves,7,mgso4,0,19:17,7/7/2017,4
lomves,8,nacl,0,19:17,7/7/2017,4
lomves,9,mgso4,0,19:17,7/7/2017,4
lomves,10,c,599,19:17,7/7/2017,4
lomves,11,mgso4,0,19:17,7/7/2017,4
lomves,12,c,558,19:17,7/7/2017,4
lomves,13,mgso4,0,19:17,7/7/2017,4
lomves,14,c,589,19:17,7/7/2017,4
lomves,15,nacl,0,19:17,7/7/2017,4
lomves,16,c,527,19:17,7/7/2017,4
lomves,17,kno3,0,19:17,7/7/2017,4
lomves,18,nacl,108,19:17,7/7/2017,4
lomves,19,kno3,0,19:17,7/7/2017,4
lomves,20,kno3,442,19:17,7/7/2017,4
lomves,1,kno3,564,12:00,7/8/2017,5
lomves,2,nacl,0,12:00,7/8/2017,5
lomves,3,c,551,12:00,7/8/2017,5
lomves,4,kno3,476,12:00,7/8/2017,5
lomves,5,mgso4,0,12:00,7/8/2017,5
lomves,6,nacl,0,12:00,7/8/2017,5
lomves,7,mgso4,0,12:00,7/8/2017,5
lomves,8,nacl,0,12:00,7/8/2017,5
lomves,9,mgso4,0,12:00,7/8/2017,5
lomves,10,c,610,12:00,7/8/2017,5
lomves,11,mgso4,0,12:00,7/8/2017,5
lomves,12,c,582,12:00,7/8/2017,5
lomves,13,mgso4,0,12:00,7/8/2017,5
lomves,14,c,595,12:00,7/8/2017,5
lomves,15,nacl,0,12:00,7/8/2017,5
lomves,16,c,650,12:00,7/8/2017,5
lomves,17,kno3,0,12:00,7/8/2017,5
lomves,18,nacl,273,12:00,7/8/2017,5
lomves,19,kno3,0,12:00,7/8/2017,5
lomves,20,kno3,554,12:00,7/8/2017,5
lomves,1,kno3,491,19:34,7/9/2017,6
lomves,2,nacl,0,19:34,7/9/2017,6
lomves,3,c,525,19:34,7/9/2017,6
lomves,4,kno3,498,19:34,7/9/2017,6
lomves,5,mgso4,0,19:34,7/9/2017,6
lomves,6,nacl,0,19:34,7/9/2017,6
lomves,7,mgso4,0,19:34,7/9/2017,6
lomves,8,nacl,0,19:34,7/9/2017,6
lomves,9,mgso4,0,19:34,7/9/2017,6
lomves,10,c,560,19:34,7/9/2017,6
lomves,11,mgso4,0,19:34,7/9/2017,6
lomves,12,c,643,19:34,7/9/2017,6
lomves,13,mgso4,0,19:34,7/9/2017,6
lomves,14,c,545,19:34,7/9/2017,6
lomves,15,nacl,0,19:34,7/9/2017,6
lomves,16,c,559,19:34,7/9/2017,6
lomves,17,kno3,0,19:34,7/9/2017,6
lomves,18,nacl,0,19:34,7/9/2017,6
lomves,19,kno3,0,19:34,7/9/2017,6
lomves,20,kno3,587,19:34,7/9/2017,6
camp,21,nacl,0,15:56,7/8/2017,2
camp,22,nacl,257,15:56,7/8/2017,2
camp,23,mgso4,154,15:56,7/8/2017,2
camp,24,c,635,15:56,7/8/2017,2
camp,25,c,592,15:56,7/8/2017,2
camp,26,kno3,155,15:56,7/8/2017,2
camp,27,nacl,235,15:56,7/8/2017,2
camp,28,c,539,15:56,7/8/2017,2
camp,29,kno3,414,15:56,7/8/2017,2
camp,30,c,578,15:56,7/8/2017,2
camp,31,c,624,15:56,7/8/2017,2
camp,32,kno3,0,15:56,7/8/2017,2
camp,33,mgso4,375,15:56,7/8/2017,2
camp,34,nacl,391,15:56,7/8/2017,2
camp,35,mgso4,359,15:56,7/8/2017,2
camp,36,mgso4,399,15:56,7/8/2017,2
camp,37,kno3,0,15:56,7/8/2017,2
camp,38,kno3,546,15:56,7/8/2017,2
camp,39,nacl,238,15:56,7/8/2017,2
camp,40,mgso4,279,15:56,7/8/2017,2
camp,21,nacl,0,16:56,7/8/2017,3
camp,22,nacl,276,16:56,7/8/2017,3
camp,23,mgso4,306,16:56,7/8/2017,3
camp,24,c,607,16:56,7/8/2017,3
camp,25,c,541,16:56,7/8/2017,3
camp,26,kno3,369,16:56,7/8/2017,3
camp,27,nacl,117,16:56,7/8/2017,3
camp,28,c,631,16:56,7/8/2017,3
camp,29,kno3,477,16:56,7/8/2017,3
camp,30,c,622,16:56,7/8/2017,3
camp,31,c,578,16:56,7/8/2017,3
camp,32,kno3,0,16:56,7/8/2017,3
camp,33,mgso4,517,16:56,7/8/2017,3
camp,34,nacl,485,16:56,7/8/2017,3
camp,35,mgso4,447,16:56,7/8/2017,3
camp,36,mgso4,500,16:56,7/8/2017,3
camp,37,kno3,0,16:56,7/8/2017,3
camp,38,kno3,619,16:56,7/8/2017,3
camp,39,nacl,262,16:56,7/8/2017,3
camp,40,mgso4,352,16:56,7/8/2017,3
camp,21,nacl,0,8:15,7/9/2017,4
camp,22,nacl,201,8:15,7/9/2017,4
camp,23,mgso4,403,8:15,7/9/2017,4
camp,24,c,623,8:15,7/9/2017,4
camp,25,c,633,8:15,7/9/2017,4
camp,26,kno3,475,8:15,7/9/2017,4
camp,27,nacl,0,8:15,7/9/2017,4
camp,28,c,630,8:15,7/9/2017,4
camp,29,kno3,495,8:15,7/9/2017,4
camp,30,c,596,8:15,7/9/2017,4
camp,31,c,619,8:15,7/9/2017,4
camp,32,kno3,0,8:15,7/9/2017,4
camp,33,mgso4,573,8:15,7/9/2017,4
camp,34,nacl,553,8:15,7/9/2017,4
camp,35,mgso4,522,8:15,7/9/2017,4
camp,36,mgso4,573,8:15,7/9/2017,4
camp,37,kno3,0,8:15,7/9/2017,4
camp,38,kno3,584,8:15,7/9/2017,4
camp,39,nacl,244,8:15,7/9/2017,4
camp,40,mgso4,526,8:15,7/9/2017,4
camp,21,nacl,0,19:40,7/9/2017,5
camp,22,nacl,226,19:40,7/9/2017,5
camp,23,mgso4,439,19:40,7/9/2017,5
camp,24,c,623,19:40,7/9/2017,5
camp,25,c,623,19:40,7/9/2017,5
camp,26,kno3,529,19:40,7/9/2017,5
camp,27,nacl,0,19:40,7/9/2017,5
camp,28,c,634,19:40,7/9/2017,5
camp,29,kno3,510,19:40,7/9/2017,5
camp,30,c,609,19:40,7/9/2017,5
camp,31,c,614,19:40,7/9/2017,5
camp,32,kno3,0,19:40,7/9/2017,5
camp,33,mgso4,556,19:40,7/9/2017,5
camp,34,nacl,596,19:40,7/9/2017,5
camp,35,mgso4,526,19:40,7/9/2017,5
camp,36,mgso4,551,19:40,7/9/2017,5
camp,37,kno3,0,19:40,7/9/2017,5
camp,38,kno3,625,19:40,7/9/2017,5
camp,39,nacl,261,19:40,7/9/2017,5
camp,40,mgso4,527,19:40,7/9/2017,5
