site,date,species,niche,plant_no,wet_weight_g,psi_bars,qc
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8945,init,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8863,2,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8785,2.4,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8776,2.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.875,2.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8698,4,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8704,5,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8681,6.5,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8661,6.5,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8589,8,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8493,9.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8325,10.2,
laselva,8/7/2017,asplenium_auritum,epiphyte,1,0.8258,11.1,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1734,init,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1602,1.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1526,2,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1487,2.1,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1418,2.3,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1309,2.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1201,4,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1185,7.1,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.1005,9,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.0969,12.2,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.0737,13,
laselva,8/7/2017,asplenium_auritum,epiphyte,3,1.0567,13,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6888,init,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6821,1,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.678,1.5,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6699,2.1,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6572,2,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6469,2,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6361,3.1,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6203,6,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6091,6.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.6002,8,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.5875,8.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,4,0.5761,9,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.3791,init,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.37,1.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.3381,2,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.3271,2.3,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.3148,2.6,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.3052,5,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.2598,12.1,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.2388,14,
laselva,8/7/2017,asplenium_auritum,epiphyte,5,1.2232,14.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.3119,init,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.3042,1.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.2971,2.2,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.2906,2.6,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.2826,2.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.2575,2.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.242,2.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.2147,3.5,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.1862,5.9,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.163,6.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.148,7,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.111,7.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,6,1.0857,8.8,
laselva,8/7/2017,asplenium_auritum,epiphyte,2,0.8244,init,
laselva,8/7/2017,asplenium_auritum,epiphyte,2,0.8185,2.58,
laselva,8/7/2017,asplenium_auritum,epiphyte,2,0.8109,8,
laselva,8/7/2017,asplenium_auritum,epiphyte,2,0.8095,8.1,
laselva,8/7/2017,asplenium_auritum,epiphyte,2,0.8065,8.4,
laselva,8/7/2017,asplenium_auritum,epiphyte,2,0.8007,10.5,
laselva,8/7/2017,asplenium_auritum,epiphyte,2,0.7926,11.7,
