site,species,plant_no,psi_bars,wet_weight_g
las_cruces,nephrolepis_brownii,1,1.09,2.84405
las_cruces,nephrolepis_brownii,1,1.72,2.82675
las_cruces,nephrolepis_brownii,1,2,2.8116
las_cruces,nephrolepis_brownii,1,2.42,2.7991
las_cruces,nephrolepis_brownii,1,2.99,2.7901
las_cruces,nephrolepis_brownii,1,3.64,2.77035
las_cruces,nephrolepis_brownii,1,4.3,2.7522
las_cruces,nephrolepis_brownii,1,4.5,2.73315
las_cruces,nephrolepis_brownii,1,5.25,2.70865
las_cruces,nephrolepis_brownii,1,5.75,2.6798
las_cruces,nephrolepis_brownii,1,6.19,2.65485
las_cruces,nephrolepis_brownii,1,6.88,2.63835
las_cruces,nephrolepis_brownii,2,1.12,2.35175
las_cruces,nephrolepis_brownii,2,2.58,2.3048
las_cruces,nephrolepis_brownii,2,2.95,2.26815
las_cruces,nephrolepis_brownii,2,3.11,2.25245
las_cruces,nephrolepis_brownii,2,3.54,2.2352
las_cruces,nephrolepis_brownii,2,4.27,2.2136
las_cruces,nephrolepis_brownii,2,4.64,2.19265
las_cruces,nephrolepis_brownii,2,5.2,2.17105
las_cruces,nephrolepis_brownii,2,5.15,2.1437
las_cruces,nephrolepis_brownii,2,5.85,2.11735
las_cruces,nephrolepis_brownii,2,6.55,2.08215
las_cruces,nephrolepis_brownii,2,6.44,2.0557
las_cruces,nephrolepis_brownii,3,1.19,2.0841
las_cruces,nephrolepis_brownii,3,1.9,2.0593
las_cruces,nephrolepis_brownii,3,2.54,2.04255
las_cruces,nephrolepis_brownii,3,3.53,2.0283
las_cruces,nephrolepis_brownii,3,3.89,1.99965
las_cruces,nephrolepis_brownii,3,4.05,1.9725
las_cruces,nephrolepis_brownii,3,4.77,1.94995
las_cruces,nephrolepis_brownii,3,4.99,1.9204
las_cruces,nephrolepis_brownii,3,5.55,1.8947
las_cruces,nephrolepis_brownii,3,5.77,1.8528
las_cruces,nephrolepis_brownii,3,4.78,1.8306
las_cruces,nephrolepis_brownii,6,0,2.0715
las_cruces,nephrolepis_brownii,6,0.22,2.05235
las_cruces,nephrolepis_brownii,6,0.72,2.03845
las_cruces,nephrolepis_brownii,6,1.11,2.02615
las_cruces,nephrolepis_brownii,6,3.38,2.0143
las_cruces,nephrolepis_brownii,6,4.13,2.0025
las_cruces,nephrolepis_brownii,6,5.08,1.98965
las_cruces,nephrolepis_brownii,6,5.86,1.9762
las_cruces,nephrolepis_brownii,6,5.64,1.9551
