Individual,Color,cfr,chl,area.corr_cm2,Asat,15N,13C,%N,%C,dry_mass_g,Fs,Fv/Fm,Fo,Fv/Fm'
1,O,1.47,541,3.7,3.203952273,,,,,,219,775,548,785
1,W,1.43,515,4.6,2.332181286,,,,,,192,794,558,801
1,Y,1.24,395,4.4,2.547882936,,,,,,213,775,601,797
2,O,1.54,584,5.5,2.480537349,,,,,,239,787,,
2,W,1.61,630,5.9,3.0586601,,,,,,235,793,,
2,Y,1.45,535,5.5,3.322042484,,,,,,230,786,,
3,O,1.54,582,4,,,,,,,179,701,,
3,W,1.34,458,4.7,2.758736238,,,,,,264,745,,
3,Y,1.41,503,,2.513515706,,,,,,246,768,,
3,P,1.62,633,,,,,,,,,,,
4,O,1.41,503,4.8,4.095162954,,,,,,240,752,,
4,W,1.50,562,4.8,3.241848117,,,,,,234,770,,
5,O,1.55,594,4.9,4.38529811,,,,,,230,767,,
5,W,1.54,583,5.5,3.109980531,,,,,,216,782,,
5,Y,1.38,481,4.8,4.044304917,,,,,,255,745,,
6,O,1.49,554,,,,,,,,206,765,,
6,W,1.60,563,,,,,,,,198,793,,
6,Y,1.45,551,,,,,,,,226,767,,
12,O,1.50,562,,,,,,,,218,769,,
12,W,1.41,501,,,,,,,,216,790,,
21,O,1.35,444,5.55,4.250760484,,,,,,225,778,,
21,W,1.44,519,4.3,3.808870666,,,,,,185,791,,
21,Y,1.17,531,4.7,3.504627719,,,,,,224,781,,
21,P,1.41,503,,,,,,,,,,,
22,O,1.36,478,4.9,3.515677364,,,,,,195,786,473,788
22,W,1.36,474,5.3,2.662634888,,,,,,202,787,614,809
22,Y,1.34,478,4.8,3.13865467,,,,,,207,769,565,813
24,O,1.60,623,5.2,4.446308157,,,,,,201,784,561,806
24,W,1.42,509,5.2,4.163988452,,,,,,190,802,564,828
24,Y,1.43,515,4.3,2.150806806,,,,,,234,755,687,778
25,O,1.43,513,5.6,3.068969138,,,,,,,,,
25,W,1.36,471,5.1,2.36952564,,,,,,,,,
25,Y,1.16,341,5.2,2.04426573,,,,,,,,,
26,O,1.39,490,5.5,2.8756471,,,,,,,,,
26,W,1.62,636,3.1,5.060388117,,,,,,,,,
26,Y,1.49,553,4.2,3.768959499,,,,,,,,,
26,P,1.49,553,,,,,,,,,,,
29,O,1.43,515,,,,,,,,,,,
29,W,1.40,496,,,,,,,,,,,
30,O,1.50,560,,,,,,,,,,,
30,W,1.67,668,,,,,,,,,,,
30,Y,1.65,6554,,,,,,,,,,,
30,P,1.71,693,,,,,,,,,,,
65,O,1.33,452,,,,,,,,,,,
65,W,1.28,420,,,,,,,,,,,
65,Y,1.38,484,,,,,,,,,,,
66,O,1.25,401,,,,,,,,,,,
66,W,0.93,198,,,,,,,,,,,
66,Y,0.92,192,,,,,,,,,,,
66,P,1.22,382,,,,,,,,,,,
70,O,1.45,528,,,,,,,,,,,
70,W,1.46,534,,,,,,,,,,,
70,P,1.47,541,,,,,,,,,,,
71,O,1.53,579,,,,,,,,,,,
71,W,1.79,744,,,,,,,,,,,
71,Y,1.45,528,,,,,,,,,,,
71,P,1.58,611,,,,,,,,,,,
73,O,1.34,458,,,,,,,,,,,
73,W,1.19,363,,,,,,,,,,,
73,P,1.26,408,,,,,,,,,,,
74,O,1.38,484,,,,,,,,,,,
74,W,1.47,541,,,,,,,,,,,
74,P,1.44,522,,,,,,,,,,,
75,W,1.15,338,,,,,,,,,,,
77,W,1.22,382,,,,,,,,,,,
77,Y,1.27,414,,,,,,,,,,,
77,P,1.01,429,,,,,,,,,,,
78,W,1.26,408,,,,,,,,,,,
79,W,1.37,477,,,,,,,,,,,
79,P,1.01,429,,,,,,,,,,,
80,O,1.15,338,,,,,,,,,,,
80,W,1.22,382,,,,,,,,,,,
