site,genus,species,plant_no,sla_dry,no_disks,disk_size_mm,pinnule_area_cm2
las_cruces,diplazium,prominulum,1,0.0025,10,4,
las_cruces,diplazium,prominulum,2,0.0028,10,4,
las_cruces,diplazium,prominulum,3,0.0019,10,4,
las_cruces,diplazium,prominulum,4,0.0028,10,4,
las_cruces,diplazium,prominulum,5,0.0024,10,4,
las_cruces,diplazium,prominulum,6,0.0023,10,4,
las_cruces,parapolystichum,excultum,1,0.0525,10,4,
las_cruces,parapolystichum,excultum,2,0.0342,10,4,
las_cruces,parapolystichum,excultum,3,0.0385,10,4,
las_cruces,parapolystichum,excultum,4,0.0324,10,4,
las_cruces,parapolystichum,excultum,5,0.0324,10,4,
las_cruces,parapolystichum,excultum,6,0.0788,10,4,
las_cruces,parapolystichum,excultum,7,0.0289,10,4,
las_cruces,serpocaulon,triseriale,1,0.0082,10,4,
las_cruces,serpocaulon,triseriale,2,0.0056,10,4,
las_cruces,serpocaulon,triseriale,3,0.0073,10,4,
las_cruces,serpocaulon,triseriale,4,0.0059,10,4,
las_cruces,serpocaulon,triseriale,5,0.0075,10,4,
las_cruces,serpocaulon,triseriale,6,0.0078,10,4,
las_cruces,serpocaulon,fraxinifolium,1,0.0063,10,4,
las_cruces,serpocaulon,fraxinifolium,2,0.0086,10,4,
las_cruces,serpocaulon,fraxinifolium,3,0.007,10,4,
las_cruces,serpocaulon,fraxinifolium,4,0.0086,10,4,
las_cruces,serpocaulon,fraxinifolium,5,0.0048,10,4,
las_cruces,serpocaulon,fraxinifolium,6,0.0066,10,4,
las_cruces,nephrolepis,brownii,1,0.0035,10,4,
las_cruces,nephrolepis,brownii,2,0.0026,10,4,
las_cruces,nephrolepis,brownii,3,0.0038,10,4,
las_cruces,nephrolepis,brownii,4,0.0033,10,4,
las_cruces,nephrolepis,brownii,5,0.0045,10,4,
las_cruces,nephrolepis,brownii,6,0.0043,10,4,
las_cruces,nephrolepis,brownii,7,0.0048,10,4,
las_cruces,dryopteris,patula,1,0.0407,,,15.33
las_cruces,dryopteris,patula,2,0.0219,,,8.93
las_cruces,dryopteris,patula,3,0.0214,,,7.76
las_cruces,dryopteris,patula,4,0.0283,,,9.15
las_cruces,dryopteris,patula,5,0.0261,,,8.95
las_cruces,dryopteris,patula,6,0.0248,,,8.32
las_cruces,niphidium,crassifolium,1,0.0027,10,4,
las_cruces,niphidium,crassifolium,2,0.0106,10,4,
las_cruces,niphidium,crassifolium,3,0.005,9,4,
las_cruces,niphidium,crassifolium,4,0.0068,10,4,
las_cruces,niphidium,crassifolium,5,0.006,10,4,
las_cruces,niphidium,crassifolium,6,0.0042,10,4,
las_cruces,niphidium,crassifolium,7,0.0033,10,4,
las_cruces,niphidium,crassifolium,8,0.0058,10,4,
las_cruces,diplazium,atirrense,1,0.0028,10,4,
las_cruces,diplazium,atirrense,2,0.0035,10,4,
las_cruces,diplazium,atirrense,3,0.0044,10,4,
las_cruces,diplazium,atirrense,4,0.0033,10,4,
las_cruces,diplazium,atirrense,5,0.0032,10,4,
las_cruces,diplazium,atirrense,6,0.0046,10,4,
las_cruces,asplenium,uniseriale,1,0.0027,,,2.15
las_cruces,asplenium,uniseriale,2,0.0036,,,2.58
las_cruces,asplenium,uniseriale,3,0.0045,,,2.32
las_cruces,asplenium,uniseriale,4,0.0013,,,1.38
las_cruces,asplenium,uniseriale,5,0.0036,,,1.93
las_cruces,asplenium,uniseriale,6,0.003,,,1.87
las_cruces,elaphoglossum,decursivum,1,0.0042,10,4,
las_cruces,elaphoglossum,decursivum,2,0.0048,10,4,
las_cruces,elaphoglossum,decursivum,3,0.0045,10,4,
las_cruces,elaphoglossum,decursivum,4,0.0035,10,4,
las_cruces,elaphoglossum,decursivum,5,0.0047,10,4,
las_cruces,elaphoglossum,decursivum,6,0.0044,10,4,
las_cruces,olfersia,cervina,1,0.007,10,4,
las_cruces,olfersia,cervina,2,0.0116,10,4,
las_cruces,olfersia,cervina,3,0.0062,10,4,
las_cruces,olfersia,cervina,4,0.0072,10,4,
las_cruces,olfersia,cervina,5,0.0077,10,4,
las_cruces,olfersia,cervina,6,0.0081,10,4,
las_cruces,moranopteris,,1,0.0064,,,0.74
las_cruces,moranopteris,,2,0.0091,,,1.39
las_cruces,moranopteris,,3,0.0067,,,1.2
las_cruces,moranopteris,,4,0.0069,,,0.84
las_cruces,blechnum,schiedianum,1,0.0117,10,4,
las_cruces,blechnum,schiedianum,2,0.0106,10,4,
las_cruces,blechnum,schiedianum,3,0.0107,10,4,
las_cruces,blechnum,schiedianum,4,0.0081,10,4,
las_cruces,blechnum,schiedianum,5,0.0104,10,4,
las_cruces,blechnum,schiedianum,6,0.011,10,4,
las_cruces,lomariopsis,maxonii,1,0.0054,10,4,
las_cruces,lomariopsis,maxonii,2,0.0041,10,4,
las_cruces,lomariopsis,maxonii,3,0.0043,10,4,
las_cruces,lomariopsis,maxonii,4,0.0052,10,4,
las_cruces,lomariopsis,maxonii,5,0.0045,10,4,
las_cruces,lomariopsis,maxonii,6,0.0039,10,4,
las_cruces,oleandra,costariensis,1,0.0076,10,4,
las_cruces,oleandra,costariensis,2,0.0057,10,4,
las_cruces,oleandra,costariensis,3,0.0089,10,4,
las_cruces,oleandra,costariensis,4,0.0074,10,4,
las_cruces,oleandra,costariensis,5,0.008,10,4,
las_cruces,oleandra,costariensis,6,0.007,10,4,
