year,species,individual,xylem_area_um2
2017,asplenium_auritum,1,29229
2017,asplenium_auritum,2,23610
2017,asplenium_auritum,3,31410
2017,asplenium_auritum,4,17878
2017,asplenium_auritum,5,22458
2017,asplenium_auritum,6,17343
2017,asplenium_juglandifolia,2,42102
2017,asplenium_juglandifolia,3,56099
2017,asplenium_juglandifolia,4,12428
2017,asplenium_juglandifolia,5,13227
2017,asplenium_serratum,1,59051
2017,asplenium_serratum,2,55754
2017,asplenium_serratum,3,120665
2017,asplenium_serratum,4,73830
2017,asplenium_serratum,5,105834
2017,asplenium_serratum,6,122967
2018,asplenium_uniseriale,2,29277.6
2018,asplenium_uniseriale,3,36703.254
2018,asplenium_uniseriale,4,28787.168
2018,asplenium_uniseriale,5,23113.533
2018,asplenium_uniseriale,6,24431.842
2018,asplenium_uniseriale,7,27954.45
2017,blechnum_occidentale,1,92216
2017,blechnum_occidentale,2,140674
2017,blechnum_occidentale,3,138140
2017,blechnum_occidentale,4,100628
2017,blechnum_occidentale,5,99148
2017,blechnum_occidentale,6,118353
2018,blechnum_schiedeanum,1,375834.069
2018,blechnum_schiedeanum,2,482534.641
2018,blechnum_schiedeanum,3,520521.741
2018,blechnum_schiedeanum,4,377448.337
2018,blechnum_schiedeanum,5,411167.932
2018,blechnum_schiedeanum,6,452450.458
2017,campyloneurum_brevifolium,1,85515
2017,campyloneurum_brevifolium,2,53655
2017,campyloneurum_brevifolium,3,75336
2017,campyloneurum_brevifolium,4,155487
2017,campyloneurum_brevifolium,5,86991
2017,campyloneurum_brevifolium,6,118567
2019,cyclopeltis_semicordata,1,309042.438
2019,cyclopeltis_semicordata,2,408200.254
2019,cyclopeltis_semicordata,3,170116.552
2019,cyclopeltis_semicordata,4,366112.647
2019,cyclopeltis_semicordata,5,305728.996
2019,cyclopeltis_semicordata,6,202355.506
2018,diplazium_atirrense,1,664501.298
2018,diplazium_atirrense,2,821985.88
2018,diplazium_atirrense,3,613277.357
2018,diplazium_atirrense,4,308589.001
2018,diplazium_atirrense,5,338371.854
2018,diplazium_atirrense,6,346917.254
2018,diplazium_prominulum,1,106422.971
2018,diplazium_prominulum,2,175605.208
2018,diplazium_prominulum,3,178086.003
2018,diplazium_prominulum,4,80541.505
2018,diplazium_prominulum,5,85131.145
2018,diplazium_prominulum,7,85885.929
2017,diplazium_straitastrum,1,324934
2017,diplazium_straitastrum,2,329917
2017,diplazium_straitastrum,3,228924
2017,diplazium_straitastrum,4,214427
2017,diplazium_straitastrum,5,253718
2017,diplazium_straitastrum,6,222779
2018,dryopteris_patula,1,235820.178
2018,dryopteris_patula,2,251243.244
2018,dryopteris_patula,3,97919.624
2018,dryopteris_patula,4,103860.458
2018,dryopteris_patula,5,105418.76
2018,dryopteris_patula,6,79110.959
2017,elaphoglossum_amygdalifolium,1,3105
2017,elaphoglossum_amygdalifolium,2,1401
2017,elaphoglossum_amygdalifolium,3,2288
2017,elaphoglossum_amygdalifolium,4,2259
2017,elaphoglossum_amygdalifolium,5,2230
2017,elaphoglossum_amygdalifolium,6,3326
2018,elaphoglossum_decursivum,1,39407.019
2018,elaphoglossum_decursivum,2,36557.665
2018,elaphoglossum_decursivum,3,34471.007
2018,elaphoglossum_decursivum,4,30624.253
2018,elaphoglossum_decursivum,5,27150.006
2018,elaphoglossum_decursivum,6,30397.715
2017,elaphoglossum_herminieri,1,25482
2017,elaphoglossum_herminieri,2,45804
2017,elaphoglossum_herminieri,3,22970
2017,elaphoglossum_herminieri,4,32962
2017,elaphoglossum_herminieri,5,20140
2017,elaphoglossum_herminieri,6,60595
2019,elaphoglossum_latifolium,1,44929
2019,elaphoglossum_latifolium,2,26676
2019,elaphoglossum_latifolium,3,34552
2019,elaphoglossum_latifolium,4,53459
2019,elaphoglossum_latifolium,5,52159
2019,elaphoglossum_latifolium,6,34080
2019,lomariopsis_japurensis,2,258956.813
2019,lomariopsis_japurensis,3,504361.714
2019,lomariopsis_japurensis,4,656076.11
2019,lomariopsis_japurensis,5,369554.327
2019,lomariopsis_japurensis,6,539840.273
2018,lomariopsis_maxonii,1,193239.137
2018,lomariopsis_maxonii,2,90803.252
2018,lomariopsis_maxonii,3,107976.649
2018,lomariopsis_maxonii,4,169174.788
2018,lomariopsis_maxonii,5,119100.491
2018,lomariopsis_maxonii,6,76887.078
2017,mickelia_nicotianifolia,1,67877
2017,mickelia_nicotianifolia,2,101404
2017,mickelia_nicotianifolia,3,63617
2017,mickelia_nicotianifolia,4,75559
2017,mickelia_nicotianifolia,5,52034
2017,mickelia_nicotianifolia,6,104383
2018,Moranopteris,2,1931.349
2018,Moranopteris,3,1615.712
2018,Moranopteris,4,694.933
2018,Moranopteris,5,1562.649
2017,nephrolepis_biserrata,1,265405
2017,nephrolepis_biserrata,2,208624
2017,nephrolepis_biserrata,3,127186
