year,species,plant_no,xylem_area_um2,lamina_area_cm2
2017,asplenium_auritum,1,29229,61.5
2017,asplenium_auritum,2,23610,58.5
2017,asplenium_auritum,3,31410,25
2017,asplenium_auritum,4,17878,28.6
2017,asplenium_auritum,5,22458,55.7
2017,asplenium_auritum,6,17343,41.8
2017,asplenium_juglandifolia,2,42102,139.8
2017,asplenium_juglandifolia,3,56099,57
2017,asplenium_juglandifolia,4,12428,24.9
2017,asplenium_juglandifolia,5,13227,34
2017,asplenium_serratum,1,59051,248
2017,asplenium_serratum,2,55754,209
2017,asplenium_serratum,3,120665,403
2017,asplenium_serratum,4,73830,272
2017,asplenium_serratum,5,105834,358
2017,asplenium_serratum,6,122967,596
2018,asplenium_uniseriale,2,29277.6,96.88
2018,asplenium_uniseriale,3,36703.254,152.18
2018,asplenium_uniseriale,4,28787.168,60.7
2018,asplenium_uniseriale,5,23113.533,92.51
2018,asplenium_uniseriale,6,24431.842,67.53
2018,asplenium_uniseriale,7,27954.45,65.46
2017,blechnum_occidentale,1,92216,189.4
2017,blechnum_occidentale,2,140674,170.6
2017,blechnum_occidentale,3,138140,259.9
2017,blechnum_occidentale,4,100628,191.4
2017,blechnum_occidentale,5,99148,185.8
2017,blechnum_occidentale,6,118353,190.7
2018,blechnum_schiedeanum,1,375834.069,380.59
2018,blechnum_schiedeanum,2,482534.641,420.33
2018,blechnum_schiedeanum,3,520521.741,364.7
2018,blechnum_schiedeanum,4,377448.337,382.7
2018,blechnum_schiedeanum,5,411167.932,400.24
2018,blechnum_schiedeanum,6,452450.458,480.16
2017,campyloneurum_brevifolium,1,85515,599
2017,campyloneurum_brevifolium,2,53655,350
2017,campyloneurum_brevifolium,3,75336,809
2017,campyloneurum_brevifolium,4,155487,827
2017,campyloneurum_brevifolium,5,86991,329
2017,campyloneurum_brevifolium,6,118567,504
2019,cyclopeltis_semicordata,1,309042.438,746
2019,cyclopeltis_semicordata,2,408200.254,866
2019,cyclopeltis_semicordata,3,170116.552,828
2019,cyclopeltis_semicordata,4,366112.647,824
2019,cyclopeltis_semicordata,5,305728.996,857
2019,cyclopeltis_semicordata,6,202355.506,685
2018,diplazium_atirrense,1,664501.298,1403.1
2018,diplazium_atirrense,2,821985.88,1986.9
2018,diplazium_atirrense,3,613277.357,1043.5
2018,diplazium_atirrense,4,308589.001,616.24
2018,diplazium_atirrense,5,338371.854,591.31
2018,diplazium_atirrense,6,346917.254,370.8
2018,diplazium_prominulum,1,106422.971,345
2018,diplazium_prominulum,2,175605.208,286.5
2018,diplazium_prominulum,3,178086.003,545.1
2018,diplazium_prominulum,4,80541.505,226.2
2018,diplazium_prominulum,5,85131.145,277.6
2018,diplazium_prominulum,7,85885.929,183.5
2017,diplazium_straitastrum,1,324934,80
2017,diplazium_straitastrum,2,329917,48
2017,diplazium_straitastrum,3,228924,93
2017,diplazium_straitastrum,4,214427,60
2017,diplazium_straitastrum,5,253718,60
2017,diplazium_straitastrum,6,222779,85
2018,dryopteris_patula,1,235820.178,902.89
2018,dryopteris_patula,2,251243.244,809.92
2018,dryopteris_patula,3,97919.624,526.75
2018,dryopteris_patula,4,103860.458,459.44
2018,dryopteris_patula,5,105418.76,451.57
2018,dryopteris_patula,6,79110.959,312.13
2017,elaphoglossum_amygdalifolium,1,3105,28.6
2017,elaphoglossum_amygdalifolium,2,1401,36.2
2017,elaphoglossum_amygdalifolium,3,2288,25.1
2017,elaphoglossum_amygdalifolium,4,2259,23.9
2017,elaphoglossum_amygdalifolium,5,2230,23.5
2017,elaphoglossum_amygdalifolium,6,3326,22.5
2018,elaphoglossum_decursivum,1,39407.019,221.22
2018,elaphoglossum_decursivum,2,36557.665,251.78
2018,elaphoglossum_decursivum,3,34471.007,193.19
2018,elaphoglossum_decursivum,4,30624.253,133.82
2018,elaphoglossum_decursivum,5,27150.006,233.5
2018,elaphoglossum_decursivum,6,30397.715,224.52
2017,elaphoglossum_herminieri,1,25482,88.6
2017,elaphoglossum_herminieri,2,45804,54.6
2017,elaphoglossum_herminieri,3,22970,48.3
2017,elaphoglossum_herminieri,4,32962,92.6
2017,elaphoglossum_herminieri,5,20140,103.2
2017,elaphoglossum_herminieri,6,60595,118.6
2019,elaphoglossum_latifolium,1,44929,54.8
2019,elaphoglossum_latifolium,2,26676,84.6
2019,elaphoglossum_latifolium,3,34552,54.2
2019,elaphoglossum_latifolium,4,53459,52.5
2019,elaphoglossum_latifolium,5,52159,92.1
2019,elaphoglossum_latifolium,6,34080,63.8
