species,niche,plant_no,disk,region,sto1,sto2,sto3,fov_mm2
blechnum_occidentale ,terrestrial,1,1,1,3,5,7,0.16
blechnum_occidentale ,terrestrial,1,1,2,6,3,5,0.16
blechnum_occidentale ,terrestrial,1,1,3,5,8,5,0.16
blechnum_occidentale ,terrestrial,1,2,1,4,5,5,0.16
blechnum_occidentale ,terrestrial,1,2,2,7,5,5,0.16
blechnum_occidentale ,terrestrial,1,2,3,7,6,6,0.16
blechnum_occidentale ,terrestrial,1,3,1,5,4,2,0.16
blechnum_occidentale ,terrestrial,1,3,2,4,1,3,0.16
blechnum_occidentale ,terrestrial,1,3,3,6,0,6,0.16
blechnum_occidentale ,terrestrial,2,1,1,7,7,3,0.16
blechnum_occidentale ,terrestrial,2,1,2,6,6,0,0.16
blechnum_occidentale ,terrestrial,2,1,3,2,6,2,0.16
blechnum_occidentale ,terrestrial,2,2,1,5,7,2,0.16
blechnum_occidentale ,terrestrial,2,2,2,2,4,6,0.16
blechnum_occidentale ,terrestrial,2,2,3,5,4,4,0.16
blechnum_occidentale ,terrestrial,2,3,1,7,5,9,0.16
blechnum_occidentale ,terrestrial,2,3,2,6,4,8,0.16
blechnum_occidentale ,terrestrial,2,3,3,6,7,5,0.16
blechnum_occidentale ,terrestrial,3,1,1,7,4,8,0.16
blechnum_occidentale ,terrestrial,3,1,2,4,11,8,0.16
blechnum_occidentale ,terrestrial,3,1,3,9,5,10,0.16
blechnum_occidentale ,terrestrial,3,2,1,9,7,7,0.16
blechnum_occidentale ,terrestrial,3,2,2,9,9,6,0.16
blechnum_occidentale ,terrestrial,3,2,3,6,7,7,0.16
blechnum_occidentale ,terrestrial,3,3,1,8,8,7,0.16
blechnum_occidentale ,terrestrial,3,3,2,6,5,8,0.16
blechnum_occidentale ,terrestrial,3,3,3,6,9,7,0.16
blechnum_occidentale ,terrestrial,4,1,1,6,6,6,0.16
blechnum_occidentale ,terrestrial,4,1,2,5,6,6,0.16
blechnum_occidentale ,terrestrial,4,1,3,4,8,7,0.16
blechnum_occidentale ,terrestrial,4,2,1,3,1,6,0.16
blechnum_occidentale ,terrestrial,4,2,2,5,6,4,0.16
blechnum_occidentale ,terrestrial,4,2,3,5,4,3,0.16
blechnum_occidentale ,terrestrial,4,3,1,6,5,0,0.16
blechnum_occidentale ,terrestrial,4,2,2,8,1,5,0.16
blechnum_occidentale ,terrestrial,4,2,3,7,4,1,0.16
blechnum_occidentale ,terrestrial,5,1,1,5,5,6,0.16
blechnum_occidentale ,terrestrial,5,1,2,8,8,6,0.16
blechnum_occidentale ,terrestrial,5,1,3,7,8,5,0.16
