"Viewer version","2.84"
"Measure start time","Monday, January 14, 2019 2:25:11 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"334","334.0255","0.793"
"335","334.9829","0.138"
"336","336.0039","0.793"
"337","336.9934","0.103"
"338","337.9985","0.448"
"339","339.0041","0.138"
"340","339.9773","-1.172"
"341","340.9997","0.310"
"342","341.9754","-0.621"
"343","342.9832","-0.379"
"344","343.9910","-0.345"
"345","344.9986","-0.276"
"346","345.9904","-0.345"
"347","347.0142","-0.483"
"348","347.9904","-0.621"
"349","348.9983","-0.379"
"350","349.9903","-0.655"
"351","350.9977","0.310"
"352","351.9724","0.517"
"353","352.9794","-0.172"
"354","353.9859","0.069"
"355","354.9929","0.138"
"356","355.9678","-0.414"
"357","356.9746","-0.448"
"358","357.9976","0.207"
"359","359.0045","0.345"
"360","359.9795","-0.069"
"361","361.0033","0.483"
"362","361.9798","-0.138"
"363","362.9721","0.276"
"364","363.9967","1.138"
"365","364.9729","0.793"
"366","365.9811","0.483"
"367","367.0054","0.414"
"368","367.9815","-0.103"
"369","368.9898","0.414"
"370","370.0140","0.621"
"371","371.0207","-0.241"
"372","371.9952","0.862"
"373","373.0013","0.000"
"374","373.9915","-0.138"
"375","374.9817","0.793"
"376","375.9878","-0.241"
"377","376.9781","0.414"
"378","377.9680","-0.621"
"379","378.9903","-0.897"
"380","379.9963","-0.241"
"381","381.0038","0.103"
"382","382.0124","-0.586"
"383","382.9732","0.000"
"384","383.9818","0.448"
"385","385.0227","-1.207"
"386","385.9994","0.069"
"387","386.9761","-0.517"
"388","388.0008","-0.552"
"389","388.9934","0.414"
"390","389.9866","0.552"
"391","391.0263","0.000"
"392","392.0015","0.138"
"393","393.0246","0.690"
"394","393.9837","0.241"
"395","395.0066","-0.034"
"396","395.9818","0.172"
"397","396.9889","0.586"
"398","397.9960","-0.103"
"399","399.0033","-0.069"
"400","400.0105","0.379"
"401","401.0008","0.138"
"402","402.0070","-0.586"
"403","402.9970","-0.172"
"404","403.9871","-0.552"
"437","436.9919","14.517"
"438","437.9680","14.345"
"439","439.0078","13.586"
"440","439.9839","15.379"
"441","440.9766","14.345"
"442","442.0014","13.966"
"443","442.9941","13.966"
"444","443.9708","13.621"
"445","444.9795","13.724"
"446","446.0040","14.138"
"447","446.9967","14.310"
"448","448.0054","14.103"
"449","448.9982","14.310"
"450","450.0068","14.310"
"451","450.9666","13.724"
"452","451.9890","14.828"
"453","452.9957","14.897"
"454","453.9702","15.724"
"455","455.0090","15.034"
"456","455.9835","15.448"
"457","456.9738","15.655"
"458","457.9645","15.276"
"459","458.9868","15.517"
"460","459.9612","16.345"
"461","460.9676","15.966"
"462","461.9577","16.103"
"463","462.9641","15.931"
"464","464.0025","14.759"
"465","464.9768","14.517"
"466","465.9512","14.793"
"467","466.9572","14.724"
"468","467.9795","14.414"
"469","468.9701","15.207"
"470","469.9599","13.966"
"471","470.9665","15.207"
"472","471.9899","15.276"
"473","472.9971","15.793"
"474","473.9561","15.862"
"475","474.9635","15.207"
"476","475.9707","15.655"
"477","476.9779","15.241"
"478","478.0010","14.448"
"479","478.9764","13.724"
"480","479.9997","15.207"
"481","480.9753","14.655"
"482","481.9513","14.414"
"483","482.9590","14.483"
"484","483.9668","14.793"
"485","484.9584","15.276"
"486","485.9660","15.448"
"487","486.9740","15.138"
"488","487.9816","14.414"
"489","488.9575","14.621"
"490","489.9654","15.517"
"491","490.9571","14.621"
"492","491.9971","15.379"
"493","492.9568","15.828"
"494","493.9810","15.966"
"495","494.9728","15.517"
"496","495.9646","14.690"
"497","496.9723","15.241"
"498","497.9641","15.276"
"499","499.0037","14.655"
"500","499.9795","15.379"
"501","500.9706","15.069"
"502","501.9760","14.276"
"503","502.9817","14.241"
"504","503.9713","15.000"
"505","504.9767","14.138"
"506","505.9666","14.172"
"507","506.9560","14.345"
"508","507.9935","14.483"
"541","540.9396","0.241"
"542","541.9483","-0.724"
"543","542.9728","-0.172"
"544","543.9496","0.000"
"545","544.9585","0.586"
"546","545.9672","0.690"
"547","546.9604","0.586"
"548","547.9525","0.483"
"549","548.9611","0.793"
"550","549.9533","0.517"
"551","550.9615","-0.517"
"552","551.9683","0.034"
"553","552.9915","0.552"
"554","553.9506","-0.207"
"555","554.9740","0.724"
"556","555.9810","0.345"
"557","556.9881","0.379"
"558","557.9632","0.759"
"559","558.9543","1.207"
"560","559.9936","0.207"
"561","560.9522","-0.207"
"562","561.9577","0.448"
"563","562.9474","0.483"
"564","563.9528","-0.034"
"565","564.9423","-0.103"
"566","565.9640","0.414"
"567","566.9534","0.414"
"568","567.9431","-0.103"
"569","568.9806","0.310"
"570","569.9381","0.172"
"571","570.9444","0.172"
"572","571.9360","-0.069"
"573","572.9437","-0.345"
"574","573.9352","0.414"
"575","574.9427","0.103"
"576","575.9500","0.448"
"577","576.9572","0.207"
"578","577.9489","-0.483"
"579","578.9562","-0.586"
"580","579.9635","-0.069"
"581","580.9231","-1.414"
"582","581.9794","1.345"
"583","582.9555","1.172"
"584","583.9473","-0.345"
"585","584.9554","-0.793"
"586","585.9479","0.103"
"587","586.9398","0.310"
"588","587.9479","-0.448"
"589","588.9558","0.241"
"590","589.9320","0.000"
"591","590.9398","0.310"
"592","591.9473","0.414"
"593","592.9547","0.552"
"594","593.9459","0.310"
"595","594.9535","-1.000"
"596","595.9449","0.103"
"597","596.9525","-0.069"
"598","597.9438","-0.414"
"599","598.9676","0.379"
"600","599.9591","0.103"
"601","600.9501","-0.517"
"602","601.9558","-0.172"
"603","602.9294","-0.379"
"604","603.9509","-0.552"
"605","604.9725","-0.655"
"606","605.9461","0.034"
"607","606.9357","0.310"
"608","607.9414","-0.690"
"609","608.9308","-0.207"
"610","609.9366","-0.724"
"611","610.9106","-0.724"
"612","611.9348","-0.448"
"613","612.9276","-0.828"
"614","613.9357","-1.069"
"615","614.9599","-0.310"
"616","615.9204","-0.724"
"617","616.9447","-0.828"
