"Viewer version","2.84"
"Measure start time","Thursday, January 17, 2019 7:29:33 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"265","265.0566","-0.172"
"266","266.0452","-0.241"
"267","267.0503","-0.241"
"268","268.0552","-0.345"
"269","269.0283","0.172"
"270","270.0648","0.034"
"271","271.0401","0.379"
"272","272.0327","0.517"
"273","273.0415","0.345"
"274","274.0496","-0.310"
"275","275.0586","1.690"
"276","276.0510","-0.138"
"277","277.0436","-0.103"
"278","278.0678","-0.345"
"279","279.0447","-1.759"
"280","280.0693","-0.448"
"281","281.0611","0.448"
"282","282.0530","-0.379"
"283","283.0764","-0.345"
"284","284.0526","-0.069"
"285","285.0764","-0.621"
"286","286.0521","-0.655"
"287","287.0436","-0.414"
"288","288.0836","-0.966"
"289","289.0754","-0.448"
"290","290.0513","0.103"
"291","291.0416","-1.069"
"292","292.0473","-0.069"
"293","293.0688","0.034"
"294","294.0426","0.207"
"295","295.0482","-0.172"
"296","296.0696","0.034"
"297","297.0438","-0.207"
"298","298.0494","-1.586"
"299","299.0391","-1.379"
"300","300.0767","-1.034"
"301","301.0355","0.000"
"302","302.0595","-0.552"
"303","303.0351","-0.655"
"304","304.0586","-0.448"
"305","305.0340","1.000"
"306","306.0578","0.793"
"307","307.0493","-0.379"
"308","308.0569","0.207"
"309","309.0644","0.000"
"310","310.0722","-0.172"
"311","311.0471","0.000"
"312","312.0536","-0.310"
"313","313.0447","-0.552"
"314","314.0672","-0.828"
"315","315.0581","-0.517"
"316","316.0327","-0.655"
"317","317.0396","-0.724"
"318","318.0464","0.069"
"319","319.0690","-0.034"
"320","320.0439","0.241"
"321","321.0506","-0.138"
"322","322.0572","-0.276"
"323","323.0320","-0.483"
"324","324.0546","-0.069"
