"Viewer version","2.84"
"Measure start time","Thursday, January 17, 2019 12:13:27 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"307","307.0632","-1.310"
"308","308.0548","-0.034"
"309","309.0625","-0.379"
"310","310.0700","-0.724"
"311","311.0453","0.448"
"312","312.0524","0.103"
"313","313.0752","0.586"
"314","314.0665","0.310"
"315","315.0731","0.310"
"316","316.0482","-1.379"
"317","317.0716","-0.276"
"318","318.0785","-1.034"
"319","319.0534","-0.621"
"320","320.0447","-1.069"
"321","321.0680","-0.138"
"322","322.0603","-1.276"
"323","323.0522","-0.483"
"324","324.0445","-0.207"
"325","325.0363","-0.586"
"326","326.0441","0.241"
"327","327.0523","-0.207"
"328","328.0602","-0.655"
"329","329.0683","0.310"
"330","330.0444","-0.862"
"331","331.0677","0.448"
"332","332.0588","-2.034"
"333","333.0822","0.448"
"334","334.0575","0.828"
"335","335.0486","-0.724"
"336","336.0558","0.241"
"337","337.0469","0.448"
"338","338.0539","-1.000"
"339","339.0612","0.552"
"340","340.0681","-0.552"
"341","341.0440","-0.345"
"342","342.0677","0.759"
"343","343.0595","0.103"
"344","344.0514","0.345"
"345","345.0751","0.138"
"346","346.0510","0.483"
"347","347.0588","-0.483"
"348","348.0825","-0.586"
"349","349.0903","0.207"
"350","350.0658","0.448"
"351","351.0414","0.241"
"352","352.0482","-0.966"
"353","353.0551","-0.621"
"354","354.0460","-0.586"
"355","355.0528","0.000"
"356","356.0596","-1.793"
"357","357.0665","-0.138"
"358","358.0735","-0.483"
"359","359.0803","-1.483"
"360","360.0873","-0.034"
"361","361.0629","-0.621"
"362","362.0388","0.138"
"363","363.0791","0.172"
"364","364.0391","-0.207"
"365","365.0473","-0.621"
"366","366.0713","0.759"
"367","367.0477","0.138"
"368","368.0880","-0.931"
"369","369.0642","-1.345"
"370","370.0561","-0.828"
"371","371.0636","-1.621"
"372","372.0374","-0.655"
"373","373.0437","0.000"
"374","374.0340","-0.931"
"375","375.0404","-0.138"
"376","376.0465","1.241"
"377","377.0527","-0.069"
"378","378.0588","0.586"
"379","379.0490","0.207"
"380","380.0552","-0.448"
"381","381.0309","0.103"
"382","382.0399","0.069"
"383","383.0488","24.379"
"384","384.0575","-1.414"
"385","385.0504","-0.724"
"386","386.0273","0.310"
"387","387.0366","-0.138"
"388","388.0453","0.414"
"429","429.0432","4.276"
"430","430.0666","1.966"
