"Viewer version","2.84"
"Measure start time","Sunday, July 8, 2018 9:23:21 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"15","15.0588","-0.344"
"16","16.0336","-0.456"
"17","17.0238","-0.207"
"18","18.0465","-0.363"
"19","19.0373","-0.170"
"20","20.0280","0.330"
"21","21.0526","0.011"
"22","22.0453","-0.093"
"23","23.0537","0.096"
"24","24.0306","-0.070"
"25","25.0386","-0.022"
"26","26.0154","0.030"
"27","27.0240","0.185"
"28","28.0162","0.030"
"29","29.0410","0.019"
"30","30.0176","-0.044"
"31","31.0257","-0.063"
"32","32.0338","0.174"
"33","33.0416","-0.626"
"34","34.0180","0.444"
"35","35.0263","0.322"
"36","36.0186","0.222"
"37","37.0107","0.026"
"38","38.0187","-0.019"
"39","39.0110","0.000"
"40","40.0185","0.085"
"41","40.9931","0.074"
"42","42.0003","0.037"
"43","43.0068","0.263"
"44","43.9972","0.052"
"45","45.0042","0.141"
"46","45.9785","-0.041"
"47","46.9854","0.004"
"48","47.9917","0.026"
"49","48.9827","0.107"
"50","49.9894","0.185"
"51","50.9803","0.156"
"52","52.0198","0.367"
"53","52.9788","0.693"
"54","54.0021","0.211"
"55","54.9778","0.141"
"56","55.9851","-0.026"
"57","56.9919","0.033"
"58","57.9676","-0.015"
"59","58.9588","0.152"
"60","59.9819","0.141"
"61","60.9729","0.196"
"62","61.9637","11.833"
"63","62.9704","0.385"
"64","63.9458","0.185"
"65","64.9523","0.141"
"66","65.9594","0.170"
"67","66.9665","0.189"
"68","67.9574","0.315"
"69","68.9642","0.111"
"70","69.9392","0.507"
"71","70.9463","0.241"
"72","71.9534","-0.041"
"73","72.9452","0.148"
"74","73.9367","0.300"
"75","74.9756","0.152"
"76","75.9351","-0.004"
"77","76.9424","0.059"
"78","77.9339","0.059"
"79","78.9253","0.048"
"80","79.9323","-0.067"
"81","80.9259","-0.881"
"82","81.9346","-0.044"
"83","82.9280","-0.730"
"84","83.9207","0.081"
"85","84.9622","0.022"
"86","85.9233","-0.411"
"87","86.9479","0.019"
"88","87.9253","-0.093"
"89","88.9341","-0.059"
"90","89.9274","0.126"
"91","90.9185","-0.130"
"92","91.9258","-3.519"
"93","92.9488","1.407"
"99","98.9115","0.215"
"100","99.9190","0.281"
"101","100.9243","0.463"
"102","101.9303","0.285"
"103","102.8877","0.281"
"104","103.8938","0.300"
"105","104.8831","0.263"
"106","105.8890","0.400"
"107","106.9107","0.148"
"108","107.8685","0.219"
"109","108.8901","0.696"
"110","109.8634","0.137"
"111","110.8886","0.315"
"112","111.8818","0.141"
"113","112.8587","0.370"
"114","113.8683","0.341"
"115","114.8617","0.393"
"116","115.8868","0.278"
"117","116.8800","0.315"
"118","117.8574","-3.974"
"119","118.8667","-1.678"
"120","119.8916","-3.130"
"121","120.8669","-1.815"
"122","121.8732","4.974"
"123","122.8798","2.578"
"124","123.8707","-1.789"
"125","124.8775","-0.970"
"126","125.8521","0.067"
"127","126.8427","-3.689"
"128","127.8490","-1.300"
"129","128.8399","1.819"
"130","129.8467","3.400"
"131","130.8689","-2.163"
"132","131.8750","0.619"
"133","132.8492","0.119"
"134","133.8234","-2.607"
"135","134.8454","3.422"
"136","135.8197","0.493"
"137","136.8094","0.111"
"138","137.8318","-0.293"
"139","138.8060","0.767"
"140","139.7963","0.252"
"141","140.8354","0.119"
"142","141.8117","0.137"
"143","142.8189","0.174"
"144","143.8272","0.556"
"145","144.8025","0.270"
