"Viewer version","2.84"
"Measure start time","Sunday, July 8, 2018 12:12:16 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"107","106.9268","-1.259"
"108","107.9199","-3.530"
"109","108.9291","-4.348"
"110","109.9062","0.459"
"111","110.9296","0.189"
"112","111.9209","-3.878"
"113","112.9122","3.904"
"114","113.9195","-0.707"
"115","114.9264","-0.448"
"116","115.9181","-0.663"
"117","116.9095","-1.085"
"118","117.9004","-0.652"
"119","118.9399","-0.115"
"120","119.9156","1.004"
"121","120.9059","-2.059"
"122","121.8962","-0.204"
"123","122.9183","-0.596"
"124","123.9082","-0.863"
"125","124.9303","0.374"
"126","125.8886","0.474"
"127","126.8783","-0.781"
"128","127.8847","-0.715"
"129","128.8908","-0.381"
"130","129.8650","0.622"
"131","130.9043","0.230"
"132","131.8802","-0.104"
"133","132.8562","0.378"
"134","133.8639","-0.519"
"135","134.8713","-0.026"
"136","135.8794","-0.767"
"137","136.8869","-0.715"
"138","137.8626","1.030"
"139","138.8702","-0.233"
"140","139.8616","-0.219"
"141","140.8847","-0.122"
"142","141.8919","-0.115"
"143","142.8507","-0.185"
"144","143.8581","-0.163"
"145","144.8648","-0.096"
"146","145.8722","-0.170"
"147","146.8634","-0.126"
"148","147.8544","-0.096"
"149","148.8455","-0.178"
"150","149.8519","-0.241"
"151","150.8435","-0.159"
"152","151.8506","-0.156"
"153","152.8574","-0.252"
"154","153.8490","-0.189"
"155","154.8400","-0.148"
"156","155.8474","-0.159"
"157","156.8225","-0.222"
"158","157.8618","-0.156"
"159","158.8690","-0.185"
"160","159.8442","-0.219"
"161","160.8194","-0.200"
"162","161.8271","-0.215"
"163","162.8339","-0.248"
"164","163.8415","-0.215"
"165","164.8323","-0.248"
"166","165.8560","-0.170"
"167","166.8313","0.111"
"168","167.8224","-0.226"
"169","168.8138","-0.237"
"170","169.8052","-0.219"
"171","170.8140","-0.204"
"172","171.8073","-0.152"
"173","172.8166","-0.152"
"174","173.8260","-0.207"
"175","174.8029","-0.233"
"176","175.8126","-0.159"
"177","176.8058","-0.215"
"178","177.8148","-0.207"
"179","178.8565","-0.211"
"180","179.8337","-0.167"
"181","180.8411","-0.222"
"182","181.8472","-0.178"
"183","182.8063","-0.426"
"184","183.8127","-0.237"
"185","184.8189","-0.178"
"186","185.8259","-0.341"
"187","186.8003","-0.219"
"188","187.8066","0.011"
"189","188.7813","0.033"
"190","189.7875","-0.330"
"191","190.7939","-0.048"
"192","191.8000","-0.159"
"193","192.7901","-0.122"
"194","193.7802","-0.107"
"195","194.7860","-0.174"
"196","195.7924","-0.163"
"197","196.7822","-0.174"
"198","197.8046","0.207"
"199","198.7626","-0.204"
"200","199.7691","-0.233"
"201","200.7598","-0.089"
"202","201.7522","-0.441"
"203","202.7600","-0.178"
"204","203.7518","-0.330"
"205","204.7755","-0.159"
"206","205.7511","-0.130"
"207","206.7913","-0.244"
"208","207.7673","-0.278"
"209","208.7592","-0.189"
"210","209.7672","-0.152"
"211","210.7596","-0.263"
"212","211.7694","-0.304"
"213","212.7627","-0.137"
"214","213.7561","-0.152"
"215","214.7815","-0.111"
"216","215.7582","-0.178"
"217","216.7520","-0.204"
"218","217.7613","-0.196"
"219","218.7705","-0.137"
"220","219.7638","-0.148"
"221","220.7717","-0.067"
"222","221.7462","0.033"
"223","222.7368","0.070"
"224","223.7594","-0.056"
"225","224.7499","0.070"
"226","225.7560","-0.052"
"227","226.7305","-0.133"
"228","227.7532","-0.515"
"229","228.7438","-1.730"
"230","229.7343","0.237"
"231","230.7248","-0.422"
"232","231.7318","0.970"
"233","232.7544","2.059"
"234","233.7298","-0.281"
"235","234.7205","-0.167"
"236","235.7278","0.081"
"237","236.7188","-0.011"
"238","237.7261","-0.689"
"239","238.7171","0.119"
"240","239.7237","-0.152"
"241","240.7157","0.011"
"242","241.7240","0.274"
"243","242.7319","-0.707"
"244","243.7084","0.226"
"245","244.7329","-0.037"
"246","245.7251","-0.926"
"247","246.7175","0.767"
"248","247.7417","-0.374"
"249","248.7500","-0.881"
"250","249.7109","0.030"
"251","250.7181","0.230"
"252","251.7389","-0.056"
"253","252.7122","-0.285"
"254","253.6858","-0.130"
"255","254.6910","-0.167"
"256","255.7280","-0.122"
"257","256.7012","-0.137"
"258","257.6905","-0.315"
"259","258.6797","-0.007"
"260","259.6845","-0.022"
"261","260.6750","-0.119"
"262","261.6679","-0.130"
"263","262.6925","-0.070"
"264","263.6696","-0.159"
"265","264.6625","-0.081"
"266","265.6875","-0.448"
"267","266.6962","-0.281"
"268","267.6730","-0.222"
"269","268.6654","-0.137"
"270","269.6746","-0.178"
"271","270.6827","-0.741"
"272","271.6751","-0.178"
"273","272.6669","-0.189"
"274","273.6911","-0.281"
"275","274.6676","-0.089"
"276","275.6754","-0.104"
"277","276.6841","-0.122"
"278","277.6761","-0.122"
"279","278.6844","-0.222"
"280","279.6603","-0.230"
"281","280.6839","-0.333"
"282","281.6898","-0.207"
"283","282.6639","-0.059"
"284","283.6534","-0.152"
"285","284.6593","-0.133"
"286","285.6493","-0.163"
"287","286.6556","-0.230"
"288","287.6458","-0.089"
"289","288.6518","-0.074"
"290","289.6574","-0.096"
"291","290.6325","-0.252"
"292","291.6241","-0.196"
"293","292.6324","-0.374"
"305","304.6104","4.152"
"306","305.6165","4.030"
"307","306.6231","4.133"
"308","307.5972","4.193"
"309","308.6040","4.126"
"310","309.6260","4.278"
"311","310.6332","4.196"
"312","311.6097","3.737"
"313","312.6018","4.422"
"314","313.6102","3.893"
"315","314.6031","4.456"
"316","315.5956","4.296"
"317","316.6041","3.619"
"318","317.5967","3.381"
"319","318.6053","4.219"
"320","319.6134","4.141"
"321","320.6058","4.204"
"322","321.5969","3.878"
"323","322.6036","4.541"
"324","323.6108","3.744"
"325","324.5858","4.100"
"326","325.5768","5.107"
"327","326.5678","5.222"
