"Viewer version","2.84"
"Measure start time","Tuesday, July 10, 2018 9:20:13 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"91","90.9421","1.111"
"92","91.9324","-0.637"
"93","92.9386","-0.074"
"94","93.9452","-0.911"
"95","94.9354","-0.467"
"96","95.9417","-1.048"
"97","96.9320","-0.504"
"98","97.9222","-1.511"
"99","98.9124","-1.137"
"100","99.9187","0.141"
"101","100.9119","-0.700"
"102","101.9208","-1.081"
"103","102.9135","0.604"
"104","103.9066","4.207"
"105","104.9316","-0.115"
"106","105.9245","-0.344"
"107","106.9173","-0.007"
"108","107.9419","-0.074"
"109","108.9191","0.026"
"110","109.9280","-0.507"
"111","110.9183","-0.133"
"112","111.8921","0.852"
"113","112.9146","0.107"
"114","113.9044","0.044"
"115","114.8947","-0.907"
"116","115.9009","-0.652"
"117","116.9229","-0.159"
"118","117.8971","1.259"
"119","118.8873","0.944"
"120","119.8773","-0.185"
"121","120.8854","0.022"
"122","121.8939","1.689"
"123","122.9023","0.181"
"124","123.8787","2.485"
"125","124.8869","0.981"
"126","125.8631","0.104"
"127","126.8875","-1.515"
"128","127.8797","-1.537"
"129","128.8723","-2.241"
"130","129.8963","0.115"
"131","130.8726","-1.270"
"132","131.8807","-0.900"
"133","132.8885","-0.911"
"134","133.8805","-0.556"
"135","134.8725","-1.389"
"136","135.8644","0.874"
"137","136.8881","-0.622"
"138","137.8963","-0.867"
"139","138.8563","-0.437"
"140","139.8639","-0.507"
"141","140.8709","-0.363"
"142","141.8940","-0.130"
"143","142.8849","-0.315"
"144","143.8758","0.093"
"145","144.8507","-0.304"
"146","145.8416","-0.163"
"147","146.8486","-0.133"
"148","147.8391","0.056"
"149","148.8460","-0.063"
"150","149.8372","-0.048"
"151","150.8619","0.559"
"152","151.8389","-0.752"
"153","152.8318","0.378"
"154","153.8248","0.326"
"155","154.8338","-0.419"
"156","155.8426","-0.493"
"157","156.8356","-0.385"
"158","157.8449","0.663"
"159","158.8537","-2.785"
"160","159.8628","-0.881"
"161","160.8552","-0.178"
"162","161.8312","0.415"
"163","162.8390","-0.078"
"164","163.8474","-0.633"
"165","164.8233","-0.826"
"166","165.8315","1.544"
"167","166.8234","0.289"
"168","167.8317","0.174"
"169","168.8237","0.581"
"170","169.8158","-0.989"
"171","170.8233","2.633"
"172","171.8307","-0.326"
"173","172.8541","-1.044"
"174","173.8292","-1.756"
"175","174.8049","-2.067"
"176","175.8124","-0.581"
"177","176.8197","0.711"
"178","177.7948","-0.026"
"179","178.8186","0.130"
"180","179.8095","-0.056"
"181","180.8008","-0.289"
"182","181.7914","-1.374"
"183","182.7981","-0.263"
"184","183.7889","-0.259"
"185","184.7793","-0.322"
"186","185.7861","-0.333"
"187","186.8090","-0.278"
"188","187.8154","-0.400"
"189","188.7903","-0.504"
"190","189.7809","-1.044"
"191","190.7727","-0.063"
"192","191.7815","-0.633"
"193","192.7743","0.148"
"194","193.7671","0.030"
"195","194.7918","-0.215"
"196","195.8004","0.159"
"197","196.7932","-0.296"
"198","197.7695","-0.230"
"199","198.7784","0.115"
"200","199.7708","0.567"
"201","200.7940","0.167"
"202","201.7682","-0.637"
"203","202.7587","-0.552"
"204","203.7649","-1.089"
"205","204.7714","-0.741"
"206","205.7616","-1.396"
"207","206.7677","-0.911"
"208","207.7741","-0.741"
"209","208.7484","-1.048"
"210","209.7548","-0.874"
"211","210.7309","-58.696"
"212","211.7407","39.944"
"213","212.7342","-120.000"
"214","213.7758","-7.574"
"215","214.7853","-2.111"
"216","215.7472","-0.511"
"217","216.7570","-1.067"
"218","217.7507","1.181"
"219","218.7603","-8.470"
"220","219.7380","-0.148"
"221","220.7773","-2.974"
"222","221.7679","0.111"
"223","222.7420","1.044"
"224","223.7481","0.052"
"225","224.7543","-0.296"
"226","225.7282","-0.085"
"227","226.7346","-0.974"
"228","227.7247","-0.400"
"229","228.7148","0.304"
"230","229.7050","-3.948"
"231","230.7287","-0.363"
"232","231.7223","0.004"
"233","232.7317","-1.244"
"234","233.7088","0.041"
"235","234.7185","1.974"
"236","235.7120","0.304"
"237","236.7210","-0.341"
"238","237.7308","-1.052"
"239","238.7561","1.900"
"240","239.7336","-1.293"
"241","240.7097","-4.148"
"242","241.7160","8.656"
"243","242.7065","-2.311"
"244","243.7451","-2.326"
"245","244.7196","-3.444"
"246","245.7101","-0.848"
"247","246.7166","-1.463"
"248","247.6912","0.978"
"249","248.7134","0.767"
"250","249.7043","-0.574"
"251","250.7112","1.833"
"252","251.7027","0.315"
"253","252.7262","-0.715"
"254","253.7018","-0.381"
"255","254.6932","-0.815"
"256","255.6848","-0.211"
"257","256.6922","-0.730"
"258","257.6998","-2.696"
"259","258.6751","-1.181"
"260","259.6825","1.130"
"261","260.6902","-0.081"
"262","261.6658","0.207"
"263","262.6889","0.741"
"264","263.6806","-1.781"
"265","264.6719","0.941"
"266","265.6791","-5.022"
"267","266.6707","-1.100"
"268","267.6622","-0.541"
"269","268.6697","-0.967"
"270","269.6769","-2.485"
"271","270.6852","-4.756"
"272","271.6785","-3.274"
"273","272.6558","1.733"
"274","273.6492","-2.322"
"275","274.6586","1.659"
"276","275.6837","-2.396"
"277","276.6613","-1.267"
"278","277.6547","3.159"
"279","278.6800","1.204"
"280","279.6574","2.889"
"281","280.6659","-0.415"
"282","281.6563","0.967"
"283","282.6789","0.130"
"284","283.6699","0.500"
"285","284.6446","-0.319"
"286","285.6510","0.011"
"287","286.6418","3.063"
"288","287.6486","-1.104"
"289","288.6392","-0.589"
"290","289.6299","1.037"
"291","290.6368","0.552"
"292","291.6759","-1.041"
"293","292.6508","-0.537"
"294","293.6263","0.989"
"295","294.6494","-0.948"
"296","295.6407","-1.211"
"297","296.6157","-0.222"
"298","297.6549","0.415"
"299","298.6298","-0.770"
"300","299.6213","-1.052"
"301","300.6288","0.800"
"302","301.6215","0.041"
"303","302.6141","-0.289"
"304","303.6389","0.007"
"305","304.6157","0.233"
"306","305.6087","-0.030"
"307","306.6176","-0.215"
"308","307.6099","-0.315"
"309","308.6026","-0.322"
"310","309.6279","-0.511"
"330","329.6306","0.070"
"331","330.6067","-2.867"
"332","331.6140","0.452"
"333","332.5892","-0.378"
"334","333.5970","0.226"
"335","334.5880","0.733"
"336","335.5957","0.167"
"337","336.5710","1.422"
"338","337.5946","0.533"
"339","338.6020","-0.367"
"340","339.5772","0.070"
"341","340.6005","0.270"
"342","341.5908","0.081"
"343","342.5807","0.189"
"344","343.5869","-0.107"
"345","344.5772","0.178"
"346","345.5674","0.044"
"347","346.5570","-0.252"
"348","347.5634","-0.070"
"349","348.5536","-0.485"
"350","349.5593","0.674"
"351","350.5499","-0.278"
"352","351.5584","-0.411"
"353","352.5508","0.281"
"354","353.5752","-0.122"
"355","354.5355","-0.252"
"356","355.5440","-0.130"
"357","356.5361","-0.670"
"358","357.5607","3.926"
"359","358.5532","1.170"
"360","359.5452","-0.352"
"361","360.5381","0.537"
"362","361.5474","-0.659"
"363","362.5246","1.196"
"364","363.5499","1.381"
"365","364.5272","0.441"
"366","365.5685","0.726"
"367","366.5457","0.067"
"368","367.5388","-0.744"
"369","368.5802","1.130"
"370","369.5575","-0.452"
"371","370.5826","-0.104"
"372","371.5584","-0.133"
"373","372.5500","-0.222"
"374","373.5420","0.370"
"375","374.5336","0.130"
"376","375.5410","-0.007"
"377","376.5649","0.119"
"378","377.5406","0.567"
"379","378.5642","-0.448"
"380","379.5398","0.752"
"381","380.5157","0.389"
"382","381.5386","0.259"
"383","382.5138","-0.078"
"384","383.5370","-0.363"
"385","384.5281","-0.185"
"386","385.5350","0.156"
"387","386.5265","0.081"
"388","387.5333","0.233"
"389","388.5084","0.004"
"390","389.5155","-0.115"
"391","390.5069","-0.378"
"392","391.5135","-0.633"
"393","392.5204","0.289"
"394","393.4949","-0.222"
"395","394.5179","1.078"
"396","395.4923","0.726"
"397","396.5152","-1.370"
"398","397.4739","0.489"
"399","398.4966","0.348"
"400","399.5032","0.207"
"401","400.4942","0.048"
"402","401.4871","0.181"
"403","402.4805","0.052"
"404","403.4899","0.241"
"405","404.4832","0.211"
"406","405.4760","0.170"
"407","406.4853","-0.411"
"408","407.4949","-0.048"
"409","408.4882","0.389"
"410","409.4651","0.170"
"411","410.4909","0.326"
"412","411.4816","-0.052"
"413","412.4719","-2.574"
"414","413.4785","-0.315"
"415","414.4847","-0.274"
"416","415.4750","-0.130"
"417","416.4659","0.063"
"418","417.4724","0.193"
"419","418.4469","0.163"
"420","419.4852","0.344"
"421","420.4599","-0.326"
"422","421.4663","-0.026"
"423","422.4573","-0.441"
"424","423.4646","-0.248"
"425","424.4556","-0.007"
"426","425.4626","0.148"
"427","426.4697","0.019"
"428","427.4443","0.285"
"536","535.3030","0.300"
"537","536.2784","-0.400"
"538","537.3017","-0.026"
"539","538.3088","0.111"
"540","539.3005","-0.144"
"541","540.2915","-0.059"
"542","541.2667","0.456"
"543","542.3059","0.367"
"544","543.3128","3.630"
