"Viewer version","2.84"
"Measure start time","Tuesday, July 10, 2018 2:07:31 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"105","104.8841","-3.448"
"106","105.8590","-2.078"
"107","106.8500","0.678"
"108","107.8728","0.159"
"109","108.8955","-0.622"
"110","109.8546","-0.007"
"111","110.8447","0.293"
"112","111.8510","3.689"
"113","112.8569","-1.030"
"114","113.8313","0.030"
"115","114.8698","-1.956"
"116","115.8442","0.581"
"117","116.8184","0.493"
"118","117.8249","0.085"
"119","118.8470","0.700"
"120","119.8529","0.019"
"121","120.8465","1.452"
"122","121.8562","-0.596"
"123","122.8337","-0.567"
"124","123.8115","0.174"
"125","124.8207","0.137"
"126","125.8304","0.463"
"127","126.8562","-1.381"
"128","127.8342","0.156"
"129","128.8599","0.067"
"130","129.8376","0.078"
"131","130.8274","0.193"
"132","131.8170","-0.059"
"133","132.8064","-0.037"
"134","133.8118","0.219"
"135","134.8012","0.044"
"136","135.8066","0.200"
"137","136.7960","0.067"
"138","137.8013","0.470"
"139","138.7745","0.152"
"140","139.7963","-0.019"
"141","140.7886","-0.174"
"142","141.7817","-0.148"
"143","142.7906","0.074"
"144","143.7996","0.052"
"145","144.7765","0.070"
"146","145.7850","-0.081"
"147","146.7779","0.137"
"148","147.8189","0.033"
"149","148.7959","0.256"
"150","149.7725","-0.089"
"151","150.7634","0.130"
"152","151.7857","0.019"
"153","152.7917","0.041"
"154","153.7660","0.081"
"155","154.7564","0.181"
"156","155.7626","-0.767"
"157","156.7526","0.081"
"158","157.7749","-0.085"
"159","158.7493","0.152"
"160","159.7873","0.096"
"161","160.7471","0.107"
"162","161.7392","0.078"
"163","162.7637","-0.007"
"164","163.7401","0.393"
"165","164.7325","0.122"
"166","165.7729","0.133"
"167","166.7331","0.215"
"168","167.7418","-0.019"
"169","168.7341","0.185"
"170","169.7424","-0.070"
"171","170.7491","0.467"
"172","171.7238","0.207"
"173","172.7138","-0.011"
"174","173.7363","-0.078"
"175","174.7263","0.111"
"176","175.7488","0.156"
"177","176.7548","0.067"
"178","177.7456","-0.196"
"179","178.7358","-0.026"
"180","179.6940","0.152"
"181","180.7027","0.067"
"182","181.7288","0.189"
"183","182.7226","-0.133"
"184","183.7002","0.263"
"185","184.6940","0.159"
"186","185.7197","0.100"
"187","186.7292","0.037"
"188","187.7231","-0.130"
"189","188.7008","0.041"
"190","189.7103","0.104"
"191","190.7017","0.174"
"192","191.7078","0.137"
"193","192.7140","-0.115"
"194","193.6880","0.526"
"195","194.7101","0.085"
"196","195.6840","0.137"
"197","196.6901","0.152"
"198","197.6960","0.019"
"199","198.7183","-0.004"
"200","199.6921","0.052"
"225","224.6256","5.848"
"226","225.6314","5.596"
"227","226.6365","5.737"
"228","227.6424","5.737"
"229","228.6157","5.274"
"230","229.6214","5.493"
"231","230.5965","5.648"
"232","231.6210","5.381"
"233","232.6140","5.419"
"234","233.6227","5.289"
"235","234.6475","6.078"
"236","235.6240","5.363"
"237","236.6008","5.989"
"238","237.6097","5.619"
"239","238.6023","5.393"
"240","239.6108","5.411"
"241","240.6344","6.070"
"242","241.5933","4.881"
"243","242.5840","5.926"
"244","243.6063","4.656"
"245","244.6291","3.204"
"246","245.5876","5.741"
"247","246.6265","5.137"
"248","247.6013","5.415"
"249","248.6080","5.689"
"250","249.5664","5.033"
"251","250.5899","5.648"
"252","251.5818","6.185"
"253","252.5573","5.141"
"254","253.5815","5.037"
"255","254.5736","5.911"
"256","255.5814","4.759"
"257","256.5735","7.778"
"258","257.5973","5.459"
"259","258.5735","5.011"
"260","259.5656","5.707"
"261","260.5573","4.956"
"262","261.5797","6.215"
"263","262.5869","5.759"
"264","263.5458","19.130"
"265","264.5685","4.970"
"266","265.5592","3.537"
"267","266.5496","7.770"
"268","267.5567","9.019"
"269","268.5790","-0.119"
"270","269.5383","5.367"
"271","270.5452","4.000"
"272","271.5209","3.637"
"273","272.5283","1.093"
"274","273.5519","5.496"
"275","274.5435","4.422"
"276","275.5350","7.293"
"277","276.5265","4.133"
"278","277.5339","1.619"
"279","278.5411","4.341"
"280","279.5326","4.667"
"281","280.5242","2.819"
"282","281.5475","6.115"
"283","282.5071","2.226"
"284","283.5145","5.604"
"285","284.5058","3.296"
"286","285.5130","7.637"
"287","286.4885","6.681"
"288","287.4962","7.374"
"289","288.5038","2.770"
"290","289.4951","5.581"
"291","290.5187","5.319"
"292","291.4950","6.644"
"293","292.5354","5.359"
"294","293.5114","1.941"
"295","294.5039","6.470"
"296","295.4800","5.963"
"297","296.5206","7.093"
"298","297.4969","5.707"
"299","298.4893","5.604"
"300","299.4814","5.822"
"301","300.4897","6.352"
"302","301.4803","3.785"
"303","302.4706","4.593"
"304","303.4770","6.604"
"305","304.4991","5.374"
"306","305.4898","5.337"
"307","306.4962","4.744"
"308","307.4866","7.170"
"309","308.4611","5.411"
"310","309.4677","8.819"
"311","310.4743","3.830"
"312","311.4980","5.563"
"313","312.4577","5.130"
"314","313.4493","5.119"
"315","314.4570","5.478"
"316","315.4484","4.774"
"317","316.4720","5.585"
"318","317.4637","6.270"
"319","318.4391","4.189"
"320","319.4469","4.726"
"321","320.4388","6.422"
"322","321.4641","4.489"
"323","322.4736","6.378"
"324","323.4349","5.241"
"325","324.4444","6.552"
"326","325.4538","4.844"
"327","326.4473","5.130"
"328","327.4564","4.281"
"329","328.4340","5.830"
"330","329.4596","5.715"
"331","330.4524","5.130"
"332","331.4758","5.252"
"333","332.4350","5.667"
"334","333.4580","5.585"
"335","334.4497","4.915"
"336","335.4565","5.589"
"337","336.4482","6.011"
"338","337.4391","5.578"
"339","338.4628","5.389"
"340","339.4378","4.952"
"341","340.4294","5.763"
"342","341.4525","5.122"
"343","342.4273","5.030"
"344","343.4018","7.559"
"345","344.4249","5.037"
"346","345.4155","5.404"
"347","346.4222","5.359"
"348","347.4134","5.507"
"349","348.4043","6.026"
"350","349.3953","4.419"
"351","350.3861","5.541"
"352","351.4089","5.181"
"353","352.3999","4.248"
"354","353.4067","5.241"
"355","354.3972","5.333"
"356","355.3882","4.767"
"357","356.3950","5.744"
"358","357.3858","5.456"
"359","358.3763","4.800"
"360","359.3832","5.107"
