"Viewer version","2.84"
"Measure start time","Tuesday, July 17, 2018 10:41:00 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"38","38.0394","-0.244"
"39","39.0484","0.552"
"40","40.0396","1.196"
"41","41.0294","1.141"
"42","42.0520","-0.656"
"43","43.0411","-1.615"
"44","44.0634","-0.152"
"45","45.0202","0.333"
"46","46.0107","-0.144"
"47","47.0009","-1.289"
"48","48.0373","-5.448"
"49","49.0114","-0.707"
"50","50.0022","-0.152"
"51","50.9946","-0.048"
"52","52.0023","-0.433"
"53","53.0106","-0.411"
"54","54.0202","-0.859"
"55","55.0126","-0.507"
"56","56.0053","-0.107"
"57","57.0127","-0.174"
"58","58.0063","-0.156"
"59","59.0297","-0.137"
"60","60.0065","-0.070"
"61","61.0307","-0.059"
"62","61.9919","-0.126"
"63","63.0318","-0.267"
"64","64.0072","-0.307"
"65","65.0162","-0.485"
"66","65.9923","-0.481"
"67","67.0166","-0.481"
"68","68.0087","-0.156"
"69","69.0010","0.074"
"70","70.0250","0.230"
"71","70.9829","-0.233"
"72","72.0038","-0.737"
"73","72.9776","-0.041"
"74","74.0157","-0.759"
"75","74.9744","-0.141"
"76","76.0111","-0.281"
"77","76.9699","-0.581"
"78","77.9753","-0.770"
"79","78.9647","-0.189"
"80","79.9875","-0.230"
"81","80.9802","-0.278"
"82","81.9567","-0.196"
"83","82.9639","-0.019"
"84","83.9737","-0.163"
"85","84.9971","-0.107"
"86","85.9749","0.096"
"87","86.9834","-0.900"
"88","87.9760","-0.333"
"89","89.0001","3.574"
"90","89.9765","0.904"
"91","91.0000","0.522"
"92","91.9771","0.011"
"93","92.9695","0.400"
"94","93.9617","-0.415"
"95","94.9540","0.033"
"96","95.9784","-0.085"
"97","96.9707","-0.030"
"98","97.9936","-0.037"
"99","98.9714","-0.207"
"100","99.9636","-0.189"
"101","100.9708","-0.152"
"102","101.9636","-0.137"
"103","102.9556","-0.156"
"104","103.9790","-0.104"
"105","104.9555","-0.100"
"106","105.9464","-0.304"
"107","106.9384","-0.048"
"156","155.8822","2.648"
"157","156.8896","2.800"
"158","157.8822","2.181"
"159","158.8918","2.341"
"160","159.9001","2.615"
"161","160.9070","3.893"
"162","161.8806","2.833"
"163","162.9031","2.996"
"164","163.8771","2.430"
"165","164.8659","2.496"
"166","165.8572","2.567"
"167","166.8941","2.356"
"168","167.8682","1.426"
"169","168.8581","2.793"
"170","169.8479","3.289"
"171","170.8559","2.396"
"172","171.8480","2.044"
"173","172.8729","1.559"
"174","173.8505","2.330"
"175","174.8586","1.830"
"176","175.8675","2.211"
"177","176.8600","2.281"
"178","177.8675","2.741"
"179","178.8612","2.581"
"180","179.8847","2.315"
"181","180.8459","2.522"
"182","181.8851","2.393"
"183","182.8621","1.974"
"184","183.8533","3.130"
"185","184.8617","1.963"
"186","185.8539","2.222"
"187","186.8469","1.804"
"188","187.8383","1.430"
"189","188.8636","0.952"
"190","189.8558","2.252"
"191","190.8471","4.015"
"192","191.8392","0.207"
"193","192.8800","3.878"
"194","193.8396","4.963"
"195","194.8794","0.526"
"196","195.8405","-1.081"
"197","196.8646","-1.044"
"198","197.8399","-1.733"
"199","198.8319","-0.341"
"200","199.8399","-1.270"
"201","200.8311","-0.326"
"202","201.8523","-1.330"
"203","202.8422","-0.563"
"204","203.8638","-0.122"
"205","204.8218","4.567"
"206","205.8443","1.959"
"207","206.8182","3.333"
"208","207.8555","2.837"
"209","208.7970","1.326"
"210","209.8030","1.267"
"211","210.8103","1.619"
"212","211.8027","2.341"
"213","212.7951","2.463"
"214","213.8186","0.778"
"215","214.8111","2.411"
"216","215.8203","2.011"
"217","216.8116","2.293"
"218","217.8205","2.022"
"219","218.8292","2.978"
"220","219.8063","2.152"
"221","220.8134","2.156"
"222","221.7906","1.574"
"223","222.8148","2.726"
"224","223.8070","2.259"
"225","224.8153","2.163"
"226","225.7915","2.719"
"227","226.8150","2.870"
"228","227.8081","1.578"
"229","228.8003","2.926"
"230","229.8247","1.956"
"231","230.8148","1.989"
"232","231.7886","2.289"
"233","232.7791","2.244"
"234","233.7843","1.500"
"235","234.7740","3.052"
"236","235.8118","1.915"
"237","236.7868","4.085"
"238","237.7768","2.941"
"239","238.7659","2.348"
"240","239.7716","2.526"
"241","240.7953","1.807"
"242","241.7886","1.800"
"243","242.8132","1.904"
"244","243.7729","2.167"
"245","244.7816","2.463"
"246","245.7742","2.456"
"247","246.7665","2.311"
"248","247.7750","4.000"
"249","248.8006","3.448"
"250","249.7613","3.126"
"251","250.8017","2.219"
"252","251.7617","0.996"
"253","252.7858","2.678"
"254","253.7925","1.970"
"255","254.7535","1.722"
"256","255.7928","2.552"
"257","256.7542","2.411"
"258","257.7617","2.389"
"259","258.7532","2.307"
"260","259.7941","2.007"
"261","260.7682","2.107"
"262","261.7748","0.481"
"263","262.7646","2.637"
"324","323.6785","-0.374"
"325","324.7162","-0.178"
"326","325.6740","-0.211"
"327","326.6637","-0.181"
"328","327.6535","-0.037"
"329","328.6751","-0.670"
"330","329.6488","0.104"
"331","330.6550","-0.452"
"332","331.6475","0.648"
"333","332.6560","0.796"
"334","333.6642","-0.263"
"335","334.6732","0.059"
"336","335.6815","0.319"
"337","336.6585","-0.181"
"338","337.6825","-0.515"
"339","338.6432","-0.615"
"340","339.6517","-0.426"
"341","340.6440","-0.637"
"342","341.6527","-0.400"
"343","342.6609","-0.248"
"344","343.6533","0.141"
"345","344.6456","0.000"
"346","345.6702","0.304"
"347","346.6465","-0.130"
"348","347.6548","0.067"
"349","348.6635","-0.485"
"350","349.6397","-0.389"
"351","350.6637","-0.519"
"352","351.6535","-0.885"
"353","352.6589","-0.333"
"354","353.6487","-0.022"
"355","354.6385","-0.704"
"356","355.6442","-0.330"
"357","356.6660","0.596"
"358","357.6396","-0.056"
"359","358.6456","0.241"
"360","359.6194","-0.356"
"361","360.6253","-0.119"
"362","361.6338","-0.222"
"363","362.6105","-0.263"
"364","363.6348","-0.170"
"365","364.6275","-0.578"
"366","365.6358","0.159"
"367","366.6283","0.211"
"368","367.6528","-0.019"
"369","368.6130","-0.111"
"370","369.6378","0.056"
"371","370.6304","-0.619"
"372","371.6389","-0.219"
"373","372.6147","-0.211"
"374","373.6074","-0.222"
"375","374.6155","-0.163"
"376","375.6239","-0.467"
"377","376.6163","0.504"
"378","377.6086","0.867"
"379","378.6328","-0.044"
"380","379.6089","-2.974"
"381","380.6492","-0.211"
"382","381.6071","-0.896"
"383","382.6289","-1.074"
"384","383.6024","0.189"
"385","384.6087","-0.811"
"386","385.5983","-0.326"
"387","386.6041","0.189"
"388","387.5939","-1.267"
"389","388.5998","-0.648"
"390","389.5892","-0.007"
"391","390.5793","0.474"
"392","391.6188","-0.119"
"393","392.5956","-0.115"
"394","393.6040","-0.485"
"395","394.5964","-0.052"
"396","395.6051","-0.485"
"397","396.5814","-0.052"
"398","397.5899","-0.515"
"399","398.5659","0.056"
"400","399.5747","-0.293"
"401","400.5830","-0.222"
"402","401.5756","-0.181"
"403","402.6160","-0.481"
"404","403.5923","-0.341"
"405","404.5846","-0.600"
"406","405.5929","-1.074"
"407","406.6173","1.481"
"408","407.5778","-0.096"
