"Viewer version","2.84"
"Measure start time","Tuesday, July 17, 2018 2:14:00 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"113","112.8422","-0.593"
"114","113.8485","0.122"
"115","114.8543","0.056"
"116","115.8601","0.089"
"117","116.8658","-0.041"
"118","117.8395","0.115"
"119","118.8609","-0.207"
"120","119.8190","0.130"
"121","120.8269","-1.459"
"122","121.8194","-0.407"
"123","122.8279","-0.407"
"124","123.8364","-0.430"
"125","124.8291","-0.996"
"126","125.8211","0.100"
"127","126.8460","-0.089"
"128","127.8383","0.115"
"129","128.8312","0.085"
"130","129.8397","0.689"
"131","130.8159","1.041"
"132","131.8558","4.311"
"133","132.8161","1.826"
"134","133.8245","0.778"
"135","134.8167","0.256"
"136","135.8249","3.096"
"137","136.8011","0.085"
"138","137.8255","-0.504"
"139","138.8179","1.304"
"140","139.8102","-1.178"
"141","140.8184","-0.107"
"142","141.8266","0.185"
"143","142.8343","-0.026"
"144","143.8108","0.137"
"145","144.8346","0.119"
"146","145.7947","0.193"
"147","146.8028","0.200"
"148","147.7949","0.056"
"149","148.8351","0.174"
"150","149.7953","0.115"
"151","150.8018","0.119"
"152","151.7917","0.033"
"153","152.7816","-0.085"
"154","153.8033","-0.030"
"155","154.7934","-0.089"
"156","155.7992","0.048"
"157","156.7731","0.059"
"158","157.7947","0.048"
"159","158.7685","0.044"
"160","159.7741","0.063"
"161","160.7657","0.056"
"162","161.7746","0.070"
"163","162.7668","-0.011"
"164","163.7757","-0.052"
"165","164.7523","-0.133"
"166","165.7610","-0.030"
"167","166.7691","-0.022"
"168","167.7460","0.052"
"169","168.7865","0.078"
"170","169.7629","0.141"
"171","170.7536","0.089"
"172","171.7592","0.015"
"173","172.7648","0.215"
"174","173.7389","0.700"
"175","174.7608","-0.337"
"176","175.7346","0.230"
"177","176.7246","0.070"
"178","177.7141","0.133"
"179","178.7364","-0.589"
"180","179.7421","-0.307"
"181","180.7181","-0.256"
"182","181.7584","-0.315"
"183","182.7033","0.189"
"184","183.7278","0.570"
"185","184.7043","0.093"
"186","185.7447","0.230"
"187","186.7052","0.059"
"195","194.7092","0.281"
"196","195.7019","0.530"
"197","196.7424","0.107"
"198","197.7185","0.578"
"199","198.7270","0.026"
"200","199.6873","0.844"
"201","200.6942","0.448"
"202","201.6837","1.056"
"203","202.6898","0.781"
"204","203.6796","1.148"
"205","204.7015","1.130"
"206","205.7227","0.941"
"207","206.6810","0.830"
"208","207.6865","2.367"
"209","208.6765","1.241"
"210","209.6823","1.393"
"211","210.6576","1.096"
"212","211.6980","1.256"
"213","212.6585","1.367"
"214","213.6831","0.867"
"215","214.6432","0.989"
"216","215.6681","0.300"
"217","216.6603","1.056"
"218","217.6693","1.181"
"219","218.6779","1.181"
"220","219.6705","1.274"
"221","220.6627","1.374"
"222","221.6552","1.330"
"223","222.6634","1.363"
"224","223.6395","1.404"
"225","224.6796","1.300"
"226","225.6395","1.363"
"227","226.6482","1.319"
"228","227.6404","1.319"
"229","228.6646","1.267"
"230","229.6410","1.222"
"231","230.6481","1.307"
"232","231.6536","1.144"
"233","232.6279","1.378"
"234","233.6653","1.341"
"235","234.6234","1.307"
"236","235.6452","1.337"
"237","236.6190","1.341"
"238","237.6087","1.404"
"239","238.6143","1.626"
"240","239.6203","1.781"
"241","240.6110","1.570"
"242","241.6040","1.511"
"243","242.6125","1.489"
"244","243.6210","1.670"
"245","244.6297","1.626"
"246","245.6063","1.511"
"247","246.6306","1.248"
"248","247.5914","1.452"
"249","248.5997","1.467"
"250","249.5918","1.426"
"251","250.6006","1.704"
"252","251.6088","1.570"
"253","252.5851","1.415"
"254","253.5931","1.285"
"255","254.6019","1.448"
"256","255.6098","1.374"
"257","256.5865","1.422"
"258","257.6268","1.256"
"259","258.6030","1.322"
"260","259.6115","1.537"
"261","260.5709","1.385"
"262","261.5765","1.704"
"263","262.5662","1.037"
"264","263.5878","1.096"
"265","264.5614","1.593"
"266","265.5670","1.259"
"267","266.5570","1.296"
"268","267.5788","1.419"
"269","268.5526","1.330"
"270","269.5584","1.326"
"271","270.5491","1.400"
"272","271.5418","1.652"
"273","272.5665","1.519"
"274","273.5427","1.463"
"275","274.5515","1.689"
"276","275.5440","1.107"
"277","276.5685","1.219"
"278","277.5449","1.233"
"279","278.5536","1.081"
"280","279.5298","1.263"
"281","280.5386","1.067"
"332","331.4335","-0.519"
"333","332.4262","-0.252"
"334","333.4663","-0.630"
"335","334.4434","-1.241"
"336","335.4676","0.756"
"337","336.4285","0.722"
"338","337.4530","0.393"
"339","338.4291","-0.144"
"340","339.4220","-0.548"
"341","340.4305","-0.248"
"342","341.4387","-0.437"
"343","342.4308","-0.500"
"344","343.4391","-0.504"
"345","344.4469","-0.278"
"346","345.4235","-0.293"
"347","346.4637","-0.541"
"348","347.4080","-0.226"
"349","348.4164","-0.489"
"350","349.4087","-0.519"
"351","350.4169","-0.511"
"352","351.4067","-0.385"
"353","352.4126","-0.507"
"354","353.4179","-0.544"
"355","354.4399","-0.581"
"356","355.3977","-0.604"
"357","356.4035","-0.489"
"358","357.4252","-0.611"
"359","358.3991","-0.415"
"360","359.3886","-0.567"
"361","360.3948","-0.600"
"362","361.3874","-0.467"
"363","362.3801","-0.515"
"364","363.3886","-0.456"
"365","364.3652","-0.311"
"366","365.3898","-0.444"
"367","366.3663","-0.667"
"368","367.3748","-0.563"
"369","368.3672","-0.548"
"370","369.3757","-0.652"
"371","370.4002","-0.552"
"372","371.3763","-0.552"
"373","372.3845","-0.500"
"374","373.3770","-0.456"
"375","374.3853","-0.496"
"376","375.3613","-0.200"
"377","376.4017","-0.289"
"378","377.3618","-0.330"
"379","378.3863","-0.363"
"380","379.3625","-0.474"
"381","380.3706","-0.478"
"382","381.3602","-0.122"
"383","382.3666","0.811"
"384","383.3724","-0.867"
"385","384.3464","-0.833"
"386","385.3680","-0.370"
"387","386.3262","-0.448"
"388","387.3482","-0.478"
"389","388.3379","-0.196"
"390","389.3440","-0.330"
"391","390.3182","-0.544"
"392","391.3425","-0.722"
"393","392.3190","-0.300"
"394","393.3274","-0.633"
"395","394.3358","-0.004"
"396","395.3122","-0.370"
"397","396.3523","-0.330"
"398","397.3293","-0.385"
"399","398.3534","-0.504"
"400","399.3143","-0.830"
"401","400.3389","-0.307"
"402","401.3151","-0.507"
"403","402.3075","-0.548"
"404","403.3157","-0.615"
"405","404.3402","-0.563"
