"Viewer version","2.84"
"Measure start time","Friday, July 13, 2018 10:14:05 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"80","79.9241","0.559"
"81","80.9489","-0.311"
"82","81.9254","0.452"
"83","82.9340","0.193"
"84","83.9425","0.148"
"85","84.9191","0.056"
"86","85.9432","0.211"
"87","86.9042","0.452"
"88","87.9128","0.830"
"89","88.9053","1.326"
"90","89.9297","0.033"
"91","90.9198","0.904"
"92","91.9259","-1.656"
"93","92.9159","0.230"
"94","93.8900","0.226"
"95","94.8958","0.515"
"96","95.8859","0.956"
"97","96.9078","0.633"
"98","97.8978","0.585"
"99","98.8876","-0.530"
"100","99.8938","0.541"
"101","100.9024","0.444"
"102","101.8791","0.622"
"103","102.8876","-1.993"
"104","103.8962","-0.044"
"105","104.8888","1.244"
"106","105.9136","-0.341"
"107","106.8742","-0.019"
"108","107.8831","-2.156"
"109","108.8916","0.474"
"110","109.8681","0.659"
"111","110.8575","0.078"
"112","111.8796","0.185"
"113","112.9012","-0.074"
"114","113.8750","0.344"
"115","114.8964","0.300"
"116","115.8543","0.074"
"117","116.8604","0.270"
"118","117.8503","-1.174"
"119","118.8721","-0.563"
"120","119.8457","-0.215"
"121","120.8544","-0.219"
"122","121.8468","-0.096"
"123","122.8557","-0.019"
"124","123.8798","-0.044"
"125","124.8569","-0.159"
"126","125.8654","-1.104"
"127","126.8421","-0.496"
"128","127.8345","-0.033"
"129","128.8434","-0.007"
"130","129.8519","0.204"
"131","130.8421","0.130"
"132","131.8324","-0.052"
"133","132.8538","0.107"
"134","133.8282","0.104"
"135","134.8658","0.196"
"136","135.8075","0.367"
"137","136.8457","0.396"
"138","137.8036","0.022"
"139","138.8255","0.096"
"140","139.8155","0.230"
"141","140.8238","0.126"
"142","141.8323","0.285"
"143","142.8087","0.263"
"144","143.8335","0.004"
"145","144.7942","0.130"
"146","145.8187","-0.122"
"147","146.8112","-0.081"
"148","147.8361","0.411"
"149","148.8122","0.174"
"150","149.8052","-0.033"
"151","150.8111","-0.037"
"152","151.8171","0.056"
"153","152.7914","0.044"
"154","153.7973","0.093"
"174","173.7598","1.078"
"175","174.7840","0.948"
"176","175.7759","0.704"
"177","176.8002","0.759"
"178","177.7598","0.752"
"179","178.7684","0.507"
"180","179.7765","-0.074"
"181","180.7513","0.030"
"182","181.7730","0.822"
"183","182.7630","0.911"
"184","183.7848","0.763"
"185","184.7590","0.196"
"186","185.7647","0.437"
"187","186.7388","0.819"
"188","187.7446","0.756"
"189","188.7500","0.719"
"190","189.7243","0.656"
"191","190.7316","0.626"
"192","191.7243","0.663"
"193","192.7488","1.033"
"194","193.7253","0.141"
"195","194.7339","1.148"
"196","195.7101","0.333"
"197","196.7191","2.044"
"198","197.7437","1.352"
"199","198.7202","0.696"
"200","199.7287","0.648"
"201","200.7195","-0.007"
"202","201.7573","1.333"
"203","202.7313","2.126"
"204","203.7369","0.863"
"205","204.7105","0.500"
"206","205.7168","0.148"
"207","206.7063","2.248"
"208","207.7125","-0.074"
"209","208.7184","1.726"
"210","209.6924","2.467"
