"Viewer version","2.84"
"Measure start time","Saturday, July 14, 2018 7:50:17 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"70","69.9603","-0.593"
"71","70.9197","-0.185"
"72","71.9597","0.315"
"73","72.9035","1.704"
"74","73.9111","0.126"
"75","74.9026","-0.011"
"76","75.9263","-0.900"
"77","76.9176","0.167"
"78","77.9258","0.226"
"79","78.9334","0.115"
"80","79.9091","-0.244"
"81","80.9333","-0.163"
"82","81.8936","-0.263"
"83","82.9019","0.448"
"84","83.8940","0.181"
"85","84.9187","1.378"
"86","85.8951","2.322"
"87","86.8875","0.941"
"88","87.9120","-0.948"
"89","88.9045","0.259"
"90","89.9285","0.096"
"91","90.9053","-0.115"
"92","91.9292","0.885"
"93","92.8898","0.333"
"94","93.8980","-0.367"
"95","94.8902","0.485"
"96","95.9145","0.178"
"97","96.8909","0.856"
"98","97.8831","-0.163"
"99","98.8913","0.093"
"100","99.8997","0.233"
"101","100.9216","0.448"
"102","101.8630","0.307"
"103","102.8848","-0.119"
"104","103.8748","-1.074"
"105","104.8805","-0.393"
"106","105.8542","-0.074"
"107","106.8917","0.093"
"108","107.8492","1.141"
"109","108.8548","0.711"
"110","109.8443","0.185"
"111","110.8526","0.122"
"112","111.8773","0.522"
"113","112.8538","0.481"
"114","113.8460","0.452"
"115","114.8230","0.296"
"116","115.8476","0.141"
"117","116.8402","0.078"
"118","117.8489","-0.096"
"119","118.8254","-0.089"
"120","119.8498","-0.137"
"121","120.8261","-0.222"
"122","121.8344","0.567"
"123","122.8265","0.363"
"124","123.8348","1.337"
"125","124.8428","0.481"
"126","125.8195","-0.544"
"127","126.8595","-0.219"
"128","127.8202","0.437"
"129","128.8604","0.937"
"130","129.8048","0.374"
"131","130.8111","0.330"
"132","131.8168","0.178"
"133","132.8226","-0.093"
"134","133.8122","-0.122"
"135","134.8177","0.074"
"136","135.8077","-0.241"
"137","136.7815","-0.274"
"138","137.8029","0.019"
"139","138.7931","0.074"
"140","139.7987","0.422"
"141","140.7747","0.541"
"142","141.8153","-0.233"
"143","142.7757","0.119"
"144","143.7686","1.970"
"145","144.7611","0.722"
"146","145.7697","0.156"
"147","146.7942","-0.048"
"148","147.7707","-1.141"
"149","148.8112","-0.063"
"150","149.7560","-0.256"
"151","150.7785","-1.022"
"152","151.7526","0.237"
"153","152.7585","-0.096"
"154","153.7645","-0.941"
"155","154.7862","-1.219"
"156","155.7604","-0.685"
"157","156.7344","-0.348"
"158","157.7399","0.096"
"159","158.7302","-0.826"
"160","159.7678","-0.019"
"161","160.7275","-1.678"
"162","161.7358","0.352"
"163","162.7445","-0.326"
"164","163.7371","0.367"
"165","164.7297","0.119"
"166","165.7381","-0.367"
"167","166.7144","-0.033"
"168","167.7392","0.970"
"169","168.7317","-1.174"
"170","169.7404","-0.467"
"171","170.7166","-0.270"
"184","183.7032","-1.337"
"185","184.7093","1.393"
"186","185.6831","0.396"
"187","186.6883","-0.052"
"188","187.6785","1.119"
"189","188.7158","0.552"
"190","189.6902","1.407"
"191","190.6654","0.881"
"192","191.6743","0.148"
"193","192.6827","-0.489"
"194","193.6598","1.000"
"195","194.6843","0.163"
"196","195.6771","0.922"
"197","196.7019","0.778"
"198","197.6780","0.807"
"199","198.6710","0.659"
"200","199.6472","0.541"
"201","200.6559","0.437"
"202","201.6642","1.567"
"203","202.6725","0.930"
"204","203.6964","1.033"
"205","204.6570","0.422"
"206","205.6651","-1.100"
"207","206.6574","-0.430"
"208","207.6499","0.452"
"209","208.6422","0.856"
"210","209.6504","0.589"
"211","210.6575","0.552"
"212","211.6792","0.370"
"213","212.6207","0.593"
"214","213.6264","0.922"
"215","214.6479","0.626"
"216","215.6216","0.444"
"217","216.6595","0.944"
"218","217.6333","0.281"
"219","218.6548","0.567"
"220","219.6127","0.189"
"221","220.6355","0.670"
"222","221.5961","1.015"
"223","222.6207","0.541"
"224","223.6133","0.611"
"225","224.6216","0.030"
"226","225.6139","0.844"
"227","226.5904","0.989"
"228","227.6149","0.848"
"229","228.5915","0.633"
"230","229.6158","0.363"
"231","230.6076","0.548"
"232","231.6136","0.015"
"233","232.5875","0.330"
"234","233.5776","-0.507"
"235","234.5836","-0.104"
"236","235.5737","-0.170"
"237","236.5633","0.615"
"238","237.5697","-0.293"
"239","238.5914","0.548"
"240","239.5654","0.544"
"241","240.5559","0.681"
"242","241.5486","0.104"
"243","242.5572","0.681"
"244","243.5658","0.330"
"245","244.5743","0.581"
"246","245.5509","1.196"
"247","246.5754","0.696"
"248","247.5516","3.400"
"249","248.5606","1.396"
