"Viewer version","2.84"
"Measure start time","Sunday, July 15, 2018 4:35:02 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"4","4.0623","-1.500"
"5","5.0703","-1.126"
"6","6.0620","-1.367"
"7","7.0536","-0.715"
"8","8.0610","-1.404"
"9","9.0848","-1.574"
"10","10.0440","-1.530"
"11","11.0517","-2.200"
"12","12.0590","-1.063"
"13","13.0662","-0.026"
"14","14.0732","-1.141"
"15","15.0489","-0.763"
"16","16.0404","-1.437"
"17","17.0316","0.822"
"18","18.0388","-1.656"
"19","19.0461","0.056"
"20","20.0539","-1.126"
"21","21.0304","-6.289"
"22","22.0543","-0.807"
"23","23.0148","-2.396"
"24","24.0390","-1.552"
"25","25.0153","-1.219"
"26","26.0237","-1.300"
"27","27.0316","-1.289"
"28","28.0560","-1.156"
"29","29.0325","-1.411"
"30","30.0406","-1.100"
"31","31.0166","-1.141"
"32","32.0244","-1.215"
"33","33.0158","-1.281"
"34","34.0395","-1.393"
"35","34.9998","-0.319"
"36","36.0074","-1.059"
"37","37.0152","-1.959"
"38","38.0392","-4.104"
"39","38.9988","-1.381"
"40","40.0387","-2.370"
"41","40.9977","-0.922"
"42","42.0050","-1.352"
"43","43.0278","-1.078"
"44","44.0028","-1.133"
"45","45.0100","-1.226"
"46","45.9691","-1.296"
"47","46.9765","-1.681"
"48","47.9837","-1.222"
"49","48.9907","-1.370"
"50","49.9817","-1.500"
"51","50.9888","-1.070"
"52","52.0114","-1.104"
"53","52.9706","-0.907"
"54","53.9618","-1.156"
"55","54.9688","-1.289"
"56","55.9758","-1.089"
"57","56.9504","-1.315"
"58","57.9737","-1.419"
"59","58.9644","-1.444"
"60","59.9557","-1.174"
"61","60.9642","-1.278"
"62","61.9403","-1.800"
"63","62.9486","-1.522"
"64","63.9568","-1.081"
"65","64.9812","-1.085"
"66","65.9580","-1.241"
"67","66.9820","-1.174"
"68","67.9428","-1.233"
"69","68.9830","-1.011"
"70","69.9275","-1.148"
"71","70.9675","-1.056"
"72","71.9276","-1.248"
"142","141.8181","19.344"
"143","142.8086","18.259"
"144","143.7988","17.267"
"145","144.8212","19.319"
"146","145.7953","18.093"
"147","146.8178","20.304"
"148","147.7761","17.585"
"149","148.7982","20.163"
"150","149.7729","17.585"
"151","150.7808","19.700"
"152","151.7731","18.615"
"153","152.7818","19.144"
"154","153.7901","19.385"
"155","154.7666","18.659"
"156","155.7915","18.533"
"157","156.7679","19.241"
"158","157.8085","23.404"
"159","158.7690","23.393"
"160","159.7776","19.256"
"161","160.7858","17.033"
"162","161.7941","19.737"
"163","162.7544","19.193"
"164","163.7786","18.059"
"165","164.7544","25.841"
"166","165.7626","17.963"
"167","166.7711","17.007"
"168","167.7634","19.978"
"169","168.7714","19.033"
"170","169.7478","19.415"
"171","170.7879","18.807"
"172","171.7641","19.167"
"173","172.7881","18.548"
"174","173.7483","19.267"
"175","174.7887","19.233"
"176","175.7648","18.867"
"177","176.7729","18.822"
"178","177.7650","19.352"
"179","178.7414","18.789"
"180","179.7334","19.119"
"181","180.7557","19.333"
"182","181.7295","18.893"
"183","182.7510","18.544"
"184","183.7407","18.907"
"185","184.7463","18.678"
"186","185.7201","19.081"
"187","186.7254","19.652"
"188","187.7151","18.981"
"189","188.7044","18.833"
"190","189.6940","22.756"
"191","190.7009","18.174"
"192","191.6927","18.593"
"193","192.7006","24.174"
"194","193.7084","17.815"
"195","194.7163","19.270"
"196","195.7238","20.015"
"197","196.6838","18.956"
"198","197.7075","19.270"
"199","198.6995","18.952"
"200","199.7072","19.911"
"201","200.6833","17.589"
"202","201.6916","18.478"
"203","202.6836","19.385"
"204","203.7083","17.356"
"205","204.6843","19.781"
"206","205.6928","16.500"
"207","206.6851","18.496"
"208","207.6934","19.056"
"273","272.5671","-1.281"
"274","273.5754","-1.504"
"275","274.5517","-1.622"
"276","275.5760","-1.511"
"277","276.5683","-1.511"
"278","277.5446","-1.200"
"279","278.5850","-1.348"
"280","279.5454","-1.681"
"281","280.5854","-1.474"
"282","281.5601","0.385"
"283","282.5504","-2.004"
"284","283.5413","-3.259"
"285","284.5476","-1.359"
"286","285.5542","-1.426"
"287","286.5607","-1.500"
"288","287.5354","-1.293"
"289","288.5738","-1.033"
"290","289.5320","-1.348"
"291","290.5229","-0.904"
"292","291.5304","-0.937"
"293","292.5538","-1.356"
"294","293.5292","-1.422"
"295","294.5369","-1.548"
"296","295.5122","-1.422"
"297","296.5197","-1.367"
"298","297.5109","-1.530"
"299","298.5186","-1.404"
"300","299.5099","-1.396"
"301","300.5013","-1.511"
"302","301.5096","-1.570"
"303","302.5184","-1.596"
"304","303.5105","-1.811"
"305","304.5191","-1.715"
"306","305.5275","0.430"
"307","306.5037","-1.967"
"308","307.5121","-0.641"
"309","308.5047","-2.326"
"310","309.4969","-1.007"
"311","310.5055","-1.519"
"312","311.5296","-1.659"
"313","312.4897","-2.567"
"314","313.4982","-1.056"
"315","314.4900","-1.363"
"316","315.4985","-1.837"
"317","316.5064","-1.748"
"318","317.4989","-1.504"
"319","318.5070","-1.770"
"320","319.4991","-2.915"
"321","320.5235","-1.700"
"322","321.4995","-0.878"
"323","322.4917","-2.596"
"324","323.4837","-1.396"
"325","324.4760","-1.085"
"326","325.4999","-1.419"
"327","326.4758","-0.281"
"328","327.5000","-2.274"
"329","328.4764","-1.470"
"330","329.5166","-1.341"
"331","330.4927","-0.907"
"332","331.4985","-0.800"
"333","332.4566","-1.615"
"334","333.4787","-2.156"
"335","334.4522","-2.793"
"336","335.4584","0.019"
"337","336.4640","-2.285"
"338","337.4544","-1.237"
"339","338.4601","-1.159"
"340","339.4342","-0.963"
"341","340.4238","-1.319"
"342","341.4320","-1.359"
"343","342.4403","-0.515"
"344","343.4649","-2.689"
"345","344.4414","-1.715"
"346","345.4173","-1.619"
"347","346.4261","-0.844"
"348","347.4342","-0.193"
"349","348.4428","-1.600"
"350","349.4514","-1.363"
"351","350.4438","-0.493"
"352","351.4346","-1.626"
"353","352.4252","-1.070"
"354","353.4481","-0.193"
"355","354.4226","-1.348"
"356","355.4291","-2.252"
"357","356.4196","-1.463"
"358","357.4423","-2.559"
"359","358.4168","-1.863"
"360","359.4075","-1.281"
"361","360.3982","-1.422"
"362","361.4061","-0.889"
"363","362.4303","-1.615"
"364","363.4070","-0.744"
"365","364.4152","-2.663"
"366","365.3919","-2.007"
"367","366.4322","-0.981"
"368","367.3928","-1.719"
"369","368.4332","-1.674"
