"Viewer version","2.84"
"Measure start time","Wednesday, July 18, 2018 8:11:14 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"98","97.9015","0.300"
"99","98.8927","-0.256"
"100","99.9017","0.015"
"101","100.8939","0.848"
"102","101.9340","-3.063"
"103","102.9100","-0.504"
"104","103.9172","0.141"
"105","104.9103","-0.141"
"106","105.9024","-0.004"
"107","106.8776","-0.063"
"108","107.8864","-0.170"
"109","108.9104","-1.370"
"110","109.9030","-0.089"
"111","110.9088","-0.104"
"112","111.8828","0.374"
"113","112.8872","-0.496"
"114","113.8614","0.241"
"115","114.8835","-0.122"
"116","115.8740","-0.030"
"117","116.8627","0.093"
"118","117.8685","-0.004"
"119","118.8902","0.022"
"120","119.8481","-0.004"
"121","120.8720","0.826"
"122","121.8484","0.100"
"123","122.8568","-0.378"
"124","123.8333","0.307"
"125","124.8428","0.096"
"126","125.8510","0.130"
"127","126.8435","0.563"
"128","127.8679","0.504"
"129","128.8283","0.048"
"130","129.8356","-0.311"
"131","130.8279","0.007"
"132","131.8362","-0.133"
"133","132.8442","-0.089"
"134","133.8527","-0.078"
"135","134.8289","0.078"
"136","135.8691","0.093"
"137","136.8294","0.115"
"138","137.8537","0.059"
"139","138.8138","0.033"
"140","139.8387","0.070"
"141","140.8150","0.059"
"142","141.8222","-0.041"
"143","142.8468","-0.085"
"144","143.8223","-0.130"
"145","144.8311","-0.056"
"146","145.8231","-0.056"
"147","146.8140","0.011"
"148","147.8069","-0.007"
"149","148.8148","-0.022"
"150","149.8072","-0.052"
"151","150.8453","-0.044"
"152","151.8022","-0.141"
"153","152.7921","-0.130"
"154","153.7977","-0.159"
"155","154.8195","-0.115"
"156","155.7933","-0.026"
"157","156.7990","0.004"
"158","157.7727","-0.081"
"159","158.7778","-0.096"
"160","159.7840","0.119"
"161","160.7757","0.163"
"162","161.7995","0.041"
"163","162.7613","0.052"
"164","163.7845","0.074"
"165","164.7621","-0.093"
"166","165.8016","0.096"
"167","166.7790","0.052"
"168","167.7714","0.122"
"169","168.7467","-0.178"
"170","169.7876","-0.056"
"171","170.7647","0.019"
"172","171.7560","0.167"
"173","172.7484","-0.144"
"174","173.7570","-0.015"
"175","174.7658","-0.074"
"176","175.7582","-0.041"
"177","176.7668","-0.348"
"178","177.7434","-0.163"
"241","240.6590","11.815"
"242","241.6334","12.726"
"243","242.6395","12.644"
"244","243.6283","13.496"
"245","244.6190","12.900"
"246","245.6248","14.637"
"247","246.6299","12.633"
"248","247.6203","13.096"
"249","248.6249","13.233"
"250","249.6159","11.781"
"251","250.6215","13.041"
"252","251.5989","12.726"
"253","252.6231","12.589"
"254","253.5985","12.148"
"255","254.6240","13.748"
"256","255.6153","13.015"
"257","256.6398","13.448"
"258","257.6012","12.693"
"259","258.6246","13.270"
"260","259.5861","12.241"
"261","260.5931","13.304"
"262","261.5866","13.044"
"263","262.5949","13.278"
"264","263.6191","13.837"
"265","264.6113","12.659"
"266","265.6186","13.426"
"267","266.5798","12.152"
"268","267.6029","12.656"
"269","268.5802","12.530"
"270","269.5883","11.619"
"271","270.5806","6.337"
"272","271.6041","12.748"
"273","272.5808","12.956"
"274","273.5880","12.800"
"275","274.5806","12.722"
"276","275.6052","12.093"
"277","276.5653","13.037"
"278","277.6057","12.693"
"279","278.5817","12.889"
"280","279.5733","12.730"
"281","280.5816","12.863"
"282","281.5715","13.067"
"283","282.5935","12.637"
"284","283.5676","12.593"
"285","284.5565","12.933"
"286","285.5634","12.874"
"287","286.5533","12.811"
"288","287.5422","12.737"
"289","288.5642","12.633"
"290","289.5385","12.933"
"291","290.5445","12.830"
"292","291.5205","13.411"
"293","292.5613","12.948"
"294","293.5226","12.381"
"295","294.5631","13.059"
"296","295.5381","12.763"
"297","296.5478","12.726"
"298","297.5393","12.481"
"299","298.5154","13.144"
"300","299.5398","13.200"
"301","300.5332","12.270"
"302","301.5243","12.511"
"303","302.5329","12.904"
"304","303.5567","11.948"
"305","304.5339","13.189"
"306","305.5570","12.285"
"307","306.5174","13.019"
"308","307.5415","12.715"
"309","308.5186","12.519"
"310","309.5422","12.530"
"311","310.5179","12.215"
"312","311.5432","11.826"
"313","312.5196","12.619"
"314","313.5109","12.730"
