"Viewer version","2.84"
"Measure start time","Wednesday, July 18, 2018 1:43:42 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"157","156.8176","1.396"
"158","157.8101","0.081"
"159","158.8341","-0.148"
"160","159.8263","-0.033"
"161","160.8343","-0.263"
"162","161.8104","-1.507"
"163","162.8184","-2.015"
"164","163.8104","0.441"
"165","164.8025","1.344"
"166","165.8101","0.170"
"167","166.8346","-2.822"
"168","167.8105","1.078"
"169","168.8185","-0.256"
"170","169.7941","0.130"
"171","170.8173","0.248"
"172","171.8225","0.111"
"173","172.7967","0.659"
"174","173.8024","0.352"
"175","174.7922","1.570"
"176","175.8134","-0.185"
"177","176.7716","-0.404"
"178","177.7933","2.893"
"179","178.7831","0.407"
"180","179.8047","0.281"
"181","180.7480","0.730"
"182","181.7885","-0.874"
"183","182.7650","-0.663"
"184","183.7574","-0.526"
"185","184.7498","-1.185"
"186","185.7585","0.889"
"187","186.7669","0.296"
"188","187.7754","1.704"
"189","188.7836","1.348"
"190","189.7604","0.170"
"191","190.7684","-1.119"
"192","191.7447","0.526"
"193","192.7533","0.770"
"194","193.7457","0.444"
"195","194.7539","0.285"
"196","195.7623","0.404"
"197","196.7546","-0.489"
"198","197.7468","0.544"
"199","198.7871","0.704"
"200","199.7311","0.274"
"201","200.7555","-0.126"
"202","201.7314","1.063"
"203","202.7397","0.193"
"204","203.7477","0.867"
"205","204.7559","0.156"
"206","205.7475","0.437"
"207","206.7398","-0.107"
"208","207.7479","0.604"
"209","208.7238","-0.922"
"210","209.7477","0.133"
"211","210.7392","1.033"
"212","211.7607","0.119"
"213","212.7188","0.263"
"214","213.7564","-1.107"
"215","214.7302","-0.222"
"216","215.7360","0.219"
"217","216.6934","0.700"
"218","217.7315","2.596"
"219","218.6890","0.907"
"220","219.6949","0.722"
"221","220.6856","0.115"
"222","221.6944","0.607"
"223","222.7028","0.641"
"224","223.7113","-0.156"
"225","224.7038","-0.974"
"226","225.7124","0.322"
"227","226.6884","-1.267"
"228","227.6810","-0.137"
"241","240.6769","0.663"
"242","241.7011","0.693"
"243","242.6776","0.052"
"244","243.6855","0.722"
"245","244.6780","-0.119"
"246","245.7017","0.222"
"247","246.6621","0.452"
"248","247.6863","1.526"
"249","248.6624","0.726"
"250","249.7026","0.307"
"251","250.6622","0.289"
"252","251.6519","0.637"
"253","252.6576","0.793"
"254","253.6474","-0.370"
"255","254.6529","0.359"
"256","255.6588","0.600"
"257","256.6487","1.304"
"258","257.6542","0.074"
"259","258.6600","0.770"
"260","259.6498","0.911"
"261","260.6561","-0.244"
"262","261.6165","0.763"
"263","262.6405","0.948"
"264","263.6334","0.696"
"265","264.6417","0.293"
"266","265.6182","0.259"
"267","266.6266","2.311"
"268","267.6189","2.493"
"269","268.6594","0.333"
"270","269.6195","0.096"
"271","270.6443","0.326"
"272","271.6204","-0.381"
"273","272.6126","0.459"
"274","273.6210","0.115"
"275","274.6294","1.396"
"276","275.6372","0.107"
"277","276.6139","-0.611"
"278","277.6222","-1.415"
"279","278.6144","-0.522"
"280","279.6383","-0.270"
"281","280.5991","0.422"
"282","281.6073","0.778"
"283","282.6155","0.259"
"284","283.6075","0.033"
"285","284.6153","1.333"
"286","285.6239","0.004"
"287","286.6157","0.633"
"288","287.5919","0.696"
"289","288.5844","0.185"
"290","289.5927","-0.363"
"291","290.6009","0.807"
"292","291.5930","-0.467"
"293","292.6007","-0.519"
"294","293.6091","-0.041"
"295","294.6173","0.133"
"296","295.5934","0.426"
"297","296.6336","0.341"
"298","297.5778","1.026"
"299","298.5859","0.530"
"300","299.5781","-0.274"
"301","300.6019","-0.637"
"302","301.5753","0.407"
"303","302.6132","0.678"
"304","303.5709","1.030"
"305","304.5928","0.519"
"306","305.5665","0.300"
"307","306.5721","0.189"
"308","307.5617","0.411"
"309","308.5676","1.207"
"310","309.5574","0.363"
"311","310.5634","0.222"
"312","311.5560","3.181"
"313","312.5642","0.278"
"418","417.4396","-0.533"
"419","418.3999","0.544"
"420","419.4076","0.237"
"421","420.3999","-0.044"
"422","421.3921","-0.178"
"423","422.4003","0.056"
"424","423.4085","1.448"
"425","424.4007","0.019"
"426","425.4089","0.074"
"427","426.4010","-7.496"
"428","427.3932","2.278"
"429","428.3694","0.619"
"430","429.3775","1.015"
"431","430.3699","2.411"
"432","431.3764","-1.519"
"433","432.3821","0.144"
"434","433.3877","0.230"
"435","434.4090","0.274"
"436","435.3829","0.370"
"437","436.3723","0.389"
"438","437.3623","0.133"
"439","438.3838","0.178"
"440","439.3415","0.296"
"441","440.3790","0.281"
"442","441.3544","0.226"
"443","442.3788","0.352"
"444","443.3549","-0.104"
"445","444.3477","0.593"
"446","445.3239","0.281"
"447","446.3327","0.122"
"448","447.3252","0.252"
"449","448.3338","0.278"
"450","449.3583","0.148"
"451","450.3348","0.189"
"452","451.3427","0.137"
"453","452.3514","-0.019"
"454","453.3433","1.370"
"455","454.3360","0.230"
"456","455.3600","-0.033"
"457","456.3205","0.219"
"458","457.3609","0.337"
"459","458.3372","-0.207"
"460","459.3453","0.278"
"461","460.3212","0.270"
"462","461.3618","0.089"
"463","462.3381","0.341"
"464","463.3143","0.404"
"465","464.3065","0.363"
"466","465.3307","0.015"
"467","466.3069","0.293"
"468","467.3149","0.548"
"469","468.3390","0.030"
"470","469.3154","0.463"
"471","470.3551","0.530"
"472","471.3145","1.978"
"473","472.3359","0.063"
