"Viewer version","2.84"
"Measure start time","Sunday, July 15, 2018 9:38:16 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"151","150.8508","-0.700"
"152","151.8244","0.200"
"153","152.8458","-0.307"
"154","153.8355","-0.174"
"155","154.8251","-0.104"
"156","155.8306","-18.326"
"157","156.8523","0.756"
"158","157.8258","2.196"
"159","158.7993","-2.674"
"160","159.8050","1.656"
"161","160.8126","0.822"
"162","161.8205","-0.952"
"163","162.7973","0.022"
"164","163.8217","-2.200"
"165","164.7980","0.278"
"166","165.8064","-0.422"
"167","166.8147","0.552"
"168","167.8072","-0.637"
"169","168.8155","-0.244"
"170","169.8076","-1.167"
"171","170.8314","-1.770"
"172","171.7901","3.167"
"173","172.7976","-1.507"
"174","173.8043","1.070"
"175","174.7958","-0.322"
"176","175.8027","-0.511"
"177","176.7782","-0.404"
"178","177.8009","-0.204"
"179","178.7923","-0.211"
"180","179.7994","-0.319"
"181","180.7912","-0.078"
"182","181.7996","-0.293"
"183","182.7600","-0.115"
"184","183.7845","-0.193"
"185","184.7607","-0.137"
"186","185.7853","0.137"
"187","186.7616","-1.085"
"188","187.7699","0.507"
"189","188.7783","4.896"
"190","189.7868","-0.500"
"191","190.7946","-2.056"
"192","191.7712","-1.630"
"193","192.7635","0.104"
"194","193.7558","-1.015"
"195","194.7801","-0.748"
"196","195.7562","-0.507"
"197","196.7646","-0.200"
"198","197.7728","-0.274"
"199","198.7810","-0.574"
"200","199.7571","-0.607"
"201","200.7492","-0.089"
"202","201.7568","0.030"
"203","202.7489","0.148"
"204","203.7566","0.122"
"205","204.7480","0.578"
"206","205.7722","-0.637"
"207","206.7477","-0.422"
"208","207.7559","-0.289"
"209","208.7798","-2.422"
"210","209.7551","0.359"
"211","210.7312","-0.181"
"212","211.7388","-0.422"
"213","212.7459","-1.041"
"214","213.7700","0.130"
"215","214.7455","0.000"
"216","215.7368","-0.337"
"217","216.7447","-0.152"
"218","217.7523","-0.137"
"219","218.7437","-0.378"
"220","219.7193","-0.215"
"221","220.7104","0.633"
"222","221.7482","-1.263"
"223","222.7061","-0.230"
"224","223.7119","-0.363"
"225","224.7017","0.419"
"226","225.7075","-0.200"
"227","226.7133","-0.363"
"228","227.6871","-0.448"
"229","228.6928","-0.478"
"230","229.6986","1.830"
"231","230.6895","-0.941"
"232","231.6821","-0.856"
"233","232.7066","-0.430"
"254","253.6460","0.815"
"255","254.6542","0.374"
"256","255.6466","0.441"
"257","256.6550","0.696"
"258","257.6473","0.404"
"259","258.6558","-0.133"
"260","259.6801","0.700"
"261","260.6565","0.648"
"262","261.6809","0.107"
"263","262.6571","1.026"
"264","263.6491","0.889"
"265","264.6575","-1.507"
"266","265.6657","0.607"
"267","266.6577","0.493"
"268","267.6501","0.333"
"269","268.6261","0.796"
"270","269.6345","0.519"
"271","270.6420","0.637"
"272","271.6479","0.785"
"273","272.6382","0.215"
"274","273.6437","0.285"
