"Viewer version","2.84"
"Measure start time","Sunday, July 15, 2018 12:46:17 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"204","203.7951","-0.048"
"205","204.8171","0.011"
"206","205.7594","0.333"
"207","206.7811","0.467"
"208","207.7874","0.267"
"209","208.7935","-0.096"
"210","209.7677","-2.189"
"211","210.7598","0.526"
"212","211.7697","-0.256"
"213","212.7797","2.493"
"214","213.7572","-0.252"
"215","214.7993","0.211"
"216","215.7607","0.067"
"217","216.7866","-8.478"
"218","217.7646","2.259"
"219","218.7746","-0.096"
"220","219.7681","2.441"
"221","220.7760","0.070"
"222","221.7810","-3.415"
"223","222.7552","1.993"
"224","223.7925","3.807"
"225","224.7663","0.622"
"226","225.7717","-3.496"
"227","226.7616","0.119"
"228","227.7672","0.089"
"229","228.7407","-1.115"
"230","229.7464","4.067"
"231","230.7374","1.504"
"232","231.7620","1.711"
"233","232.7385","-1.589"
"234","233.7471","-0.230"
"235","234.7390","0.404"
"236","235.7480","-0.419"
"237","236.7403","0.448"
"238","237.7489","0.122"
"239","238.7410","0.104"
"240","239.7497","-0.052"
"241","240.7417","0.033"
"242","241.7340","-0.096"
"243","242.7415","-0.078"
"244","243.7176","0.037"
"245","244.7414","-0.367"
"246","245.7178","-0.363"
"247","246.7258","-0.611"
"248","247.7333","-0.019"
"249","248.7578","-0.296"
"250","249.7333","0.122"
"251","250.7255","-0.026"
"252","251.7177","-1.715"
"253","252.7421","-0.163"
"254","253.7018","-0.463"
"255","254.7262","-1.107"
"256","255.7186","0.378"
"257","256.7268","-0.585"
"258","257.7505","0.230"
"259","258.7270","0.074"
"260","259.7191","0.004"
"261","260.7264","-3.330"
"262","261.7002","0.319"
"263","262.7059","0.330"
"264","263.6954","-0.567"
"265","264.6855","-0.726"
"266","265.7232","0.196"
"267","266.6807","2.004"
"268","267.6866","-0.215"
"269","268.6764","1.137"
"270","269.6822","1.911"
"271","270.6731","2.789"
"272","271.6817","3.311"
"273","272.7063","1.222"
"274","273.6828","0.259"
"275","274.6751","0.496"
"276","275.6680","-0.030"
"277","276.7084","-0.856"
"278","277.6690","0.559"
"279","278.7097","0.300"
"280","279.6861","0.256"
"281","280.7105","0.393"
"282","281.6867","0.059"
"283","282.6786","-0.430"
