"Viewer version","2.84"
"Measure start time","Monday, July 9, 2018 1:43:54 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"146","145.9082","-0.159"
"147","146.8848","-0.178"
"148","147.8931","-0.556"
"149","148.8850","-0.226"
"150","149.9098","-0.007"
"151","150.8840","0.081"
"152","151.8583","-0.156"
"153","152.8645","0.407"
"154","153.8544","0.148"
"155","154.8765","-0.230"
"156","155.8664","0.207"
"157","156.8885","0.237"
"158","157.8466","0.878"
"159","158.8367","-0.189"
"160","159.8427","0.052"
"161","160.8494","0.052"
"162","161.8722","-0.063"
"163","162.8317","-0.119"
"164","163.8387","0.104"
"165","164.8296","0.248"
"166","165.8209","-0.022"
"167","166.8117","0.122"
"168","167.8192","-0.037"
"169","168.8259","-0.026"
"170","169.8334","0.019"
"171","170.8246","0.137"
"172","171.8329","0.067"
"173","172.8246","-0.481"
"174","173.8325","-0.196"
"175","174.8244","-0.189"
"176","175.8323","-0.122"
"177","176.8241","-0.041"
"178","177.8161","-0.144"
"179","178.8238","-0.070"
"180","179.7998","-0.067"
"181","180.8246","-0.044"
"182","181.8018","-0.093"
"183","182.8272","-0.437"
"184","183.8365","-0.074"
"185","184.8299","-0.081"
"186","185.8071","-0.115"
"187","186.8480","0.030"
"188","187.8256","0.074"
"189","188.8024","0.037"
"190","189.8118","0.063"
"191","190.8035","0.178"
"192","191.8095","-0.200"
"193","192.8153","-0.026"
"194","193.8372","0.026"
"195","194.8115","0.022"
"196","195.7857","0.070"
"197","196.8235","0.181"
"198","197.7818","-0.044"
"199","198.7716","0.100"
"200","199.7774","-0.107"
"201","200.7847","0.026"
"202","201.7926","0.015"
"203","202.7685","-0.007"
"204","203.7602","-0.193"
"205","204.7842","-0.037"
"206","205.7760","0.148"
"207","206.7839","-0.067"
"208","207.8075","-0.044"
"209","208.7675","-0.030"
"210","209.7591","-0.004"
"211","210.7837","0.044"
"212","211.7604","-0.163"
"213","212.7533","-0.004"
"214","213.7786","0.222"
"215","214.7717","-0.115"
"216","215.7806","0.015"
"217","216.7736","0.263"
"218","217.7666","-0.244"
"219","218.7596","-0.052"
"220","219.7684","0.267"
"221","220.7604","0.033"
"222","221.7664","-0.093"
"223","222.7572","-0.052"
"224","223.7638","-0.041"
"225","224.7541","0.007"
"248","247.7210","4.222"
"249","248.7273","3.437"
"250","249.7341","3.733"
"251","250.7090","3.774"
"252","251.7180","3.693"
"253","252.7264","3.737"
"254","253.7034","3.681"
"255","254.6957","3.696"
"256","255.7208","3.774"
