"Viewer version","2.84"
"Measure start time","Saturday, July 7, 2018 9:05:41 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"58","57.9316","0.056"
"59","58.9222","0.096"
"60","59.9291","0.148"
"61","60.9212","0.337"
"62","61.9294","0.181"
"63","62.9375","0.726"
"64","63.9292","0.170"
"65","64.9376","0.215"
"66","65.9296","-0.063"
"67","66.9216","0.063"
"68","67.9297","0.159"
"69","68.9219","0.333"
"70","69.9297","0.063"
"71","70.9206","0.041"
"72","71.9118","-0.026"
"73","72.9186","-0.048"
"74","73.8938","0.089"
"75","74.9167","-0.211"
"76","75.8916","0.111"
"77","76.8985","0.015"
"78","77.9049","-0.444"
"79","78.8962","-0.270"
"80","79.8872","-0.130"
"81","80.8948","-1.207"
"82","81.8862","-0.204"
"83","82.9098","-0.263"
"84","83.9014","-0.278"
"85","84.8768","-0.289"
"86","85.8845","-0.107"
"87","86.8758","0.019"
"88","87.8676","-0.026"
"89","88.8751","-0.081"
"90","89.8986","-0.048"
"91","90.8728","-0.074"
"92","91.8469","0.048"
"93","92.8368","-0.222"
"94","93.8751","-0.181"
"95","94.8651","-0.256"
"96","95.8712","-0.407"
"97","96.8302","-0.463"
"98","97.8353","0.037"
"99","98.8414","-0.067"
"100","99.8313","0.204"
"101","100.8403","-0.296"
"102","101.8493","0.100"
"103","102.8423","0.826"
"104","103.8191","0.085"
"105","104.8130","0.244"
"106","105.8208","-0.052"
"107","106.8620","0.204"
"108","107.8550","0.081"
"109","108.8160","0.170"
"110","109.8089","0.241"
"111","110.7985","0.196"
"112","111.8519","0.056"
"113","112.8097","-0.178"
"114","113.7992","-0.267"
"115","114.7887","0.141"
"116","115.7944","0.015"
"117","116.7998","-0.078"
"118","117.8213","-0.448"
"119","118.7790","-0.222"
"120","119.7687","-0.289"
"121","120.7764","-0.185"
"122","121.7852","0.000"
"123","122.7919","0.130"
"124","123.7680","-0.148"
"125","124.7918","-0.326"
"126","125.7840","-0.030"
"160","159.7283","2.000"
"161","160.7042","2.067"
"162","161.6801","2.319"
"163","162.7203","2.170"
"164","163.7124","1.996"
"165","164.6884","2.337"
"166","165.6806","2.478"
"167","166.6728","1.756"
"168","167.6809","1.826"
"169","168.6889","2.059"
"170","169.6660","2.022"
"171","170.6719","1.830"
"172","171.6619","1.837"
"173","172.6520","2.252"
"174","173.6584","1.993"
"175","174.6804","1.930"
"176","175.6544","1.800"
"177","176.6448","1.322"
"178","177.6348","11.963"
"179","178.6413","1.800"
"180","179.6315","2.170"
"181","180.6388","1.789"
"182","181.6473","1.615"
"183","182.6389","2.059"
"184","183.6311","1.915"
"185","184.6392","2.578"
"186","185.6313","1.741"
"187","186.6234","1.630"
"188","187.6472","1.863"
"189","188.6395","1.874"
"190","189.6326","1.993"
"191","190.6549","1.648"
"192","191.6143","3.989"
"193","192.6054","16.267"
"194","193.6285","2.307"
"195","194.6032","3.730"
"196","195.6105","-0.593"
"197","196.6333","0.407"
"198","197.5936","0.881"
"199","198.6007","1.678"
"200","199.5909","2.459"
"201","200.5823","6.678"
"202","201.5899","3.607"
"203","202.5975","1.744"
"204","203.6053","2.233"
"205","204.5969","7.330"
"206","205.5736","0.026"
"207","206.5974","1.078"
"208","207.5721","-1.641"
"209","208.5959","-6.796"
"210","209.5872","2.789"
"211","210.5795","0.559"
"212","211.5723","33.337"
"213","212.5823","1.178"
"214","213.5741","-5.789"
"215","214.5989","18.144"
"216","215.5607","-0.048"
"217","216.5682","-0.463"
"218","217.5775","4.759"
"219","218.5865","2.396"
"220","219.5962","2.996"
"221","220.5558","15.485"
"222","221.5625","2.593"
"223","222.5703","-0.548"
"224","223.5772","3.311"
"225","224.5845","0.570"
"226","225.5427","-5.770"
"227","226.5347","3.300"
"228","227.5566","2.733"
"229","228.5318","1.619"
"230","229.5551","0.956"
"231","230.5463","1.915"
"232","231.5374","0.519"
"233","232.5290","2.063"
"234","233.5515","1.856"
"235","234.5277","1.874"
"236","235.5180","1.748"
"237","236.5250","1.889"
"238","237.5004","1.941"
"239","238.5404","2.126"
"240","239.5147","2.019"
"241","240.5054","2.230"
"242","241.5114","1.685"
"243","242.5020","2.204"
"244","243.4914","1.707"
"245","244.4977","1.889"
"246","245.5195","2.107"
"247","246.4775","2.370"
"248","247.4835","1.896"
"249","248.4907","1.867"
"250","249.4804","1.900"
"251","250.5020","1.741"
"252","251.4944","2.078"
"253","252.4524","2.133"
"254","253.4598","1.752"
"255","254.4667","2.178"
"256","255.4578","2.385"
"257","256.4492","2.044"
"258","257.4405","2.119"
"259","258.4795","2.056"
"260","259.4389","1.811"
"261","260.4299","2.322"
"262","261.4687","2.926"
"263","262.4448","2.919"
"264","263.4359","1.581"
"265","264.4418","2.593"
"266","265.4341","1.552"
"267","266.4404","1.422"
"268","267.4152","2.070"
"269","268.4222","1.978"
"270","269.4451","2.159"
"271","270.4535","1.281"
"272","271.4130","9.007"
"273","272.4376","3.078"
"274","273.4140","-1.396"
"275","274.4384","2.074"
"276","275.4465","2.419"
"277","276.4231","1.893"
"278","277.4478","1.744"
"279","278.4079","1.700"
