"Viewer version","2.84"
"Measure start time","Saturday, July 14, 2018 12:46:51 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"50","49.9923","0.278"
"51","51.0328","-0.148"
"52","52.0091","0.115"
"53","53.0174","0.274"
"54","54.0098","-1.185"
"55","55.0179","0.456"
"56","55.9941","0.037"
"57","56.9867","-0.056"
"58","58.0110","-0.104"
"59","58.9875","-0.144"
"60","60.0116","-0.185"
"61","61.0177","-0.156"
"62","61.9920","-0.222"
"63","62.9980","-0.330"
"64","63.9885","0.022"
"65","65.0107","0.222"
"66","65.9850","0.067"
"67","66.9751","0.007"
"68","67.9814","-0.185"
"69","69.0037","-0.130"
"70","69.9621","-0.207"
"71","70.9706","-0.422"
"72","71.9947","0.252"
"73","72.9717","0.222"
"74","73.9639","0.026"
"75","74.9725","0.519"
"76","75.9970","0.289"
"77","76.9736","0.130"
"78","77.9980","0.063"
"79","78.9585","-0.085"
"80","79.9668","-0.041"
"81","80.9566","0.000"
"82","81.9626","-1.826"
"83","82.9845","-0.256"
"84","83.9582","-0.759"
"85","84.9802","-0.337"
"86","85.9540","-0.530"
"87","86.9596","0.226"
"88","87.9497","0.385"
"89","88.9235","-0.530"
"90","89.9617","0.178"
"91","90.9364","-0.233"
"92","91.9273","-0.826"
"93","92.9340","-0.278"
"94","93.9408","0.344"
"95","94.9314","0.596"
"96","95.9225","-0.085"
"97","96.9134","-5.252"
"98","97.9201","-0.374"
"99","98.9265","-0.189"
"100","99.9019","-0.737"
"101","100.9420","0.500"
"102","101.9029","-0.067"
"103","102.9276","-0.059"
"104","103.9043","-0.370"
"105","104.9449","0.015"
"106","105.9056","-0.004"
"107","106.9143","0.778"
"108","107.9069","-0.344"
"109","108.9156","-0.259"
"110","109.9399","0.093"
"111","110.9167","0.174"
"112","111.9089","0.093"
"113","112.9016","-0.426"
"114","113.9260","-0.311"
"115","114.9021","0.704"
"116","115.8950","-0.089"
"117","116.9030","-0.485"
"118","117.8958","0.063"
"119","118.8879","-0.015"
"120","119.8966","0.585"
"228","227.7263","2.656"
"229","228.7480","2.504"
"230","229.7219","2.807"
"231","230.7455","2.656"
"232","231.7224","5.204"
"233","232.7313","2.256"
"234","233.7241","2.381"
"235","234.7492","2.459"
"236","235.7260","2.448"
"237","236.7349","2.396"
"238","237.7276","2.422"
"239","238.7046","2.415"
"240","239.7457","2.400"
"241","240.7207","2.448"
"242","241.7106","2.426"
"243","242.7166","2.596"
"244","243.7226","2.970"
"245","244.7121","2.637"
"246","245.7342","1.926"
"247","246.7083","2.870"
"248","247.6985","2.519"
"249","248.6884","3.741"
"250","249.6944","2.659"
"251","250.7013","2.844"
"252","251.6782","2.559"
"253","252.6869","2.326"
"254","253.6793","2.522"
"255","254.6877","2.578"
"256","255.6804","2.822"
"257","256.7049","2.885"
"258","257.6814","3.400"
"259","258.6900","3.193"
"260","259.6826","2.230"
"261","260.6898","2.726"
"262","261.6957","2.589"
"263","262.6695","2.585"
"264","263.6911","2.670"
"265","264.6490","2.496"
"266","265.6548","2.504"
"267","266.6444","2.533"
"268","267.6663","2.604"
"269","268.6397","2.107"
"270","269.6459","2.304"
"271","270.6690","2.567"
"272","271.6620","2.659"
"273","272.6391","2.848"
"274","273.6322","2.067"
"275","274.6573","2.589"
"276","275.6344","2.563"
"277","276.6433","3.141"
"278","277.6684","4.081"
"279","278.6456","2.696"
"280","279.6542","3.174"
"281","280.6302","2.833"
"282","281.6520","4.222"
"283","282.6258","2.500"
"284","283.6475","2.830"
"285","284.6369","3.159"
"286","285.6591","2.493"
"287","286.6169","3.130"
"288","287.6228","3.004"
"289","288.6440","0.167"
"290","289.6183","2.941"
"291","290.6091","2.596"
"292","291.6019","2.307"
"293","292.6264","4.215"
"294","293.6026","2.796"
"295","294.6438","2.763"
"296","295.6205","2.400"
"297","296.6451","3.719"
"298","297.6214","2.722"
"349","348.5395","0.574"
"350","349.5647","-0.167"
"351","350.5407","-0.041"
"352","351.5469","0.463"
"353","352.5367","-1.270"
"354","353.5107","-0.815"
"355","354.5482","0.226"
"356","355.5224","-0.341"
"357","356.5443","0.344"
"358","357.5023","-0.385"
"359","358.5083","-0.067"
"360","359.4979","0.737"
"361","360.5203","-0.537"
"362","361.4965","0.107"
"363","362.5055","-0.137"
"364","363.5135","-0.026"
"365","364.4905","0.415"
"366","365.5311","-0.181"
"367","366.5076","-0.648"
"368","367.5321","-0.122"
"369","368.4928","0.111"
"370","369.5172","-0.389"
"371","370.5098","0.126"
"372","371.5337","-0.237"
"373","372.4942","0.033"
"374","373.5030","-0.304"
"375","374.4954","-0.167"
"376","375.5037","-0.085"
"377","376.5280","-0.104"
"378","377.4885","-0.196"
"379","378.4967","-0.148"
"380","379.5052","-0.078"
"381","380.4973","0.678"
"382","381.4870","0.363"
"383","382.5087","-0.322"
"384","383.4827","0.111"
"385","384.4884","0.307"
"386","385.4782","0.059"
"387","386.4839","0.211"
"388","387.4897","-0.263"
"389","388.4635","-0.170"
"390","389.4692","-0.378"
"391","390.4592","-0.344"
"392","391.4677","-0.200"
"393","392.4603","-0.244"
"394","393.4849","0.289"
"395","394.4612","0.056"
"396","395.4697","-0.096"
"397","396.4619","-0.267"
"398","397.4709","0.589"
"399","398.4795","0.196"
"400","399.4558","0.756"
"401","400.4803","0.278"
"402","401.4545","0.193"
"403","402.4601","-0.485"
"404","403.4497","-0.385"
"405","404.4719","-1.344"
"406","405.4300","0.281"
"407","406.4359","-0.048"
"408","407.4573","-0.100"
"409","408.4317","-0.326"
"410","409.4376","0.830"
"411","410.4435","-0.400"
"412","411.4676","-0.907"
"413","412.4285","-0.352"
"414","413.4211","0.463"
"415","414.4136","-0.448"
"416","415.4382","-1.426"
"417","416.4145","0.104"
"418","417.4232","0.574"
