"Viewer version","2.84"
"Measure start time","Saturday, July 14, 2018 12:56:47 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"78","77.9464","-0.219"
"79","78.9842","0.356"
"80","79.9429","-0.119"
"81","80.9512","0.037"
"82","81.9433","0.589"
"83","82.9681","1.537"
"84","83.9449","2.200"
"85","84.9534","-0.381"
"86","85.9460","0.285"
"87","86.9543","1.026"
"88","87.9625","0.459"
"89","88.9395","0.137"
"90","89.9635","-0.967"
"91","90.9217","3.585"
"92","91.9277","1.141"
"93","92.9177","-0.378"
"94","93.9396","-0.167"
"95","94.9135","-0.004"
"96","95.9196","-0.570"
"97","96.9251","-0.456"
"98","97.9315","0.052"
"99","98.9529","-0.089"
"100","99.9275","0.815"
"101","100.9200","-0.296"
"102","101.9126","-0.163"
"103","102.9373","0.441"
"104","103.9139","4.244"
"105","104.9065","-0.652"
"106","105.9152","0.278"
"107","106.9078","-0.659"
"108","107.9002","0.044"
"109","108.9088","-0.256"
"110","109.9334","0.870"
"111","110.9099","-0.015"
"112","111.9179","0.970"
"113","112.9104","0.059"
"114","113.9186","-0.030"
"115","114.8950","0.059"
"116","115.9353","0.119"
"117","116.8955","-0.170"
"118","117.9040","-0.133"
"119","118.8961","0.122"
"120","119.9046","0.337"
"121","120.9263","0.085"
"122","121.9003","-0.333"
"123","122.8899","-0.163"
"124","123.8800","-0.063"
"125","124.9020","0.133"
"126","125.8918","-0.063"
"127","126.8975","-0.174"
"128","127.8870","-0.270"
"129","128.8613","-0.226"
"130","129.8508","0.578"
"131","130.8596","0.400"
"132","131.8841","-1.870"
"133","132.8606","0.644"
"134","133.9006","0.326"
"135","134.8775","-1.167"
"136","135.8700","0.648"
"137","136.8785","-0.574"
"138","137.8869","-0.778"
"139","138.8469","0.052"
"140","139.8555","0.407"
"141","140.8454","-0.481"
"142","141.8519","-0.585"
"143","142.8733","-0.089"
"144","143.8635","-0.163"
"145","144.8695","0.207"
"146","145.8595","-0.641"
"147","146.8493","0.115"
"148","147.8552","-0.019"
"149","148.8611","0.974"
"150","149.8191","0.056"
"151","150.8274","-0.293"
"152","151.8355","0.033"
"153","152.8444","-0.556"
"154","153.8530","-0.096"
"155","154.8457","-0.244"
"156","155.8702","0.959"
"157","156.8468","0.078"
"158","157.8712","-0.163"
"159","158.8319","-0.344"
"160","159.8404","0.119"
"183","182.7836","4.711"
"184","183.7922","4.233"
"185","184.7847","4.600"
"186","185.7931","4.470"
"187","186.7852","4.707"
"188","187.7941","5.015"
"189","188.7867","4.159"
"190","189.7953","5.144"
"191","190.8019","3.363"
"192","191.7918","5.041"
"193","192.8137","4.222"
"194","193.7717","4.507"
"195","194.7617","4.563"
"196","195.7996","4.430"
"197","196.7575","4.263"
"198","197.7635","5.019"
"199","198.7531","4.044"
"200","199.7594","4.444"
"201","200.7676","4.022"
"202","201.7771","6.152"
"203","202.7700","4.311"
"204","203.7636","3.381"
"205","204.7889","4.548"
"206","205.7663","4.219"
"207","206.7596","5.193"
"208","207.7527","4.837"
"209","208.7624","3.793"
"210","209.7557","4.744"
"211","210.7627","5.933"
"212","211.7844","4.533"
"213","212.7582","5.304"
"214","213.7635","4.000"
"215","214.7537","6.333"
"216","215.7595","4.596"
"217","216.7332","4.515"
"218","217.7710","4.615"
"219","218.7288","4.470"
"220","219.7345","4.367"
"221","220.7261","4.770"
"222","221.7348","4.678"
"223","222.7590","4.796"
"224","223.7200","4.533"
"225","224.7284","4.348"
"226","225.7212","5.407"
"227","226.7460","4.119"
"228","227.7223","5.922"
"229","228.7312","4.048"
"230","229.7394","4.889"
"231","230.7149","4.907"
"232","231.7042","4.937"
"233","232.7106","4.715"
"234","233.7325","4.785"
"235","234.7064","4.730"
"236","235.7439","4.659"
"237","236.7182","4.644"
"238","237.7400","4.615"
"239","238.7138","4.633"
"240","239.7197","4.974"
"241","240.6793","4.537"
"242","241.6878","4.433"
"243","242.6804","5.859"
"244","243.6890","4.585"
"245","244.7132","4.830"
"246","245.6901","4.807"
"247","246.6983","4.841"
"248","247.7073","5.119"
"249","248.7318","5.093"
"250","249.6764","5.356"
"251","250.7169","4.052"
"252","251.6770","4.826"
"253","252.6850","5.337"
"254","253.6774","3.707"
"255","254.7015","5.326"
