"Viewer version","2.84"
"Measure start time","Friday, July 6, 2018 10:23:34 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"184","183.7895","-0.463"
"185","184.7498","-0.396"
"186","185.7738","-0.219"
"187","186.7499","-0.152"
"188","187.7581","-0.026"
"189","188.7502","-0.056"
"190","189.7582","0.026"
"191","190.7652","-0.159"
"192","191.7563","-0.256"
"193","192.7310","-0.437"
"194","193.7537","-0.167"
"195","194.7448","-0.011"
"196","195.7514","0.204"
"197","196.7265","-0.115"
"198","197.7491","-0.185"
"199","198.7243","-0.619"
"200","199.7307","0.226"
"201","200.7224","0.444"
"202","201.7144","0.104"
"203","202.7224","0.100"
"204","203.7140","-0.011"
"205","204.7222","-0.170"
"206","205.7140","0.115"
"207","206.7541","0.148"
"208","207.7138","0.448"
"209","208.7378","0.078"
"210","209.7138","0.070"
"211","210.7221","-0.015"
"212","211.7143","0.556"
"213","212.7063","0.267"
"214","213.6982","0.359"
"215","214.7385","0.144"
"216","215.6983","0.256"
"217","216.7063","-0.100"
"218","217.7308","6.015"
"219","218.7070","3.489"
"220","219.7151","-1.041"
"221","220.7067","-0.552"
"222","221.7136","-0.248"
"223","222.6723","-0.226"
"224","223.6796","-0.093"
"225","224.6865","-0.474"
"226","225.6935","-0.170"
"227","226.7163","0.200"
"228","227.6913","-0.611"
"229","228.6822","-0.204"
"230","229.6733","-0.189"
"231","230.6649","0.041"
"232","231.6894","-0.178"
"233","232.6659","1.044"
"234","233.6744","-0.107"
"235","234.6671","-0.474"
"236","235.6597","-0.359"
"237","236.6681","-0.085"
"238","237.6764","1.274"
"239","238.7012","0.100"
"240","239.6454","0.081"
"241","240.6540","-0.493"
"242","241.6619","0.200"
"243","242.6538","0.319"
"244","243.6617","-0.067"
"245","244.6697","0.033"
"246","245.6937","0.470"
"247","246.6696","-0.456"
"248","247.6614","0.604"
"249","248.6534","-0.037"
"250","249.6771","0.033"
"251","250.6525","-0.252"
"252","251.6259","-0.107"
"253","252.6319","-0.048"
"254","253.6372","-0.137"
"255","254.6432","0.185"
"256","255.6328","1.044"
"257","256.6226","0.248"
"258","257.6280","-0.026"
"259","258.6019","0.196"
"260","259.6392","0.107"
"261","260.5987","-0.019"
"262","261.6249","-0.415"
"263","262.6190","-0.341"
"264","263.6452","-0.407"
"265","264.6231","-0.196"
"266","265.6013","0.004"
"267","266.6275","-0.267"
"268","267.6216","0.307"
"269","268.6478","0.300"
"270","269.6099","0.307"
"271","270.6350","-0.081"
"272","271.6098","0.289"
"273","272.6165","-0.585"
"274","273.6075","-0.363"
"275","274.6143","-0.341"
"276","275.6051","-0.196"
"277","276.5958","-0.096"
"278","277.6023","-0.193"
