"Viewer version","2.84"
"Measure start time","Friday, July 6, 2018 12:55:01 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"85","84.9372","-0.285"
"86","85.9139","0.070"
"87","86.9221","-0.126"
"88","87.8985","-0.041"
"89","88.9225","-0.093"
"90","89.9307","0.026"
"91","90.9078","0.611"
"92","91.9322","-0.096"
"93","92.8933","1.644"
"94","93.9181","0.604"
"95","94.8948","0.341"
"96","95.9036","-0.911"
"97","96.8802","0.363"
"98","97.9209","1.307"
"99","98.8815","-0.452"
"100","99.9066","0.704"
"101","100.8802","-0.244"
"102","101.8701","0.041"
"103","102.8759","0.007"
"104","103.8812","-0.033"
"105","104.8872","0.307"
"106","105.8765","0.222"
"107","106.8825","0.311"
"108","107.8719","1.107"
"109","108.8619","-1.926"
"110","109.8673","2.611"
"111","110.8447","1.374"
"112","111.8860","1.074"
"113","112.8635","-0.215"
"114","113.8888","0.789"
"115","114.8505","-1.778"
"116","115.8757","-0.607"
"117","116.8535","-0.296"
"118","117.8626","-1.274"
"119","118.8563","-0.130"
"120","119.8495","0.196"
"121","120.8580","-0.944"
"122","121.8499","0.644"
"123","122.8583","-0.863"
"124","123.8342","0.837"
"125","124.8425","-0.048"
"126","125.8504","-0.274"
"127","126.8428","-0.278"
"128","127.8508","-0.200"
"129","128.8750","-0.130"
"130","129.8189","-0.222"
"131","130.8420","0.181"
"132","131.8162","-0.715"
"133","132.8230","-0.207"
"134","133.8130","-0.296"
"135","134.8359","-0.878"
"136","135.8102","-0.319"
"137","136.8169","0.093"
"138","137.8074","-0.200"
"139","138.8137","-0.889"
"140","139.7881","-2.781"
"141","140.7959","-0.700"
"142","141.8033","-0.019"
"143","142.8115","0.004"
"144","143.8352","0.207"
"145","144.7791","-0.133"
"146","145.7869","-0.004"
"147","146.7947","-0.241"
"148","147.8185","-0.037"
"149","148.8262","-0.041"
"150","149.7860","-0.096"
"151","150.8095","-0.163"
"152","151.7848","-0.070"
"163","162.7720","4.704"
"164","163.7486","8.874"
"165","164.7728","4.552"
"166","165.7491","2.196"
"167","166.7571","2.378"
"168","167.7497","2.389"
"169","168.7578","2.211"
"170","169.7661","1.456"
"171","170.7732","2.496"
"172","171.7480","2.211"
"173","172.7383","1.844"
"174","173.7293","2.678"
"175","174.7359","2.330"
"176","175.7267","2.304"
"177","176.7492","2.344"
"178","177.7239","2.204"
"179","178.7307","2.400"
"180","179.7210","2.344"
"181","180.7126","2.174"
"182","181.7205","2.567"
"183","182.7445","2.444"
"184","183.7362","2.052"
"185","184.7123","2.863"
"186","185.7360","2.563"
"187","186.7120","2.596"
"188","187.7040","2.289"
"189","188.7118","2.759"
"190","189.7198","2.407"
"191","190.7122","2.174"
"192","191.7368","2.507"
"193","192.6973","2.170"
"194","193.7224","2.559"
"195","194.6829","2.381"
"196","195.6918","2.326"
"197","196.6842","2.407"
"198","197.7092","2.619"
"199","198.7016","2.585"
"200","199.7107","2.385"
"201","200.7191","2.241"
"202","201.6953","2.419"
"203","202.7031","2.537"
"204","203.6795","2.044"
"205","204.7196","2.185"
"206","205.6797","2.419"
"207","206.7199","2.230"
"208","207.6640","2.389"
"209","208.6721","2.500"
"210","209.6641","2.359"
"211","210.6723","3.489"
"212","211.6647","3.311"
"213","212.6566","2.604"
"214","213.6653","2.796"
"215","214.6735","2.130"
"216","215.6659","2.193"
"217","216.6742","2.252"
"218","217.6666","2.289"
"219","218.7064","2.707"
"220","219.6511","2.600"
"221","220.6747","2.396"
"222","221.6655","2.363"
"223","222.6722","2.570"
"224","223.6470","1.867"
"225","224.6374","2.152"
"226","225.6443","3.659"
"227","226.6509","2.107"
"228","227.6578","2.500"
"229","228.6803","2.026"
"230","229.6554","3.289"
"231","230.6301","2.396"
"232","231.6219","2.704"
"233","232.6451","2.222"
"234","233.6370","2.374"
"235","234.6441","2.344"
"236","235.6358","2.204"
"237","236.6596","2.115"
"238","237.6351","2.500"
"377","376.3487","0.148"
"378","377.3417","0.215"
"379","378.3672","-0.444"
"380","379.3441","0.511"
"381","380.3537","0.241"
"382","381.3783","0.389"
"383","382.3549","0.119"
"384","383.3633","0.070"
"385","384.3398","0.107"
"386","385.3639","-0.381"
"387","386.3405","0.000"
"388","387.3810","0.330"
"389","388.3413","-0.030"
"390","389.3658","-0.137"
"391","390.3263","-0.070"
"392","391.3491","0.111"
"393","392.3553","-0.289"
"394","393.3455","0.441"
"395","394.3516","-0.004"
"396","395.3418","-0.122"
"397","396.3316","0.022"
"398","397.3381","-0.022"
"399","398.3124","0.096"
"400","399.3186","-0.056"
"401","400.3246","-0.589"
"402","401.3003","0.278"
"403","402.3089","-0.015"
"404","403.3009","0.230"
"405","404.3096","-0.293"
"406","405.3180","-0.244"
"407","406.2944","-0.030"
"408","407.3027","-0.133"
"409","408.3111","-0.059"
"410","409.3193","-0.296"
"411","410.2960","-0.581"
"412","411.3044","-0.200"
"413","412.3131","0.259"
"414","413.2897","-0.352"
"415","414.2984","-0.252"
"416","415.3230","0.819"
"417","416.2997","-1.052"
"418","417.2922","-0.111"
"419","418.3009","-0.015"
"420","419.2777","0.289"
"421","420.2861","-0.248"
"422","421.2778","0.030"
"423","422.2847","-0.441"
"424","423.2915","-0.259"
"425","424.2983","-0.330"
"426","425.2891","0.415"
"427","426.2639","-0.270"
"428","427.2705","-0.319"
"429","428.2775","0.274"
"430","429.3002","0.152"
"431","430.2592","-0.611"
"432","431.2985","-0.056"
"433","432.2592","0.100"
"434","433.2674","-0.381"
"435","434.2437","0.096"
"436","435.2679","0.119"
"437","436.2603","0.259"
"438","437.2685","-0.274"
"439","438.2448","0.356"
"440","439.2692","-0.052"
"441","440.2455","-0.081"
"442","441.2684","0.385"
"443","442.2261","0.070"
"444","443.2320","-0.074"
"445","444.2377","-0.285"
"446","445.2277","-0.337"
