"Viewer version","2.84"
"Measure start time","Friday, July 6, 2018 12:18:20 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"160","159.7763","-0.174"
"161","160.7843","-0.211"
"162","161.7760","-0.256"
"163","162.7838","-0.189"
"164","163.7751","-0.241"
"165","164.7512","-0.167"
"166","165.7908","-0.141"
"167","166.7664","-0.178"
"168","167.7902","0.326"
"169","168.7499","0.089"
"170","169.7894","-0.033"
"171","170.7497","-0.093"
"172","171.7740","-0.007"
"173","172.7500","0.007"
"174","173.7586","-0.522"
"175","174.7508","-0.056"
"176","175.7591","-0.322"
"177","176.7670","0.019"
"178","177.7436","-0.033"
"179","178.7516","0.081"
"180","179.7281","0.000"
"181","180.7523","0.000"
"182","181.7290","0.156"
"183","182.7377","0.363"
"184","183.7301","0.541"
"185","184.7388","-0.374"
"186","185.7631","-0.089"
"187","186.7399","-0.370"
"188","187.7482","0.322"
"189","188.7411","-0.041"
"190","189.7336","-0.019"
"191","190.7089","-0.026"
"192","191.7312","-0.107"
"193","192.7055","-0.104"
"194","193.7278","-0.137"
"195","194.7021","0.019"
"196","195.7239","-0.089"
"197","196.7145","-0.078"
"198","197.7367","-0.059"
"199","198.6954","-0.130"
"200","199.7017","-0.159"
"201","200.6928","-0.111"
"202","201.7007","-0.289"
"203","202.6927","-0.559"
"204","203.7004","0.107"
"205","204.6763","-0.063"
"206","205.7001","-0.296"
"207","206.6761","-0.148"
"208","207.6839","-0.011"
"209","208.6759","-0.200"
"210","209.6836","-0.030"
"211","210.6915","-0.181"
"212","211.6681","0.133"
"213","212.7081","-0.052"
"214","213.6846","-0.041"
"215","214.6611","-0.037"
"216","215.6695","-0.070"
"217","216.6777","-0.063"
"218","217.6541","-0.089"
"219","218.6623","-0.085"
"220","219.6544","-0.163"
"221","220.6949","-0.285"
"222","221.6708","-0.667"
"223","222.6473","-0.130"
"224","223.6396","-0.589"
"225","224.6799","-2.819"
"226","225.6398","0.715"
"227","226.6643","-1.881"
"228","227.6402","-0.700"
"229","228.6486","0.111"
"230","229.6405","-0.081"
"231","230.6488","-0.100"
"232","231.6563","-0.104"
"233","232.6324","-0.289"
"234","233.6399","0.089"
"235","234.6319","0.156"
"236","235.6232","-0.237"
"237","236.6313","-0.333"
"238","237.6386","-0.174"
"239","238.6627","-0.137"
"240","239.6385","-0.111"
"241","240.6460","-0.085"
"242","241.6047","-0.122"
"243","242.6281","-0.089"
"244","243.6030","0.148"
"245","244.6102","0.270"
"246","245.6492","0.252"
"247","246.5922","0.196"
"248","247.6313","0.541"
"249","248.5902","0.237"
"250","249.6134","-0.022"
"251","250.5881","0.089"
"252","251.5950","0.033"
"253","252.5853","0.063"
"254","253.6084","0.015"
"255","254.5672","-0.404"
"256","255.5739","0.089"
"257","256.5804","-0.122"
"296","295.5359","4.515"
"297","296.4937","4.370"
"298","297.5159","4.522"
"299","298.4895","4.256"
"300","299.4956","4.407"
"301","300.4855","4.319"
"302","301.4950","4.644"
"303","302.5208","4.300"
"304","303.4983","5.044"
"305","304.5077","5.396"
"306","305.4854","4.326"
"307","306.5109","5.515"
"308","307.4880","6.004"
"309","308.4976","4.696"
"310","309.4913","4.137"
"311","310.5008","4.411"
"312","311.4911","4.604"
"313","312.4813","4.767"
"314","313.4876","4.852"
"315","314.4938","4.819"
"316","315.4998","4.937"
"317","316.4744","4.589"
"318","317.4964","5.215"
"319","318.4711","4.511"
"320","319.4612","4.270"
"321","320.4516","4.678"
"322","321.4598","4.237"
"323","322.4519","4.478"
"324","323.4761","4.467"
"325","324.4522","4.056"
"326","325.4763","3.759"
"327","326.4528","4.733"
"328","327.4606","4.233"
"329","328.4532","4.474"
"330","329.4614","4.274"
"331","330.4215","4.085"
"332","331.4298","4.152"
"333","332.4378","4.204"
"334","333.4465","4.574"
"335","334.4545","4.404"
"336","335.4313","4.448"
"337","336.4551","4.937"
"338","337.4477","4.685"
"339","338.4398","4.181"
"340","339.4164","4.541"
"341","340.4246","4.441"
"342","341.4167","4.589"
"343","342.4246","4.393"
"344","343.4169","4.285"
"345","344.4247","4.263"
"346","345.4330","4.726"
"347","346.4089","4.581"
"348","347.4170","4.493"
"349","348.4253","4.593"
"350","349.4170","4.763"
"351","350.4092","4.596"
"352","351.4318","4.285"
"353","352.4056","4.615"
"354","353.4280","4.085"
"355","354.4021","4.470"
"356","355.4079","4.411"
"357","356.3979","4.067"
"358","357.3879","4.715"
"359","358.3941","4.978"
"360","359.4161","3.763"
"361","360.3580","4.659"
"362","361.3662","4.663"
"363","362.3586","4.741"
"364","363.3671","4.637"
"365","364.3912","3.741"
"366","365.3678","4.670"
"367","366.3763","3.637"
"368","367.3688","2.815"
"369","368.3772","4.700"
"606","604.8914","-0.604"
"607","605.8992","-0.381"
"608","606.9068","0.096"
"609","607.8823","-0.263"
"610","608.8902","0.433"
"611","609.8980","-0.130"
"612","610.8894","0.185"
"613","611.8819","0.048"
"614","612.9062","-0.174"
"615","613.8663","-0.048"
"616","614.8907","-0.181"
"617","615.8667","-0.048"
"618","616.8752","0.144"
"619","617.8676","-0.626"
"620","618.9080","0.315"
