"Viewer version","2.84"
"Measure start time","Wednesday, July 11, 2018 2:00:08 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"125","124.7905","0.056"
"126","125.7827","-0.419"
"127","126.7915","-0.393"
"128","127.8002","-0.041"
"129","128.8087","0.215"
"130","129.8171","-0.489"
"131","130.7933","-0.463"
"132","131.8016","-0.500"
"133","132.7778","0.167"
"134","133.8178","-1.078"
"135","134.7943","-0.100"
"136","135.8025","0.063"
"137","136.7789","-0.433"
"138","137.8031","-0.196"
"139","138.7633","-0.467"
"140","139.7876","0.670"
"141","140.7637","-0.204"
"142","141.7718","0.415"
"143","142.7639","-0.267"
"144","143.7721","0.015"
"145","144.7801","0.300"
"146","145.7881","0.189"
"147","146.7960","1.152"
"148","147.7726","-1.281"
"149","148.7644","0.104"
"150","149.7569","0.863"
"151","150.7633","4.463"
"152","151.7691","-3.767"
"153","152.7907","1.256"
"154","153.7327","-0.185"
"155","154.7703","-6.941"
"156","155.7278","0.819"
"157","156.7338","0.007"
"158","157.7397","-0.148"
"159","158.7456","0.085"
"160","159.7353","-0.074"
"161","160.7110","-0.041"
"162","161.7191","0.070"
"163","162.7280","0.059"
"164","163.7201","-0.037"
"165","164.7289","0.189"
"166","165.7374","0.459"
"167","166.7300","0.196"
"168","167.7386","-0.156"
"169","168.7151","0.074"
"170","169.7234","0.089"
"171","170.6999","0.019"
"172","171.7241","0.019"
"173","172.7005","-0.622"
"174","173.7088","0.989"
"175","174.6851","-1.081"
"176","175.7094","0.581"
"177","176.7177","0.163"
"178","177.6940","-0.907"
"179","178.7339","-0.067"
"180","179.6942","-0.026"
"181","180.7185","0.233"
"182","181.6788","0.019"
"183","182.7190","-0.056"
"184","183.6951","-0.067"
"185","184.7031","0.156"
"186","185.6952","0.070"
"187","186.6872","0.111"
"188","187.6790","0.178"
"189","188.6875","-0.448"
"190","189.6796","-0.441"
"191","190.6863","-0.170"
"192","191.6757","0.059"
"193","192.6819","0.263"
"194","193.6872","-2.967"
"195","194.6773","0.589"
"196","195.6826","-0.067"
"197","196.6566","-0.056"
"198","197.6465","0.089"
"199","198.6363","-0.059"
"200","199.6580","-0.081"
"201","200.6331","-0.100"
"202","201.6735","0.096"
"203","202.6175","0.052"
"222","221.6161","9.159"
"223","222.6242","9.837"
"224","223.6319","9.130"
"225","224.6083","9.726"
"226","225.6001","10.444"
"227","226.5921","8.496"
"228","227.6323","9.607"
"229","228.5924","10.230"
"230","229.6167","10.059"
"231","230.5916","10.144"
"232","231.5817","9.548"
"233","232.5869","10.333"
"234","233.6089","9.781"
"235","234.5821","10.019"
"236","235.5883","10.504"
"237","236.5776","2.996"
"238","237.5835","18.144"
"239","238.5570","10.948"
"240","239.5630","18.559"
"241","240.5692","14.193"
"242","241.5459","11.793"
"243","242.5860","9.704"
"244","243.5470","10.285"
"245","244.5714","10.141"
"246","245.5478","7.693"
"247","246.5563","10.152"
"248","247.5327","9.770"
"249","248.5572","9.811"
"250","249.5335","9.993"
"251","250.5417","9.667"
"252","251.5345","9.426"
"253","252.5427","10.219"
"254","253.5511","9.052"
"255","254.5433","9.337"
"256","255.5516","12.033"
