"Viewer version","2.84"
"Measure start time","Thursday, July 12, 2018 7:40:43 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"120","119.7999","0.448"
"121","120.8402","-0.133"
"122","121.8010","-0.296"
"123","122.8256","-0.348"
"124","123.7860","-0.641"
"125","124.7945","0.296"
"126","125.7870","0.026"
"127","126.8275","-5.026"
"128","127.7879","1.307"
"129","128.8126","-15.463"
"130","129.7890","-5.815"
"131","130.7813","-1.381"
"132","131.7735","-0.415"
"133","132.7818","1.274"
"134","133.7901","1.044"
"135","134.7823","-4.119"
"136","135.7901","-8.070"
"137","136.7668","1.089"
"138","137.8069","-3.126"
"139","138.7830","-3.893"
"140","139.8071","4.000"
"141","140.7675","-2.722"
"142","141.7757","-12.959"
"143","142.7838","-0.726"
"144","143.7919","0.370"
"145","144.7520","0.200"
"146","145.7921","0.726"
"147","146.7522","-0.393"
"148","147.7762","-0.978"
"149","148.7523","0.919"
"150","149.7604","-1.319"
"151","150.7526","-0.596"
"152","151.7608","-4.393"
"153","152.7529","-4.256"
"154","153.7609","-0.059"
"155","154.7693","-0.593"
"156","155.7454","1.278"
"157","156.7696","0.456"
"158","157.7458","0.096"
"159","158.7379","0.207"
"160","159.7303","0.133"
"161","160.7366","-0.130"
"162","161.7421","0.593"
"163","162.7638","0.174"
"164","163.7052","-1.278"
"165","164.7429","-0.152"
"166","165.7007","0.248"
"167","166.7222","-0.015"
"168","167.6957","-0.233"
"169","168.7015","-0.289"
"170","169.6910","0.111"
"171","170.6985","-0.004"
"172","171.6911","-0.456"
"173","172.6997","0.719"
"174","173.6921","0.107"
