"Viewer version","2.84"
"Measure start time","Thursday, July 12, 2018 12:54:11 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-0430            "
"Serial Number","172600446"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","270"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"117","116.8856","0.056"
"118","117.8936","0.381"
"119","118.8857","-0.430"
"120","119.8777","0.637"
"121","120.8858","-0.433"
"122","121.8777","-0.070"
"123","122.8698","-0.607"
"124","123.8618","-0.011"
"125","124.8540","4.044"
"126","125.8620","-3.922"
"127","126.8697","3.307"
"128","127.8781","-1.274"
"129","128.8862","0.063"
"130","129.8622","0.637"
"131","130.8679","-1.304"
"132","131.8420","1.011"
"133","132.8632","1.867"
"134","133.8533","-4.085"
"135","134.8428","2.822"
"136","135.8485","-0.674"
"137","136.8381","-0.044"
"138","137.8277","0.289"
"139","138.8492","0.974"
"140","139.8069","-0.504"
"141","140.8467","-2.626"
"142","141.8232","0.533"
"143","142.8477","-0.352"
"144","143.8238","0.259"
"145","144.8326","0.326"
"146","145.8250","0.211"
"147","146.8336","-0.152"
"148","147.8101","-0.011"
"149","148.8186","-0.330"
"150","149.8426","-6.319"
"151","150.8193","-0.770"
"152","151.8275","0.130"
"153","152.8196","0.037"
"154","153.8276","-0.163"
"155","154.8202","0.107"
"156","155.8443","-0.093"
"157","156.8207","0.022"
"158","157.8289","0.104"
"159","158.8051","-0.044"
"160","159.8133","-0.059"
"161","160.8055","-0.037"
"162","161.7978","0.326"
"163","162.8056","-0.081"
"164","163.8303","-0.015"
"165","164.8061","0.070"
"166","165.7988","-0.370"
"167","166.7749","-0.067"
"168","167.7991","-0.107"
"169","168.8070","0.085"
"170","169.7836","-0.056"
"171","170.8074","0.033"
"172","171.7838","-0.148"
"173","172.8235","-0.352"
"174","173.7998","-0.304"
"175","174.8076","0.026"
"176","175.7835","0.830"
"177","176.7758","-0.996"
"178","177.7839","-0.537"
"179","178.7761","-0.270"
"180","179.7682","0.167"
"181","180.8068","0.119"
"182","181.7645","0.104"
"183","182.7861","-1.589"
"184","183.7596","-0.100"
"185","184.7657","0.581"
"186","185.7554","0.374"
"187","186.7612","-0.185"
"188","187.7347","-0.052"
"189","188.7409","-0.033"
"190","189.7622","0.026"
"191","190.7378","0.070"
"192","191.7462","-0.263"
"193","192.7386","-0.030"
"194","193.7306","-0.211"
"195","194.7232","-0.359"
"196","195.7634","0.441"
"197","196.7240","0.407"
"198","197.7643","-0.426"
"224","223.7059","12.381"
"225","224.7301","11.296"
"226","225.6742","11.770"
"227","226.6824","11.122"
"228","227.6902","12.211"
"229","228.6986","11.707"
"230","229.6904","11.526"
"231","230.6986","11.904"
"232","231.7070","13.681"
"233","232.6831","10.559"
"234","233.6908","11.441"
"235","234.6672","11.874"
"236","235.6909","11.037"
"237","236.6673","11.844"
"238","237.6753","11.596"
"239","238.6671","11.733"
"240","239.6913","11.341"
"241","240.6666","11.274"
"242","241.6722","11.644"
"243","242.6620","11.507"
"244","243.6676","11.578"
"245","244.6414","11.533"
"246","245.6470","11.893"
"247","246.6366","11.259"
"248","247.6423","11.915"
"249","248.6479","11.700"
"250","249.6535","11.459"
"251","250.6442","11.441"
"252","251.6208","11.552"
"253","252.6292","11.730"
"254","253.6379","11.663"
"255","254.6298","11.585"
"256","255.6387","11.504"
"257","256.6629","11.348"
"258","257.6238","11.285"
"259","258.6642","12.248"
"260","259.6088","11.370"
"261","260.6331","11.841"
"262","261.6254","10.881"
"263","262.6337","11.785"
"264","263.6261","11.326"
"265","264.6183","11.626"
"266","265.6262","11.322"
"267","266.6347","11.448"
"268","267.6267","11.489"
"269","268.6034","11.181"
"270","269.5956","11.170"
"271","270.6199","13.319"
"272","271.6277","10.741"
"273","272.6043","11.744"
"274","273.6286","12.448"
"275","274.6047","11.385"
"276","275.6445","9.211"
"277","276.5889","13.326"
"278","277.5971","10.915"
"279","278.6053","12.370"
"280","279.6135","9.963"
"281","280.6055","11.419"
"282","281.5975","11.230"
"283","282.6056","12.696"
"284","283.6135","14.519"
"285","284.6056","11.778"
"286","285.5976","11.456"
"287","286.5891","11.630"
"288","287.5975","11.489"
"289","288.5735","10.519"
"290","289.5816","11.585"
"291","290.5732","11.333"
"292","291.5948","11.356"
"293","292.6002","11.296"
"294","293.5744","10.300"
"295","294.5799","11.481"
"296","295.5538","11.093"
"389","388.4504","-0.693"
"390","389.4101","0.389"
"391","390.4188","-0.374"
"392","391.4108","0.063"
"393","392.4188","0.930"
"394","393.4109","0.041"
"395","394.4190","-1.063"
"396","395.4427","-0.233"
"397","396.4191","-0.726"
"398","397.4271","-1.285"
"399","398.4032","0.570"
"400","399.4430","-0.196"
"401","400.4034","-0.030"
"402","401.4258","-0.004"
"403","402.3835","0.159"
"404","403.4050","0.007"
"405","404.3787","3.004"
"406","405.3843","0.322"
"407","406.3897","-0.293"
"408","407.3796","-0.185"
"409","408.3853","0.211"
"410","409.4067","-0.541"
"411","410.3484","-0.063"
"412","411.3557","0.648"
