site,date,genus,species,species_id,individual,water_potential,stipe_length_cm,stipe_length_mm,temp,pressure_head_height_cm,reservoir_height_cm,file_name,back_first_initial,back_first_final,flow_initial,flow_final,back_second_initial,back_second_final
las_cruces,7/8/2018,diplazium,prominulum,dippro,1,0,10,100,22.3,66.6,4.3,,165,305,335,450,800,870
las_cruces,7/8/2018,diplazium,prominulum,dippro,1,0.5,9.8,98,24.1,66.3,4.2,,50,120,200,255,675,750
las_cruces,7/8/2018,diplazium,prominulum,dippro,1,1,9.6,96,25,66,4.3,,90,150,220,280,400,460
las_cruces,7/8/2018,diplazium,prominulum,dippro,1,1.5,9.4,94,25.2,65.8,4.3,,30,90,280,340,580,640
las_cruces,7/8/2018,diplazium,prominulum,dippro,2,0,10,100,23.4,66.5,4.3,,90,150,490,550,850,910
las_cruces,7/8/2018,diplazium,prominulum,dippro,2,0.25,9.8,98,24.6,66.1,4.2,,170,230,330,390,640,700
las_cruces,7/8/2018,diplazium,prominulum,dippro,2,0.5,9.6,96,24.9,65.9,4.3,,40,100,280,340,600,660
las_cruces,7/8/2018,diplazium,prominulum,dippro,2,0.75,9.4,94,25.4,65.6,4.3,,120,180,360,420,750,810
las_cruces,7/8/2018,diplazium,prominulum,dippro,2,1,9.2,92,26.1,65.4,4.2,,60,120,280,360,460,520
las_cruces,7/8/2018,diplazium,prominulum,dippro,2,1.25,9,90,26.2,65.1,4.2,,40,100,200,260,360,420
las_cruces,7/8/2018,diplazium,prominulum,dippro,2,1.5,8.8,88,26,64.8,4.3,,90,150,260,340,500,580
las_cruces,7/8/2018,diplazium,prominulum,dippro,4,0,10,100,26.9,64.5,4.2,,140,220,360,430,800,900
las_cruces,7/8/2018,diplazium,prominulum,dippro,4,0.5,9.8,98,27,64.2,4.1,,40,120,220,300,400,500
las_cruces,7/8/2018,diplazium,prominulum,dippro,4,1,9.6,96,26.9,64,4,,30,120,180,280,480,580
las_cruces,7/8/2018,diplazium,prominulum,dippro,4,1.5,9.4,94,26.2,63.7,4.1,,30,100,250,310,660,760
las_cruces,7/8/2018,diplazium,prominulum,dippro,5,0,10,100,27,64.3,4,,80,160,360,440,520,580
las_cruces,7/8/2018,diplazium,prominulum,dippro,5,0.5,9.8,98,27,64,4,,180,280,420,500,580,670
las_cruces,7/8/2018,diplazium,prominulum,dippro,5,1,9.6,96,26.9,64,4,,80,140,180,260,440,520
las_cruces,7/8/2018,diplazium,prominulum,dippro,5,1.5,9.4,94,25.2,63.5,4.1,,60,120,260,340,480,540
las_cruces,7/8/2018,diplazium,prominulum,dippro,6,0,10,100,23.1,69.5,4.2,,40,100,150,210,440,500
las_cruces,7/8/2018,diplazium,prominulum,dippro,6,0.5,9.8,98,23.2,69.1,4.2,,150,210,300,360,535,595
las_cruces,7/8/2018,diplazium,prominulum,dippro,6,1,9.6,96,24.1,68.7,4.2,,160,220,400,460,660,720
las_cruces,7/8/2018,diplazium,prominulum,dippro,6,1.5,9.4,94,24.1,68.3,4.3,,80,140,190,250,480,540
las_cruces,7/8/2018,diplazium,prominulum,dippro,7,0,10,100,24.5,63.2,4,,60,130,160,240,400,520
las_cruces,7/8/2018,diplazium,prominulum,dippro,7,0.5,9.8,98,24.5,63,4.2,,80,140,180,240,340,400
las_cruces,7/8/2018,diplazium,prominulum,dippro,7,1,9.6,96,24,62.6,4.1,,40,100,200,260,390,450
