"Viewer version","2.84"
"Measure start time","Monday, January 14, 2019 3:49:34 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"351","351.0533","-0.310"
"352","352.0439","0.103"
"353","353.0507","1.379"
"354","354.0258","1.690"
"355","355.0487","1.586"
"356","356.0394","1.345"
"357","357.0144","0.103"
"358","358.0371","0.034"
"359","359.0444","-0.586"
"360","360.0350","-0.138"
"361","361.0422","-0.552"
"362","362.0335","-0.655"
"363","363.0248","-0.310"
"364","364.0317","1.586"
"365","365.0391","0.552"
"366","366.0302","0.448"
"367","367.0379","-0.172"
"368","368.0289","0.207"
"369","369.0365","0.690"
"370","370.0440","0.483"
"371","371.0508","-0.172"
"372","372.0413","0.931"
"373","373.0319","0.207"
"374","374.0223","0.000"
"375","375.0444","0.379"
"376","376.0508","0.069"
"377","377.0091","1.586"
"378","378.0153","-0.207"
"379","379.0534","0.172"
"380","380.0117","1.138"
"381","381.0499","1.448"
"382","382.0242","0.690"
"383","383.0146","2.172"
"384","384.0528","1.069"
"385","385.0272","0.552"
"386","386.0495","0.690"
"387","387.0077","-0.034"
"388","387.9981","-0.379"
"389","389.0200","-0.103"
"390","390.0264","-0.586"
"391","391.0170","0.966"
"392","392.0085","1.586"
"393","393.0315","0.897"
"394","394.0389","0.655"
"395","395.0146","-0.414"
"396","396.0220","0.034"
"397","396.9976","0.241"
"398","398.0051","-0.172"
"399","399.0126","0.448"
"400","400.0201","1.138"
"401","401.0114","0.759"
"402","402.0349","0.724"
"403","403.0107","0.172"
"404","404.0343","-0.724"
"405","404.9937","-0.690"
"406","406.0016","-0.655"
"407","407.0093","-0.655"
"408","408.0490","0.000"
"409","409.0089","-0.414"
"410","410.0007","-0.207"
"411","410.9924","-0.241"
"412","412.0166","-0.379"
"413","413.0087","0.034"
"414","414.0167","0.172"
"415","415.0246","0.414"
"416","416.0324","0.897"
"417","417.0243","0.276"
"453","453.0163","1.069"
"454","454.0065","-0.034"
"455","455.0289","0.621"
"456","456.0195","-0.517"
"457","457.0098","-0.966"
"458","458.0162","0.034"
"459","458.9908","-0.069"
