"Viewer version","2.84"
"Measure start time","Thursday, January 17, 2019 8:52:40 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"262","262.0867","-0.655"
"263","263.0788","-0.034"
"264","264.0710","-0.276"
"265","265.0636","-1.517"
"266","266.0561","0.483"
"267","267.0818","-2.345"
"268","268.0567","-2.379"
"269","269.0650","-0.069"
"270","270.0579","-2.241"
"271","271.0796","0.276"
"272","272.0538","0.552"
"273","273.0756","0.172"
"274","274.0493","11.517"
"275","275.0556","-1.034"
"276","276.0616","1.034"
"277","277.0676","1.828"
"278","278.0735","0.931"
"279","279.0475","0.276"
"280","280.0852","0.172"
"281","281.0919","0.414"
"282","282.0505","1.586"
"283","283.0572","0.586"
"284","284.0477","0.552"
"285","285.0545","-0.241"
"286","286.0611","0.241"
"287","287.0519","0.034"
"288","288.0581","0.172"
"289","289.0809","-0.207"
"290","290.0397","0.345"
"291","291.0482","0.621"
"292","292.0888","-0.172"
"293","293.0491","0.069"
"294","294.0417","-0.103"
"295","295.0666","-0.241"
"296","296.0430","-1.172"
"297","297.0519","0.172"
"298","298.0603","0.310"
"299","299.0692","-0.379"
"300","300.0619","-0.103"
"301","301.0526","-0.172"
"302","302.0593","0.448"
"303","303.0665","1.241"
"304","304.0733","-0.379"
"305","305.0482","-0.241"
"306","306.0708","-0.724"
"307","307.0781","0.034"
"308","308.0847","3.207"
"309","309.0915","-0.655"
"310","310.0665","-0.517"
"311","311.0565","-0.138"
"312","312.0782","-0.034"
"313","313.0678","0.345"
"314","314.0738","0.241"
"315","315.0796","-0.517"
"316","316.0375","-0.793"
"317","317.0429","-0.345"
"318","318.0808","-1.069"
"319","319.0546","-1.034"
"320","320.0442","-0.241"
"321","321.0511","-1.793"
"322","322.0425","-1.172"
"323","323.0337","0.207"
"324","324.0412","-0.552"
"325","325.0485","0.966"
"326","326.0399","1.379"
"327","327.0790","2.103"
"328","328.0859","1.276"
"329","329.0454","2.034"
"330","330.0365","0.931"
"331","331.0450","1.276"
"332","332.0532","0.897"
"333","333.0455","0.897"
"334","334.0698","1.138"
"335","335.0776","1.034"
"336","336.0859","1.483"
"337","337.0625","1.310"
"338","338.0547","1.207"
"339","339.0469","0.586"
"340","340.0551","0.724"
"341","341.0614","0.897"
"342","342.0524","0.586"
"343","343.0748","0.241"
"344","344.0493","0.069"
"345","345.0718","-0.207"
"346","346.0624","0.000"
"347","347.0688","-0.138"
"348","348.0434","0.207"
"349","349.0497","-0.138"
"350","350.0563","0.207"
"351","351.0632","0.517"
"352","352.0701","0.241"
"353","353.0769","0.690"
"354","354.0839","1.138"
"355","355.0908","0.138"
"356","356.0498","0.034"
"357","357.0567","0.448"
"389","389.0667","0.310"
"390","390.0746","1.483"
"391","391.0810","-0.034"
"392","392.0555","0.793"
"393","393.0619","0.552"
"394","394.0362","0.690"
"395","395.0422","0.379"
"396","396.0328","0.379"
"397","397.0387","0.862"
"398","398.0292","1.000"
"399","399.0355","1.000"
"400","400.0418","0.138"
"401","401.0664","1.103"
"402","402.0436","0.241"
"403","403.0529","1.069"
"404","404.0462","0.483"
"405","405.0556","0.207"
"406","406.0648","0.586"
"407","407.0580","1.034"
"408","408.0674","0.069"
"409","409.0606","0.414"
"410","410.0698","0.517"
"411","411.0444","1.414"
"412","412.0495","1.103"
"413","413.0544","1.690"
"414","414.0758","0.276"
"415","415.0649","1.759"
"416","416.0385","0.828"
"417","417.0438","0.586"
"418","418.0490","1.103"
"419","419.0540","1.034"
"420","420.0592","0.724"
"421","421.0342","0.966"
"422","422.0734","1.207"
"423","423.0812","0.690"
"424","424.0406","0.586"
"425","425.0477","0.172"
"426","426.0556","0.793"
"427","427.0470","-0.103"
"428","428.0387","0.759"
"429","429.0623","1.069"
"430","430.0534","1.379"
"431","431.0616","1.276"
"432","432.0534","1.897"
"433","433.0618","1.103"
"434","434.0377","0.103"
"435","435.0457","1.103"
"436","436.0540","0.552"
"437","437.0616","0.483"
"438","438.0541","0.586"
"439","439.0457","0.448"
"440","440.0543","0.724"
"441","441.0771","0.276"
"442","442.0843","1.103"
"443","443.0589","-1.897"
"444","444.0657","0.103"
"445","445.0887","0.724"
"446","446.0957","1.517"
"447","447.0549","0.276"
"448","448.0456","1.172"
"449","449.0688","0.241"
"450","450.0597","0.414"
"451","451.0657","1.483"
"452","452.0713","1.000"
"453","453.0451","-0.552"
"454","454.0669","0.379"
"455","455.0406","0.172"
"456","456.0460","0.931"
"457","457.0358","1.172"
"458","458.0576","0.862"
"459","459.0471","0.759"
"460","460.0531","0.241"
"461","461.0438","0.241"
"462","462.0513","0.724"
"477","477.0663","-0.966"
"478","478.0736","-0.034"
"479","479.0330","-0.276"
"480","480.0568","-1.000"
"481","481.0641","-1.310"
"482","482.0391","0.069"
"483","483.0467","-0.172"
"484","484.0542","-0.276"
"485","485.0456","-0.862"
"486","486.0525","-0.759"
"487","487.0603","0.448"
"488","488.0677","-0.172"
"489","489.0746","0.276"
"490","490.0503","-0.138"
"491","491.0731","-0.379"
"492","492.0638","0.241"
"493","493.0538","1.276"
"494","494.0603","-0.034"
"495","495.0351","-0.069"
"496","496.0578","-0.138"
"497","497.0642","-0.207"
"498","498.0546","-0.069"
"499","499.0452","0.034"
"500","500.0513","0.138"
"501","501.0428","-0.138"
"502","502.0507","-0.172"
"503","503.0746","-0.724"
"504","504.0501","0.034"
"505","505.0583","-0.414"
"506","506.0662","0.448"
"507","507.0581","0.379"
"508","508.0661","0.483"
"509","509.0898","0.379"
"510","510.0659","-0.690"
"511","511.0410","0.000"
"512","512.0476","-0.655"
