"Viewer version","2.84"
"Measure start time","Thursday, January 17, 2019 12:26:15 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"236","236.0591","-0.966"
"237","237.0506","0.034"
"238","238.0587","-0.207"
"239","239.0505","-0.034"
"240","240.0744","-0.690"
"241","241.0818","-0.966"
"242","242.0568","-2.069"
"243","243.0477","-1.241"
"244","244.0869","-1.586"
"245","245.0455","0.379"
"246","246.0525","1.345"
"247","247.0595","-1.448"
"248","248.0504","0.621"
"249","249.0417","-0.276"
"250","250.0645","-0.207"
"251","251.0562","1.034"
"252","252.0640","1.172"
"253","253.0558","0.931"
"254","254.0799","-0.310"
"255","255.0714","0.172"
"256","256.0474","-0.448"
"257","257.0553","-0.345"
"258","258.0634","0.448"
"259","259.0871","-0.414"
"260","260.0950","-1.103"
"261","261.0715","1.276"
"262","262.0481","-0.621"
"263","263.0566","0.724"
"264","264.0646","1.172"
"265","265.0574","1.310"
"266","266.0819","0.793"
"267","267.0580","0.828"
"268","268.0667","-1.724"
"269","269.0593","-0.931"
"270","270.0677","0.138"
"271","271.0756","-0.828"
"272","272.0833","-1.483"
"273","273.0908","-0.483"
"274","274.0985","-0.966"
"275","275.0900","-0.345"
"276","276.0656","0.414"
"277","277.0731","0.310"
"278","278.0811","-0.103"
"279","279.0567","-0.517"
"280","280.0643","-0.483"
"281","281.0871","-0.310"
"282","282.0934","0.000"
"283","283.0676","-0.448"
"284","284.0582","-0.621"
"285","285.0482","0.241"
"286","286.0548","-0.103"
"287","287.0610","-0.448"
"288","288.0674","0.414"
"289","289.0737","-0.690"
"290","290.0477","-0.034"
"291","291.0555","1.379"
"292","292.0641","-0.241"
"293","293.0567","1.690"
"294","294.0652","0.931"
"295","295.0578","0.862"
"296","296.0664","1.172"
"297","297.0749","0.345"
"298","298.0835","0.690"
"299","299.0920","1.621"
"300","300.0685","0.414"
"301","301.0606","0.517"
"302","302.0684","0.207"
"303","303.0601","0.069"
"304","304.0520","0.310"
"305","305.0598","0.034"
"306","306.0676","-0.172"
"307","307.0752","0.759"
"308","308.0671","1.759"
"309","309.0907","-0.586"
"310","310.0506","-0.690"
"311","311.0580","1.379"
"312","312.0813","-0.862"
"344","344.0657","3.172"
"345","345.0709","1.897"
"346","346.0765","1.207"
"347","347.0660","1.621"
"348","348.0718","2.276"
"349","349.0452","1.793"
"350","350.0826","2.414"
"351","351.0417","3.172"
"352","352.0820","4.276"
"353","353.0744","1.345"
"354","354.0503","1.828"
"355","355.0908","2.379"
"356","356.0512","1.448"
"357","357.0594","1.724"
"358","358.0517","3.931"
"359","359.0437","1.172"
"360","360.0843","2.310"
"361","361.0443","2.000"
"362","362.0689","2.379"
"363","363.0609","2.966"
"364","364.0695","2.207"
"365","365.0614","1.172"
"366","366.0540","2.310"
"367","367.0780","6.793"
"368","368.0864","1.759"
"369","369.0629","2.586"
"370","370.0553","2.207"
"371","371.0792","2.621"
"372","372.0715","1.966"
"373","373.0633","1.931"
"374","374.0714","2.103"
"375","375.0634","2.759"
"376","376.1030","3.379"
"377","377.0793","71.103"
"378","378.0710","2.034"
"379","379.0633","2.310"
"380","380.0711","1.103"
"381","381.0786","1.448"
"382","382.0852","1.483"
"383","383.0593","0.897"
"384","384.0658","3.552"
"385","385.0565","2.310"
"386","386.0790","1.000"
"387","387.0855","1.828"
"388","388.0920","1.759"
"389","389.0825","4.966"
"390","390.0891","1.034"
"391","391.0800","0.621"
"392","392.0729","3.138"
"393","393.0491","1.069"
"394","394.0900","1.793"
"395","395.0508","1.069"
"396","396.0914","1.172"
"397","397.0997","1.000"
"398","398.0605","1.897"
"399","399.0532","2.759"
"400","400.0616","2.000"
"401","401.0694","2.448"
"402","402.0754","2.448"
