"Viewer version","2.84"
"Measure start time","Tuesday, January 15, 2019 8:58:01 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"378","377.9641","0.517"
"379","378.9547","1.241"
"380","379.9610","3.414"
"381","380.9678","2.172"
"382","381.9420","0.897"
"383","382.9482","1.931"
"384","383.9384","1.379"
"385","384.9608","1.345"
"386","385.9511","0.138"
"387","386.9413","0.517"
"388","387.9638","-0.724"
"389","388.9227","-0.517"
"390","389.9290","0.276"
"391","390.9687","0.034"
"392","391.9456","1.276"
"393","392.9387","0.897"
"394","393.9478","2.586"
"395","394.9404","3.276"
"396","395.9495","2.310"
"397","396.9746","1.862"
"398","397.9677","1.379"
"399","398.9287","1.897"
"400","399.9376","0.172"
"401","400.9456","0.276"
"402","401.9512","0.483"
"403","402.9567","0.552"
"404","403.9464","1.586"
"405","404.9678","0.310"
"406","405.9417","-0.241"
"407","406.9152","-0.379"
"408","407.9210","-0.897"
"409","408.9265","-0.793"
"410","409.9320","-0.793"
"411","410.9388","-1.448"
"412","411.9472","0.517"
"413","412.9400","-0.586"
"414","413.9488","0.724"
"415","414.9255","0.310"
"416","415.9499","-0.172"
"417","416.9590","1.207"
"418","417.9197","1.000"
"419","418.9280","1.207"
"420","419.9529","0.897"
"421","420.9289","0.655"
"422","421.9672","0.931"
"423","422.9259","0.897"
"424","423.9332","0.483"
"425","424.9240","0.897"
"426","425.9628","0.655"
"427","426.9217","1.241"
"428","427.9287","1.724"
"429","428.9352","1.138"
"430","429.9424","1.103"
"431","430.9330","0.310"
"432","431.9401","-0.345"
"433","432.9470","0.034"
"434","433.9376","0.414"
"435","434.9285","-0.138"
"436","435.9349","0.379"
"437","436.9419","0.586"
"438","437.9487","0.310"
"439","438.9393","0.655"
"440","439.9462","-0.310"
"441","440.9369","-0.276"
"442","441.9122","0.172"
"443","442.9347","-0.172"
"444","443.9258","0.000"
"445","444.9165","0.207"
"446","445.9232","-0.207"
"447","446.9460","-0.345"
"448","447.9366","-0.138"
"449","448.9432","-0.448"
"450","449.9024","0.138"
"485","484.9208","21.448"
"486","485.9116","21.310"
"487","486.9316","20.103"
"488","487.8888","20.931"
"489","488.8943","20.621"
"490","489.8830","21.069"
"491","490.9207","20.690"
"492","491.8970","21.862"
"493","492.8896","22.345"
"494","493.8817","21.586"
"495","494.8899","21.793"
"496","495.8984","22.103"
"497","496.9064","22.828"
"498","497.8984","22.862"
"499","498.8911","22.379"
"500","499.8992","22.379"
"501","500.8922","22.897"
"502","501.8817","22.034"
"503","502.8882","21.793"
"504","503.9112","21.759"
"505","504.9013","22.414"
"506","505.8765","21.966"
"507","506.8833","21.552"
"508","507.8900","20.966"
"509","508.8807","21.414"
"510","509.8874","22.862"
"511","510.8942","22.172"
"512","511.8858","23.517"
"513","512.8934","22.552"
"514","513.9008","21.552"
"515","514.8766","22.483"
"516","515.8681","22.586"
"517","516.9075","22.310"
"518","517.8671","22.034"
"519","518.9228","21.552"
"520","519.8825","21.931"
"521","520.8898","22.897"
"522","521.8975","22.690"
"523","522.9048","23.138"
"524","523.8643","22.793"
"525","524.9034","21.966"
"526","525.8627","22.276"
"527","526.8856","21.517"
"528","527.8931","22.138"
"529","528.9163","21.241"
"530","529.8758","21.552"
"531","530.8831","22.103"
"532","531.8908","21.862"
"533","532.8670","22.034"
"534","533.8909","22.483"
"535","534.9149","22.069"
"536","535.8750","22.172"
"537","536.9148","22.621"
"538","537.8744","22.621"
"539","538.8823","21.862"
"540","539.8901","21.793"
"541","540.8823","22.552"
"542","541.8733","23.241"
"543","542.8964","22.310"
"544","543.8716","20.828"
"545","544.8789","21.000"
"546","545.9020","21.345"
