"Viewer version","2.84"
"Measure start time","Tuesday, January 15, 2019 3:16:30 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"239","238.9771","-0.517"
"240","239.9697","0.759"
"241","240.9598","-0.862"
"242","241.9497","-0.172"
"243","242.9555","0.345"
"244","243.9453","0.172"
"245","244.9525","-0.483"
"246","245.9568","0.759"
"247","246.9629","0.655"
"248","247.9526","0.552"
"249","248.9741","0.897"
"250","249.9320","0.310"
"251","250.9403","-0.345"
"252","251.9646","0.276"
"253","252.9728","-0.483"
"254","253.9493","-0.207"
"255","254.9261","0.172"
"256","255.9343","-0.034"
"257","256.9270","-0.793"
"258","257.9356","0.138"
"259","258.9440","-0.414"
"260","259.9525","-0.897"
"261","260.9287","-0.034"
"262","261.9530","0.000"
"263","262.9448","-0.483"
"264","263.9532","-0.828"
"265","264.9455","0.276"
"266","265.9538","-0.621"
"267","266.9618","-0.069"
"268","267.9699","0.172"
"269","268.9303","-1.207"
"270","269.9705","-0.862"
"271","270.9781","-0.172"
"272","271.9540","-1.103"
"273","272.9454","0.241"
"274","273.9374","0.379"
"275","274.9285","-0.931"
"276","275.9686","-1.103"
"277","276.9441","-0.034"
"278","277.9519","-1.172"
"279","278.9276","-0.586"
"280","279.9348","-0.138"
"281","280.9418","-0.517"
"282","281.9478","0.828"
"283","282.9379","0.276"
"284","283.9441","-0.793"
"285","284.9182","-0.690"
"286","285.9250","0.207"
"287","286.9629","-0.379"
"288","287.9208","0.690"
"289","288.9273","0.379"
"290","289.9176","-0.448"
"291","290.9256","-0.483"
"292","291.9023","0.379"
"293","292.9113","-0.276"
