"Viewer version","2.84"
"Measure start time","Saturday, January 19, 2019 6:45:16 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"235","234.9929","0.345"
"236","236.0006","-0.414"
"237","237.0087","0.966"
"238","238.0012","1.897"
"239","238.9932","-0.966"
"240","240.0171","0.897"
"241","241.0245","1.034"
"242","242.0160","0.586"
"243","243.0236","0.966"
"244","243.9989","0.793"
"245","245.0067","-0.931"
"246","246.0141","-0.897"
"247","247.0215","1.207"
"248","247.9970","0.690"
"249","249.0043","0.310"
"250","250.0118","2.793"
"251","251.0182","2.897"
"252","252.0247","0.000"
"253","252.9995","2.414"
"254","253.9900","2.655"
"255","254.9964","1.172"
"256","256.0028","0.552"
"257","256.9933","0.621"
"258","257.9999","0.034"
"259","258.9903","-0.483"
"260","260.0125","1.000"
"261","261.0204","0.276"
"262","261.9962","-0.103"
"263","263.0039","0.276"
"264","263.9960","0.828"
"265","265.0199","0.517"
"266","265.9954","-1.172"
"267","267.0195","1.138"
"268","268.0273","1.241"
"269","269.0033","-0.483"
"270","270.0270","1.586"
"271","271.0172","1.207"
"272","271.9909","-0.310"
"273","273.0287","-0.759"
"274","274.0343","1.828"
"275","275.0082","1.034"
"276","275.9819","-0.345"
"277","277.0036","0.034"
"278","277.9935","0.103"
"279","279.0150","-0.103"
"280","279.9729","0.241"
"281","280.9801","0.138"
"282","281.9883","-0.586"
"283","282.9963","0.034"
"284","284.0045","-0.310"
"285","284.9804","0.276"
"286","285.9885","-1.069"
"287","286.9964","0.207"
"288","288.0044","-0.034"
"289","289.0124","0.483"
"290","290.0044","0.138"
"291","291.0115","0.828"
"292","292.0180","1.172"
"293","292.9924","1.828"
"294","293.9990","-0.103"
"295","294.9896","-0.310"
"296","295.9964","-1.241"
"297","297.0031","0.621"
"298","297.9934","-0.345"
"299","299.0002","-0.828"
"300","300.0068","-0.310"
"301","300.9966","0.966"
"302","302.0179","-0.552"
"303","302.9918","-0.241"
"304","303.9814","-1.310"
"305","304.9711","0.103"
"306","306.0089","-0.828"
"307","306.9664","0.069"
"308","307.9561","1.276"
"309","308.9780","-0.138"
"310","309.9835","-1.483"
"311","310.9587","1.172"
"312","311.9670","0.241"
"313","312.9753","0.241"
"314","313.9834","-0.310"
"342","341.9847","20.241"
