"Viewer version","2.84"
"Measure start time","Saturday, January 19, 2019 1:43:06 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"309","308.9314","0.586"
"310","309.9702","1.207"
"311","310.9301","0.724"
"312","311.9385","0.483"
"313","312.9314","0.862"
"314","313.9400","0.414"
"315","314.9486","0.379"
"316","315.9571","1.552"
"317","316.9656","1.207"
"318","317.9580","0.069"
"319","318.9506","1.034"
"320","319.9432","1.345"
"321","320.9347","0.379"
"322","321.9404","-0.241"
"323","322.9459","1.138"
"324","323.9358","0.310"
"325","324.9256","0.724"
"326","325.9469","0.586"
"327","326.9208","0.414"
"328","327.9105","0.034"
"329","328.9161","1.793"
"330","329.9215","0.103"
"331","330.9284","0.345"
"332","331.9214","0.552"
"333","332.9140","0.138"
"334","333.9229","-0.414"
"335","334.9479","0.931"
"336","335.9408","0.931"
"337","336.9175","0.103"
"338","337.9584","1.103"
"339","338.9193","0.759"
"340","339.9281","0.310"
"341","340.9365","0.276"
"342","341.9279","0.828"
"343","342.9355","0.586"
"344","343.9114","-0.483"
"345","344.9506","0.069"
"346","345.9263","1.000"
"347","346.9501","0.241"
"348","347.9095","0.621"
"349","348.9333","0.586"
"350","349.9409","0.655"
"351","350.9162","0.103"
"352","351.9233","0.241"
"353","352.9303","1.000"
"354","353.9213","0.138"
"355","354.9283","0.069"
"356","355.9354","1.034"
"357","356.9584","0.448"
"358","357.9494","0.276"
"359","358.9564","0.655"
"360","359.9313","0.448"
"361","360.9067","-0.276"
"362","361.9148","0.379"
"363","362.9387","2.310"
"364","363.9151","0.448"
"365","364.9228","0.207"
"366","365.9473","0.690"
"367","366.9233","-0.138"
"368","367.9315","-0.379"
"369","368.9394","-0.138"
"370","369.9317","0.483"
"371","370.9395","-0.103"
"372","371.9466","-0.034"
"373","372.9536","-0.448"
"374","373.9126","-0.759"
"375","374.9197","-0.862"
"376","375.9268","0.000"
"377","376.9179","0.621"
"378","377.9410","-0.034"
"379","378.9157","0.138"
"380","379.9229","0.069"
"381","380.9140","0.621"
"382","381.8889","0.034"
"383","382.8955","1.034"
"433","432.9112","0.000"
"434","433.8862","0.724"
"435","434.9089","1.828"
"436","435.9000","0.207"
"437","436.9072","0.517"
"438","437.9145","1.310"
"439","438.8892","1.621"
"440","439.9123","0.000"
"441","440.9196","0.172"
"442","441.8943","2.207"
"443","442.8850","1.690"
"444","443.8914","0.414"
"445","444.9143","1.172"
"446","445.9051","0.517"
"447","446.8958","1.517"
"448","447.8866","0.759"
"449","448.9093","1.207"
"450","449.8997","1.414"
"451","450.9065","0.724"
"452","451.8831","0.310"
"453","452.8759","0.759"
"454","453.8845","1.034"
"455","454.8930","0.276"
"456","455.9014","1.034"
"457","456.8941","0.552"
"458","457.9031","0.483"
"459","458.9117","1.103"
"460","459.8880","1.000"
"461","460.8967","0.793"
"462","461.8871","0.276"
"463","462.8939","1.069"
"464","463.8845","1.069"
"465","464.8911","1.138"
"466","465.8815","-0.103"
"467","466.8883","1.448"
"468","467.8789","1.345"
"469","468.9013","1.586"
"470","469.8921","1.552"
"471","470.8984","1.483"
"472","471.8573","1.069"
"473","472.8643","0.828"
"474","473.9027","1.586"
"475","474.8776","1.655"
"476","475.8683","0.862"
"477","476.8589","0.966"
"478","477.8497","1.172"
"479","478.8563","0.345"
"480","479.8634","0.828"
"481","480.8702","1.310"
"482","481.8948","0.793"
"483","482.8554","0.552"
"484","483.8480","0.655"
"485","484.8568","1.310"
"486","485.8815","0.172"
"487","486.8585","0.621"
"488","487.8512","1.000"
"489","488.8918","0.655"
"490","489.8847","1.000"
"491","490.8934","0.828"
"492","491.9001","1.552"
"493","492.8585","1.207"
"494","493.8972","0.724"
"495","494.8718","1.414"
"496","495.8624","1.310"
"497","496.8689","1.448"
"498","497.8595","1.414"
"499","498.8659","0.862"
"500","499.8564","1.276"
"501","500.8473","0.483"
"502","501.8382","0.483"
"503","502.8610","0.828"
"544","543.8531","-1.000"
"545","544.8457","-0.241"
"546","545.8548","-0.241"
"547","546.8472","0.931"
"548","547.8563","0.517"
"549","548.8487","0.862"
"550","549.8577","0.621"
"551","550.8825","0.345"
"552","551.8740","0.862"
"553","552.8655","-0.276"
"554","553.8407","1.103"
"555","554.8638","0.517"
"556","555.8395","0.172"
"557","556.8468","0.724"
"558","557.8537","0.276"
"559","558.8609","0.621"
"560","559.8686","1.448"
"561","560.8277","1.379"
"562","561.8352","0.207"
"563","562.8427","0.138"
"564","563.8501","0.724"
"565","564.8575","0.966"
"566","565.8490","0.103"
"567","566.8562","0.897"
"568","567.8316","0.207"
"569","568.8552","0.759"
"570","569.8304","0.241"
"571","570.8380","1.207"
"572","571.8605","0.552"
"573","572.8346","-0.207"
"574","573.8408","1.138"
"575","574.8469","0.897"
"576","575.8211","0.586"
"577","576.8269","0.103"
"578","577.8492","1.552"
"579","578.8393","1.172"
"580","579.8293","0.276"
"581","580.8356","0.414"
"582","581.8427","0.966"
"583","582.8183","0.724"
"584","583.8103","0.207"
"585","584.8179","0.759"
"586","585.8257","0.724"
"587","586.8174","-0.379"
"588","587.8253","0.138"
"589","588.8171","0.241"
"590","589.8251","0.345"
"591","590.8486","-0.724"
"592","591.8252","0.483"
"593","592.8501","0.517"
"594","593.8109","-0.241"
"595","594.8355","0.172"
"596","595.8281","-0.034"
"597","596.8212","-0.276"
"598","597.8300","0.138"
"599","598.8388","-0.448"
"600","599.8473","0.586"
"601","600.8564","0.172"
"602","601.8156","0.000"
"603","602.8374","0.241"
"604","603.8272","0.345"
"605","604.8332","1.793"
"606","605.8234","1.241"
"607","606.8293","0.586"
"608","607.8192","0.621"
"609","608.8089","0.690"
"610","609.8147","-0.310"
"611","610.8367","0.207"
"612","611.8286","-0.414"
"613","612.8053","0.138"
"614","613.8303","-0.414"
