"Viewer version","2.84"
"Measure start time","Friday, January 18, 2019 6:36:28 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"289","289.0457","2.138"
"290","290.0534","1.966"
"291","291.0452","1.655"
"292","292.0531","1.759"
"293","293.0445","1.897"
"294","294.0522","1.517"
"295","295.0594","0.724"
"296","296.0671","2.138"
"297","297.0590","1.483"
"298","298.0663","1.828"
"299","299.0739","0.586"
"300","300.0494","0.552"
"301","301.0559","0.138"
"302","302.0456","0.586"
"303","303.0673","0.897"
"304","304.0567","0.552"
"305","305.0307","0.931"
"306","306.0525","1.621"
"307","307.0578","0.828"
"308","308.0319","-0.448"
"309","309.0374","-0.345"
"310","310.0274","0.069"
"311","311.0344","0.034"
"312","312.0426","0.310"
"313","313.0507","0.690"
"314","314.0747","1.103"
"315","315.0504","1.310"
"316","316.0586","1.448"
"317","317.0824","2.207"
"318","318.0744","0.310"
"319","319.0345","2.276"
"320","320.0584","0.862"
"321","321.0332","2.448"
"322","322.0394","2.172"
"323","323.0452","1.690"
"324","324.0352","0.276"
"325","325.0571","1.552"
"326","326.0472","0.414"
"327","327.0530","1.103"
"328","328.0429","0.241"
"329","329.0647","0.828"
"330","330.0385","1.379"
"331","331.0458","1.621"
"332","332.0531","0.172"
"333","333.0442","0.931"
"334","334.0515","0.448"
"335","335.0592","0.793"
"336","336.0186","2.069"
"337","337.0257","1.690"
"338","338.0333","0.828"
"339","339.0404","0.690"
"340","340.0481","0.414"
"341","341.0387","0.897"
"342","342.0455","0.724"
"343","343.0526","0.276"
"344","344.0435","-1.207"
"345","345.0344","-0.172"
"346","346.0728","1.172"
"347","347.0318","1.276"
"348","348.0228","1.414"
"349","349.0294","0.448"
