"Viewer version","2.84"
"Measure start time","Friday, January 18, 2019 1:58:35 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"355","355.0524","-0.966"
"356","356.0267","-1.414"
"357","357.0170","2.310"
"358","358.0074","0.966"
"359","359.0301","0.000"
"360","360.0041","-0.276"
"361","361.0279","1.069"
"362","362.0170","0.586"
"363","363.0230","1.000"
"364","364.0135","-0.379"
"365","365.0040","-0.414"
"366","366.0259","0.379"
"367","367.0321","0.414"
"368","368.0383","-0.276"
"369","369.0285","-1.414"
"370","370.0348","-0.172"
"371","370.9939","1.069"
"372","372.0184","0.552"
"373","373.0107","-0.897"
"374","374.0188","0.345"
"375","375.0115","0.793"
"376","376.0198","1.069"
"377","377.0122","0.621"
"378","378.0206","1.345"
"379","379.0448","-0.276"
"380","380.0530","0.586"
"381","381.0281","0.552"
"382","382.0341","-0.103"
"383","383.0243","0.310"
"384","384.0144","0.103"
"385","385.0363","-0.483"
"386","386.0261","0.034"
"387","387.0002","-0.690"
"388","388.0225","0.069"
"389","389.0445","0.103"
"390","390.0189","0.138"
"391","391.0255","0.759"
"392","392.0004","0.241"
"393","393.0393","0.069"
"394","394.0144","-0.724"
"395","395.0213","-0.172"
"396","396.0284","0.655"
"397","397.0035","-0.379"
"398","398.0105","0.448"
"399","399.0176","0.759"
"400","400.0406","0.379"
"401","401.0159","0.621"
"402","402.0396","0.483"
"403","403.0149","-0.379"
"404","404.0067","-0.448"
"405","405.0142","0.207"
"406","406.0217","-0.414"
"407","407.0294","-0.207"
"408","408.0206","-0.759"
"409","408.9965","0.069"
"410","410.0197","0.862"
"411","411.0434","0.483"
"412","412.0026","0.448"
"413","413.0102","0.621"
"414","414.0495","-0.138"
"415","415.0086","1.069"
"416","416.0162","0.172"
"417","417.0238","0.517"
"418","418.0468","0.448"
"419","419.0223","0.517"
"420","420.0137","0.517"
"421","421.0211","0.759"
"422","422.0128","-0.345"
"423","423.0205","0.172"
"424","424.0279","0.138"
"425","425.0512","0.034"
"426","426.0271","0.759"
"427","427.0187","0.690"
"428","428.0263","0.310"
"429","429.0340","-0.241"
"430","430.0096","0.207"
"431","431.0173","-0.379"
"432","432.0243","-0.793"
"433","433.0155","0.069"
"434","434.0390","-1.103"
"435","435.0145","-1.310"
"436","436.0222","-1.103"
"457","457.0085","1.345"
"458","458.0158","-0.241"
"459","459.0234","-0.241"
"460","460.0313","0.172"
"461","461.0381","-0.586"
"462","462.0428","-0.517"
"463","463.0316","-1.103"
"464","464.0202","-2.000"
"465","465.0251","0.379"
"466","466.0140","-0.379"
"467","467.0032","-0.172"
"468","468.0236","0.103"
"469","469.0125","-0.724"
"470","470.0016","-0.448"
"471","470.9918","-0.034"
"472","471.9849","-0.241"
"473","472.9937","0.517"
"474","474.0185","1.103"
"475","475.0113","0.345"
"476","476.0042","0.552"
"477","477.0130","-0.207"
"478","478.0380","0.379"
"479","479.0146","0.241"
"480","480.0239","-0.034"
"481","481.0479","1.138"
"482","482.0058","0.172"
"483","483.0120","0.172"
