"Viewer version","2.84"
"Measure start time","Wednesday, January 16, 2019 7:08:01 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"317","317.0271","1.000"
"318","318.0340","-1.034"
"319","319.0088","-3.655"
"320","320.0154","0.586"
"321","321.0385","1.172"
"322","322.0297","0.517"
"323","323.0052","0.241"
"324","324.0126","1.586"
"325","325.0529","-0.966"
"326","326.0111","0.103"
"327","327.0186","1.862"
"328","328.0265","-0.138"
"329","329.0176","-1.379"
"330","330.0413","-0.069"
"331","331.0168","-0.828"
"332","332.0242","1.172"
"333","333.0152","2.000"
"334","334.0068","-0.448"
"335","335.0141","-0.793"
"336","336.0532","0.931"
"337","337.0605","0.138"
"338","338.0364","0.448"
"339","339.0278","1.759"
"340","340.0353","-0.414"
"341","341.0104","-1.759"
"342","342.0174","0.897"
"343","343.0243","30.828"
"344","344.0151","-3.586"
"345","345.0221","3.552"
"346","346.0126","0.103"
"347","347.0195","0.828"
"348","348.0106","0.966"
"349","349.0173","-0.103"
"350","350.0241","-0.586"
"351","351.0300","0.310"
"352","352.0355","-0.276"
"353","353.0410","-0.414"
"354","354.0466","0.000"
"355","355.0046","0.483"
"356","355.9943","0.034"
"357","357.0000","0.931"
"358","358.0054","1.793"
"359","359.0108","1.517"
"361","361.0235","0.483"
"362","362.0162","0.276"
"363","363.0090","0.586"
"364","364.0177","1.586"
"365","365.0426","1.000"
"366","366.0192","-0.103"
"367","367.0120","-0.069"
"368","368.0209","-0.483"
"369","369.0137","-0.207"
"370","370.0228","0.621"
"371","370.9977","0.586"
"372","372.0194","-0.862"
"373","373.0246","0.069"
"374","373.9984","1.724"
"375","375.0038","0.724"
"376","376.0091","1.517"
"377","376.9829","1.552"
"378","378.0044","0.690"
"379","378.9941","0.207"
"380","379.9837","1.138"
"381","380.9904","1.690"
