Viewer version,2.84,
Measure start time,"Wednesday, January 16, 2019 6:36:05 AM",
Type of measurement,Flow [Linearized],
Sampling interval [ms],1000,
Timing information,Relative,
Article code,SLI-1000            ,
Serial Number,174900039,
COM HW Type,RS485/USB Sensor Cable,
COM HW Config,"Config String: COM3, 115200, ECHOOFF",
Sensor Cable Version,1.7,
I2C Address,64,
Scale Factor,29,
Resolution (bit),16,
Calibration Field,0,
Sample #,Relative Time[s],Flow [ul/min]
306,306.0161,-1.586
307,307.0221,-2.138
308,308.0279,-0.586
309,309.0178,1.414
310,310.0239,0.793
311,311.0313,0.966
312,312.0234,1.655
313,313,-0.862
314,314.0081,-1.276
315,315.0323,-0.241
316,315.9929,0.31
317,317.0013,1.069
318,318.0099,2.103
319,319.0184,-0.552
320,320.0107,-1.759
321,321.0015,0.759
322,322.0072,0.862
323,323.0289,0.897
324,324.0185,1.828
325,325.0084,0.793
326,326.0142,-1.483
327,326.9882,1.172
328,327.9941,3.31
329,329.032,1
330,329.9903,-0.069
331,331.0133,-0.138
332,332.0208,-0.69
333,333.0284,-1.069
334,334.0036,2.241
335,334.995,2.241
336,336.0023,2.379
337,336.9935,2.276
338,338.0009,0.483
339,338.9924,-1.241
340,339.9999,1
341,341.0073,0.586
342,341.9989,0.724
343,342.9905,1.448
344,344.0141,-0.621
345,345.0057,-1.931
346,346.0129,-0.414
347,346.9885,-0.207
348,347.9961,-1.345
349,349.0193,0.517
350,350.0267,1.621
351,351.0329,-0.724
352,351.9911,-1.207
353,352.9968,0.586
354,354.0027,-0.241
355,354.9928,-0.621
356,356.0146,2.172
357,356.9724,1.31
358,358.0266,-0.621
359,359.0005,-0.069
360,359.9903,0.034
361,360.9966,-0.655
362,361.9875,1.138
363,362.9943,0.034
364,363.9851,0
365,364.9758,1.172
366,365.9988,0.862
367,366.9739,-0.517
368,367.9807,-0.586
369,369.0038,0.552
370,370.0105,-0.793
371,370.9864,-0.552
372,371.9943,1.414
373,372.9701,-0.138
374,373.9779,0.172
375,374.9857,2.793
376,375.9932,2.276
377,376.9852,-0.207
378,377.977,-0.069
379,378.9848,0
