"Viewer version","2.84"
"Measure start time","Wednesday, January 16, 2019 12:12:47 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"208","208.0314","0.138"
"209","209.0057","0.138"
"210","209.9966","-0.034"
"211","211.0203","-0.345"
"212","212.0123","-0.310"
"213","213.0040","0.138"
"214","214.0123","-0.448"
"215","215.0365","-0.207"
"216","216.0122","-0.034"
"217","217.0201","-0.276"
"218","218.0123","-0.793"
"219","219.0043","-0.759"
"220","220.0124","-0.138"
"221","221.0197","-0.241"
"222","222.0116","0.621"
"223","223.0190","0.621"
"224","224.0267","0.724"
"225","225.0342","0.931"
"226","226.0098","0.517"
"227","227.0173","1.103"
"228","227.9929","0.207"
"229","229.0165","-0.379"
"230","230.0241","0.828"
"231","231.0151","1.379"
"232","232.0226","0.759"
"233","233.0299","1.379"
"234","233.9892","0.586"
"235","234.9964","0.793"
"236","236.0037","0.724"
"237","237.0108","0.724"
"238","238.0022","0.241"
"239","239.0095","0.172"
"240","240.0008","-0.207"
"241","240.9912","-0.483"
"242","241.9978","-0.207"
"243","243.0043","-0.069"
"244","243.9787","-0.690"
"245","245.0010","-0.172"
"246","246.0073","-1.517"
"247","247.0138","0.000"
"248","248.0043","-0.138"
"249","248.9946","0.103"
"250","250.0011","0.207"
"251","250.9934","0.000"
"252","252.0022","-0.552"
"253","253.0106","-0.586"
"254","254.0038","0.310"
"255","255.0125","0.034"
"256","255.9890","-0.483"
"257","256.9821","-0.586"
"258","257.9750","-0.966"
"259","258.9997","-0.759"
"260","259.9925","-1.724"
"261","261.0327","-1.793"
"262","261.9926","-1.000"
"263","263.0165","-0.828"
"264","263.9764","-0.069"
"265","264.9843","-0.552"
"266","265.9921","0.345"
"267","267.0000","1.483"
"268","268.0239","1.483"
"269","269.0316","1.000"
"270","269.9915","0.724"
"271","270.9831","-0.172"
"272","271.9904","-0.379"
"273","272.9975","0.517"
"274","274.0046","0.759"
"275","274.9798","0.931"
"276","276.0026","1.000"
"277","277.0101","1.103"
"278","278.0172","0.759"
"279","279.0084","0.414"
"280","280.0154","0.103"
"281","280.9909","-1.069"
"282","281.9664","-2.621"
"316","315.9990","18.379"
"317","317.0067","18.172"
"318","317.9831","17.276"
"319","318.9750","15.931"
"320","319.9835","16.897"
"321","320.9743","17.000"
"322","321.9801","16.828"
"323","322.9860","17.724"
"324","323.9595","17.724"
"325","324.9654","17.069"
"326","325.9555","17.379"
"327","326.9932","16.897"
"328","327.9673","16.586"
"329","328.9576","16.379"
"330","329.9475","17.414"
"331","330.9871","17.793"
"332","331.9641","18.483"
"333","332.9739","19.034"
"334","333.9993","18.690"
"335","334.9603","18.207"
"336","335.9693","17.931"
"337","336.9785","18.483"
"338","337.9880","18.103"
"339","338.9814","19.586"
"340","340.0064","18.448"
"341","340.9826","17.655"
"342","342.0051","18.552"
"343","342.9797","18.759"
"344","343.9542","19.034"
"345","344.9607","19.034"
"346","345.9674","19.207"
"347","346.9737","19.000"
"348","347.9641","18.862"
"349","348.9868","18.690"
"350","349.9774","19.586"
"351","350.9850","13.552"
"352","351.9776","17.621"
"353","352.9701","16.793"
"354","353.9623","16.828"
"355","354.9554","18.793"
"356","355.9636","19.000"
"357","356.9725","18.759"
"358","357.9648","19.655"
"359","358.9737","19.931"
"360","359.9823","18.621"
"361","360.9738","18.483"
"362","361.9643","18.690"
"363","362.9866","18.103"
"364","363.9772","13.138"
"365","364.9838","15.448"
"366","365.9583","16.138"
"367","366.9487","16.448"
"368","367.9548","17.207"
"369","368.9616","18.828"
"370","369.9680","18.483"
"371","370.9436","17.897"
"372","371.9846","18.862"
"373","372.9616","18.138"
"374","373.9545","18.655"
"375","374.9635","19.069"
"376","375.9725","19.000"
"377","376.9812","19.103"
"378","377.9424","18.138"
"379","378.9513","18.586"
"380","379.9603","19.310"
"381","380.9846","18.621"
"382","381.9920","18.034"
"383","382.9678","19.448"
"384","383.9436","18.793"
"385","384.9516","19.517"
"386","385.9590","19.000"
"387","386.9827","18.310"
"388","387.9586","17.586"
"389","388.9501","17.448"
"390","389.9577","17.897"
"391","390.9814","18.103"
"392","391.9728","17.448"
"393","392.9641","18.448"
"394","393.9714","18.000"
"395","394.9791","17.931"
"426","425.9236","0.793"
"427","426.9306","0.586"
"428","427.9540","0.310"
"429","428.9296","0.552"
"430","429.9208","0.621"
"431","430.9610","0.103"
"432","431.9544","-1.034"
"433","432.9321","-0.103"
"434","433.9257","0.103"
"435","434.9676","-1.034"
"436","435.9292","-0.862"
"437","436.9390","-2.621"
"438","437.9322","-1.448"
"439","438.9586","-0.448"
"440","439.9517","-1.345"
"441","440.9450","-0.069"
"442","441.9527","0.000"
"443","442.9601","-0.448"
"444","443.9352","-1.034"
"445","444.9425","-0.931"
"446","445.9500","0.172"
"447","446.9576","0.345"
"448","447.9328","0.207"
"449","448.9562","0.379"
"450","449.9638","0.448"
"451","450.9708","0.103"
"452","451.9285","-1.414"
"453","452.9662","-0.241"
"454","453.9718","-0.276"
"455","454.9295","-0.793"
"456","455.9352","0.172"
"457","456.9249","-0.034"
"458","457.9147","0.172"
"459","458.9522","0.069"
"460","459.9416","0.448"
"461","460.9483","0.207"
"462","461.9087","0.966"
"463","462.9492","0.966"
"464","463.9095","0.621"
"465","464.9340","0.966"
"466","465.9582","1.414"
"467","466.9185","0.759"
"468","467.9273","0.759"
"469","468.9198","0.586"
"470","469.9281","0.310"
"471","470.9524","1.138"
"472","471.9444","0.724"
"473","472.9523","0.759"
"474","473.9120","0.069"
"475","474.9362","0.207"
"476","475.9601","0.483"
"477","476.9201","-0.172"
"478","477.9119","0.241"
"479","478.9199","-0.138"
"480","479.9435","-0.034"
"481","480.9195","-0.276"
"482","481.9270","0.207"
"483","482.9501","0.241"
"484","483.9575","-0.414"
"485","484.9165","-0.069"
"486","485.9560","0.069"
"487","486.9151","-0.621"
"488","487.9387","-0.241"
"489","488.9616","-0.552"
"490","489.9372","-0.414"
"491","490.9287","-0.172"
"492","491.9046","-0.655"
"493","492.9130","-0.931"
"494","493.9216","-1.862"
