"Viewer version","2.84"
"Measure start time","Tuesday, January 15, 2019 11:16:55 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"213","212.9741","-0.690"
"214","213.9973","0.276"
"215","214.9884","0.241"
"216","215.9960","-0.621"
"217","217.0033","-0.345"
"218","217.9782","0.586"
"219","218.9856","0.034"
"220","220.0091","-0.069"
"221","220.9698","-0.276"
"222","221.9795","-0.034"
"223","222.9735","0.241"
"224","223.9825","-0.103"
"225","224.9767","0.483"
"226","226.0021","0.517"
"227","226.9958","-0.138"
"228","228.0054","-0.138"
"229","228.9830","-0.207"
"230","230.0247","-1.069"
"231","230.9846","-0.414"
"232","232.0079","0.655"
"233","232.9993","0.828"
"234","233.9907","1.379"
"235","235.0138","0.897"
"236","235.9895","0.310"
"237","237.0127","1.828"
"238","237.9882","1.172"
"239","238.9798","0.448"
"240","239.9868","0.448"
"241","241.0097","1.931"
"242","241.9680","1.241"
"243","243.0059","1.379"
"244","243.9965","0.448"
"245","244.9868","0.276"
"246","245.9771","0.517"
"247","246.9833","0.517"
"248","247.9736","0.724"
"249","248.9798","1.241"
"250","249.9857","1.310"
"251","251.0101","0.345"
"252","251.9707","0.517"
"253","252.9797","0.207"
"254","253.9884","0.345"
"255","254.9813","0.241"
"256","255.9738","-0.345"
"257","256.9670","0.690"
"258","257.9917","0.310"
"259","258.9846","0.586"
"260","260.0092","0.862"
"261","260.9849","0.828"
"262","262.0080","0.690"
"263","262.9827","1.552"
"264","263.9900","0.483"
"265","264.9651","0.586"
"266","265.9721","1.207"
"267","266.9791","2.448"
"268","268.0020","1.655"
"269","268.9930","1.483"
"270","270.0000","1.000"
"271","271.0066","0.724"
"272","271.9650","1.310"
"273","272.9552","-0.103"
"274","273.9615","0.103"
"275","274.9517","0.345"
"276","275.9740","0.000"
"277","276.9801","0.103"
"278","277.9705","2.000"
"279","278.9925","0.759"
"280","279.9348","0.759"
"281","280.9430","1.448"
"282","281.9523","-0.069"
"283","282.9455","-0.034"
"284","283.9709","-0.379"
"285","284.9802","-0.103"
"286","285.9895","0.586"
