"Viewer version","2.84"
"Measure start time","Tuesday, January 15, 2019 12:29:04 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"308","307.9635","1.069"
"309","308.9528","2.793"
"310","309.9425","1.931"
"311","310.9503","3.034"
"312","311.9598","2.310"
"313","312.9693","1.034"
"314","313.9629","0.552"
"315","314.9561","0.724"
"316","315.9498","0.414"
"317","316.9595","1.034"
"318","317.9527","-0.862"
"319","318.9621","0.724"
"320","319.9714","1.172"
"321","320.9473","-1.621"
"322","321.9539","0.586"
"323","322.9607","1.586"
"324","323.9670","2.034"
"325","324.9736","2.966"
"326","325.9643","2.138"
"327","326.9389","0.690"
"328","327.9456","0.724"
"329","328.9681","0.069"
"330","329.9746","-0.414"
"331","330.9338","1.276"
"332","331.9575","0.828"
"333","332.9648","1.414"
"334","333.9568","2.138"
"335","334.9325","1.724"
"336","335.9403","1.793"
"337","336.9800","2.552"
"338","337.9556","0.414"
"339","338.9474","0.931"
"340","339.9711","0.172"
"341","340.9467","0.241"
"342","341.9540","0.931"
"343","342.9772","0.724"
"344","343.9364","1.000"
"345","344.9440","1.655"
"346","345.9513","1.621"
"347","346.9586","1.276"
"348","347.9498","1.345"
"349","348.9574","1.586"
"350","349.9646","1.586"
"351","350.9245","1.103"
"352","351.9324","0.276"
"353","352.9408","0.862"
"354","353.9328","0.517"
"355","354.9250","0.690"
"356","355.9495","1.414"
"357","356.9253","0.241"
"358","357.9336","1.241"
"359","358.9258","1.724"
"360","359.9500","0.828"
"361","360.9421","1.103"
"362","361.9339","2.552"
"363","362.9255","3.517"
"364","363.9334","3.034"
"365","364.9412","2.759"
"366","365.9488","0.276"
"367","366.9724","0.966"
"368","367.9641","1.517"
"369","368.9398","-0.690"
"370","369.9796","1.000"
"371","370.9391","0.207"
"372","371.9462","-0.276"
"373","372.9535","0.241"
"374","373.9444","0.276"
"375","374.9515","-0.517"
"376","375.9270","-0.586"
"377","376.9502","-1.172"
"378","377.9415","1.966"
"379","378.9647","3.552"
"415","414.9149","16.897"
"416","415.9222","14.759"
"417","416.9135","15.517"
"418","417.9372","17.345"
"419","418.9130","14.483"
"420","419.9054","16.655"
"421","420.9282","18.172"
"422","421.9367","16.000"
"423","422.9292","17.414"
"424","423.9213","15.207"
"425","424.8980","15.103"
"426","425.9223","16.034"
"427","426.8991","14.621"
"428","427.9075","15.241"
"429","428.8999","16.000"
"430","429.9403","15.724"
"431","430.9000","15.897"
"432","431.9055","16.276"
"433","432.9113","16.586"
"434","433.9171","16.897"
"435","434.9069","16.138"
"436","435.8964","15.483"
"437","436.9023","16.000"
"438","437.9080","16.828"
"439","438.8978","16.276"
"440","439.8877","16.103"
"441","440.8946","15.483"
"442","441.8882","15.655"
"443","442.8983","14.655"
"444","443.8757","14.724"
"445","444.8858","14.966"
"446","445.8956","14.655"
"447","446.9217","15.931"
"448","447.8830","15.690"
"449","448.9251","15.138"
"450","449.9188","17.759"
"451","450.9278","16.862"
"452","451.8866","17.034"
"453","452.9094","18.379"
"454","453.8842","16.724"
"455","454.8910","17.414"
"456","455.9298","17.310"
"457","456.9044","15.241"
"458","457.9275","15.828"
"459","458.9019","16.000"
"460","459.8928","14.552"
"461","460.8996","15.483"
"462","461.9055","15.310"
"463","462.8795","16.345"
"464","463.8853","16.966"
"465","464.9072","14.759"
"466","465.9130","16.931"
"467","466.8711","16.793"
"468","467.8768","17.103"
"469","468.8828","16.586"
"470","469.8884","15.586"
"471","470.8794","16.414"
"472","471.8891","17.345"
"473","472.8985","17.483"
"474","473.9080","17.828"
"475","474.8857","15.414"
"476","475.8791","14.793"
"477","476.9208","15.517"
"478","477.8823","14.586"
"479","478.8919","15.172"
"480","479.8851","16.172"
"481","480.8945","14.862"
"482","481.9174","16.931"
"483","482.8763","16.621"
"484","483.8836","18.069"
"485","484.8907","18.517"
"486","485.9139","17.172"
"487","486.8727","17.517"
"528","527.8809","1.621"
"529","528.8555","3.103"
"530","529.8626","0.483"
"531","530.8859","1.655"
"532","531.8936","-0.793"
"533","532.8691","0.724"
"534","533.8610","2.862"
"535","534.8849","2.793"
"536","535.8444","3.069"
"537","536.8683","1.448"
"538","537.8762","0.966"
"539","538.8678","0.724"
"540","539.8594","2.172"
"541","540.8682","1.034"
"542","541.8582","2.379"
"543","542.8489","1.379"
"544","543.8718","-0.897"
"545","544.8628","0.241"
"546","545.8695","-1.276"
"547","546.8444","0.448"
"548","547.8357","1.448"
"549","548.8746","-0.034"
"550","549.8334","1.345"
"551","550.8404","-0.483"
"552","551.8318","-1.379"
"553","552.8551","-0.724"
"554","553.8625","-0.931"
"555","554.8378","-0.345"
"556","555.8449","-0.759"
"557","556.8526","-1.138"
"558","557.8438","-0.759"
"559","558.8514","-0.828"
"560","559.8588","-0.414"
"561","560.8342","1.414"
"562","561.8412","0.172"
"563","562.8483","0.414"
"564","563.8551","0.483"
"565","564.8461","-0.379"
"566","565.8689","1.207"
"567","566.8441","1.310"
"568","567.8350","1.862"
"569","568.8260","2.931"
"570","569.8330","-0.586"
"571","570.8399","0.828"
"572","571.8316","0.276"
"573","572.8400","1.172"
"574","573.8480","2.310"
"575","574.8400","0.966"
"576","575.8481","0.931"
"577","576.8561","0.828"
"578","577.8322","0.207"
"579","578.8242","1.414"
"580","579.8642","0.931"
"581","580.8242","0.586"
"582","581.8323","0.103"
"583","582.8249","0.241"
"584","583.8173","1.931"
"585","584.8256","1.310"
"586","585.8499","0.931"
"587","586.8582","1.207"
"588","587.8663","-0.862"
"589","588.8266","-0.241"
"590","589.8189","1.000"
"591","590.8271","0.345"
"592","591.8194","2.759"
"593","592.8438","1.897"
"594","593.8196","0.517"
"595","594.8281","1.276"
"596","595.8520","-0.310"
"597","596.8446","1.483"
"598","597.8364","2.897"
"599","598.8447","1.621"
"600","599.8531","2.483"
"601","600.8452","2.000"
