"Viewer version","2.84"
"Measure start time","Tuesday, January 15, 2019 12:41:02 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"237","236.9838","-0.862"
"238","237.9434","-1.345"
"239","238.9516","-0.379"
"240","239.9757","-0.069"
"241","240.9825","-1.414"
"242","241.9406","0.966"
"243","242.9630","-1.103"
"244","243.9374","-0.862"
"245","244.9438","1.448"
"246","245.9339","3.207"
"247","246.9238","2.310"
"248","247.9461","5.034"
"249","248.9363","1.793"
"250","249.9426","2.414"
"251","250.9175","1.138"
"252","251.9258","0.586"
"253","252.9500","0.621"
"254","253.9581","2.448"
"255","254.9181","-0.621"
"256","255.9261","0.103"
"257","256.9342","1.310"
"258","257.9263","1.207"
"259","258.9344","1.138"
"260","259.9425","1.207"
"261","260.9664","-1.000"
"262","261.9423","-0.690"
"263","262.9182","-0.103"
"264","263.9260","0.310"
"265","264.9178","-0.552"
"266","265.9257","0.103"
"267","266.9335","0.241"
"268","267.9254","1.034"
"269","268.9330","1.207"
"270","269.9410","-0.241"
"271","270.9489","0.517"
"272","271.9568","1.276"
"273","272.9166","1.345"
"274","273.9405","2.207"
"275","274.9323","0.276"
"276","275.9239","-1.345"
"277","276.9317","0.276"
"278","277.9401","2.621"
"279","278.9159","0.517"
"280","279.9237","2.138"
"281","280.9309","-0.517"
"282","281.9221","-1.069"
"283","282.9452","-0.103"
"284","283.9362","-1.172"
"285","284.9111","0.828"
"286","285.9178","5.828"
"287","286.9091","0.621"
"288","287.9322","-0.069"
"289","288.9069","1.586"
"290","289.9142","-0.621"
"291","290.9209","-0.793"
"292","291.9276","-0.690"
"293","292.9344","0.897"
"294","293.9089","-1.034"
"295","294.9477","-1.241"
"296","295.9223","-1.379"
"297","296.8970","0.310"
"298","297.9197","0.138"
"299","298.9104","1.069"
"300","299.9171","2.000"
"301","300.8924","0.793"
"302","301.9009","0.379"
"303","302.9093","-0.276"
"304","303.8854","-0.069"
"305","304.8941","-1.552"
"306","305.9025","-0.517"
"307","306.9108","-0.379"
"308","307.9032","-0.414"
"309","308.9276","0.103"
"310","309.9038","-1.034"
"311","310.9118","1.897"
"312","311.9027","1.207"
"313","312.9093","-2.414"
"314","313.9162","0.310"
"315","314.9074","1.897"
"316","315.9142","-0.310"
"317","316.9211","2.207"
"318","317.8799","0.552"
"319","318.9188","2.724"
"320","319.9257","1.310"
"321","320.8853","-1.759"
"322","321.8943","-1.172"
"323","322.8872","0.034"
"324","323.9122","-0.931"
"325","324.9053","1.138"
"326","325.8980","3.310"
"327","326.8910","-0.862"
"328","327.8839","0.000"
"329","328.8932","-0.414"
"330","329.9022","-2.069"
"331","330.8943","2.034"
"332","331.9006","-0.897"
"333","332.8905","-0.069"
"334","333.8968","0.069"
"335","334.9031","-0.172"
"336","335.9092","0.931"
"337","336.9154","-1.448"
"338","337.8899","-2.552"
"374","373.8944","6.414"
"375","374.8529","5.172"
"376","375.8595","5.621"
"377","376.8500","4.759"
"378","377.8728","4.103"
"379","378.8791","5.483"
"380","379.9015","7.172"
"381","380.8770","8.621"
"382","381.8858","5.621"
"383","382.8629","6.448"
"384","383.8560","6.552"
"385","384.8489","5.448"
"386","385.8895","6.828"
"387","386.8506","3.759"
"388","387.8599","4.379"
"389","388.8688","6.759"
"390","389.8778","6.931"
"391","390.8864","4.862"
"392","391.8767","7.276"
"393","392.8675","8.207"
"394","393.8741","8.241"
"395","394.8806","7.931"
"396","395.8873","5.414"
"397","396.8939","4.345"
"398","397.8683","6.379"
"399","398.8427","5.966"
"400","399.8656","6.000"
"401","400.8564","6.000"
"402","401.8648","5.000"
"403","402.8894","5.345"
"404","403.8495","6.379"
"405","404.8418","5.172"
"406","405.8827","5.793"
"407","406.8592","5.931"
"408","407.8516","5.724"
"409","408.8598","5.172"
"410","409.8684","5.724"
"411","410.8608","4.690"
"412","411.8522","5.862"
"413","412.8758","5.828"
"414","413.8670","4.103"
"415","414.8579","5.414"
"416","415.8654","6.552"
"417","416.8564","5.724"
"418","417.8640","4.897"
"419","418.8713","7.621"
"420","419.8625","5.690"
"421","420.8697","5.586"
"422","421.8758","7.966"
"423","422.8500","5.241"
"424","423.8401","5.586"
"425","424.8299","8.517"
"426","425.8680","7.759"
"427","426.8262","5.690"
"428","427.8326","7.345"
"429","428.8705","6.828"
"430","429.8126","4.724"
"431","430.8187","9.724"
"432","431.8280","7.828"
"433","432.8206","6.345"
"434","433.8300","7.069"
"435","434.8228","8.172"
"436","435.8159","6.000"
"437","436.8245","6.793"
"438","437.8499","6.034"
"439","438.8426","5.069"
"440","439.8358","6.138"
"441","440.8450","5.379"
"442","441.8370","5.655"
"443","442.8449","6.379"
"444","443.8531","4.690"
"445","444.8450","5.414"
"446","445.8530","6.379"
"447","446.8611","6.828"
"448","447.8692","5.414"
"449","448.8770","6.655"
"450","449.8689","7.793"
"451","450.8294","7.310"
"452","451.8356","7.897"
"453","452.8261","8.000"
"454","453.8162","8.414"
"455","454.8226","8.862"
"456","455.8608","4.552"
"457","456.8352","6.517"
"458","457.8416","5.655"
"459","458.8635","3.241"
"460","459.8222","5.448"
"461","460.8285","5.621"
"462","461.8028","5.621"
"463","462.8096","6.034"
"464","463.7998","8.276"
"465","464.8066","5.690"
"466","465.8446","6.517"
"467","466.8031","4.172"
"468","467.7940","7.483"
"517","516.7873","0.897"
"518","517.7781","-0.759"
"519","518.8013","-1.793"
"520","519.7927","0.034"
"521","520.7839","-0.621"
"522","521.7935","-0.690"
"523","522.8013","0.621"
"524","523.8106","-2.310"
"525","524.8040","-0.448"
"526","525.7809","1.966"
"527","526.7743","3.138"
"528","527.7833","1.759"
"529","528.7926","0.621"
"530","529.7858","-0.724"
"531","530.7788","-0.759"
"532","531.8014","0.517"
"533","532.8066","-0.138"
"534","533.8123","0.724"
"535","534.7699","-1.172"
"536","535.8073","0.759"
"537","536.7650","0.724"
"538","537.7704","-0.034"
"539","538.8079","1.241"
"540","539.7653","0.138"
"541","540.7706","-0.172"
"542","541.7632","-1.655"
"543","542.8046","-1.207"
"544","543.7496","-1.862"
"545","544.7753","0.000"
"546","545.7847","0.448"
"547","546.7620","-1.690"
"548","547.7874","-2.931"
"549","548.7964","-0.103"
"550","549.7901","-0.517"
"551","550.8152","-0.241"
"552","551.7752","0.517"
"553","552.7824","0.241"
"554","553.7574","-0.655"
"555","554.7647","-1.034"
"556","555.7881","-0.448"
"557","556.7791","0.103"
"558","557.7866","-0.483"
"559","558.7939","0.172"
"560","559.8011","1.172"
"561","560.8082","0.034"
"562","561.7679","0.379"
"563","562.7756","0.172"
"564","563.7672","-0.207"
"565","564.7751","1.379"
"566","565.7668","0.621"
"567","566.7581","-0.621"
"568","567.7822","-0.448"
"569","568.7739","-1.241"
"570","569.7817","-0.655"
"571","570.7893","-0.655"
"572","571.7966","0.172"
"573","572.7564","-0.586"
"574","573.7480","0.345"
"575","574.7555","-0.207"
"576","575.7629","0.069"
"577","576.7701","0.345"
"578","577.7620","-1.172"
"579","578.7853","1.138"
"580","579.7771","-1.414"
"581","580.7848","-0.103"
"582","581.7427","3.517"
"583","582.7486","-0.517"
"584","583.7863","1.138"
"585","584.7439","0.862"
"586","585.7496","-0.586"
"587","586.7711","0.000"
"588","587.7608","0.931"
"589","588.7664","1.241"
"590","589.7239","2.448"
"591","590.7295","2.966"
"592","591.7368","-0.414"
"593","592.7291","1.241"
"594","593.7535","-0.621"
"595","594.7298","1.379"
"596","595.7542","1.345"
"597","596.7303","-1.034"
"598","597.7389","0.793"
"599","598.7472","0.138"
"600","599.7716","-1.621"
"601","600.7476","1.379"
"602","601.7245","-0.517"
"603","602.7330","-2.690"
"604","603.7418","-2.655"
"605","604.7505","-0.828"
"606","605.7592","-0.207"
"607","606.7678","-0.552"
"608","607.7285","-2.103"
"609","608.7372","0.138"
"610","609.7615","-0.448"
"611","610.7542","-1.000"
"612","611.7614","-0.690"
"613","612.7356","0.414"
"614","613.7416","-1.414"
"615","614.7476","0.517"
"616","615.7218","-0.828"
