"Viewer version","2.84"
"Measure start time","Saturday, January 19, 2019 5:40:57 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"502","501.9458","-0.276"
"503","502.9523","0.207"
"504","503.9590","1.345"
"505","504.9177","0.276"
"506","505.9563","0.138"
"507","506.9150","0.138"
"508","507.9056","0.414"
"509","508.9442","-0.483"
"510","509.9187","0.621"
"511","510.9097","0.103"
"512","511.9180","-0.034"
"513","512.9258","0.034"
"514","513.9176","0.414"
"515","514.9258","-0.414"
"516","515.9175","-0.345"
"517","516.9254","-0.069"
"518","517.9497","-0.310"
"519","518.9251","-0.586"
"520","519.9335","1.000"
"521","520.9571","1.172"
"522","521.9485","-0.069"
"523","522.9399","0.586"
"524","523.9153","0.414"
"525","524.9385","0.483"
"526","525.9137","0.069"
"527","526.9213","0.759"
"528","527.9446","0.552"
"529","528.9199","-0.379"
"530","529.9272","0.517"
"531","530.9342","0.345"
"532","531.9079","0.414"
"533","532.9137","-0.276"
"534","533.9191","0.414"
"535","534.9565","-0.172"
"536","535.9302","-0.793"
"537","536.9199","-0.172"
"538","537.9255","0.207"
"539","538.8993","-0.138"
"540","539.9367","-0.448"
"541","540.9427","0.034"
"542","541.9345","0.000"
"543","542.9104","-0.103"
"544","543.9182","0.379"
"545","544.9421","0.103"
"546","545.9180","-0.310"
"547","546.9099","0.172"
"548","547.9334","0.172"
"549","548.9096","0.483"
"550","549.9334","0.897"
"551","550.9091","0.241"
"552","551.9156","0.103"
"553","552.9536","0.000"
"554","553.9125","0.655"
"555","554.9508","-0.103"
"556","555.9093","-0.310"
"557","556.9158","-0.069"
"558","557.9223","-0.310"
"559","558.8969","-0.759"
"560","559.9189","-0.759"
"561","560.9099","-0.207"
"562","561.9184","-0.207"
"563","562.9269","-0.448"
"564","563.9035","0.448"
"565","564.9117","0.172"
"566","565.9521","0.034"
"567","566.9288","0.345"
"568","567.9214","1.034"
"569","568.9460","0.448"
"570","569.9384","-1.310"
"571","570.9622","-0.207"
"572","571.9203","0.690"
"573","572.9101","-0.448"
"574","573.9157","-0.172"
"575","574.9374","0.276"
"576","575.9270","0.345"
"577","576.9168","-0.276"
"578","577.9067","0.345"
"579","578.9123","0.655"
"580","579.9021","-0.034"
"581","580.9080","-0.241"
"582","581.9145","0.000"
"583","582.9048","0.000"
"648","647.9214","21.621"
"649","648.9437","22.207"
"650","649.9024","20.276"
"651","650.9094","20.069"
"652","651.9144","21.345"
"653","652.9037","21.000"
"654","653.9091","20.552"
"655","654.8829","21.276"
"656","655.9046","21.483"
"657","656.8940","20.276"
"658","657.8991","21.241"
"659","658.8730","21.000"
"660","659.8947","20.586"
"661","660.9002","24.586"
"662","661.9241","24.517"
"663","662.9002","23.724"
"664","663.9242","21.655"
"665","664.8842","21.828"
"666","665.9083","21.483"
"667","666.8841","21.345"
"668","667.8761","21.793"
"669","668.8841","21.310"
"670","669.8919","21.172"
"671","670.9159","21.483"
"672","671.8903","21.586"
"673","672.9125","21.034"
"674","673.9029","21.103"
"675","674.9093","21.207"
"676","675.9154","20.828"
"677","676.9219","21.207"
"678","677.8801","21.793"
"679","678.8863","19.000"
"680","679.8764","20.655"
"681","680.8988","21.310"
"682","681.8755","21.103"
"683","682.9010","20.862"
"684","683.9098","20.862"
"685","684.9191","20.621"
"686","685.9280","20.724"
"687","686.9055","20.621"
"688","687.8824","21.345"
"689","688.8915","20.897"
"690","689.9006","21.103"
"691","690.8937","21.517"
"692","691.9005","21.172"
"693","692.9071","20.241"
"694","693.9136","20.552"
"695","694.9203","20.862"
"696","695.9266","20.897"
"697","696.8855","20.069"
"698","697.8918","19.966"
"699","698.8827","20.828"
"700","699.9053","20.483"
"701","700.8958","21.138"
"702","701.8864","21.034"
"703","702.8927","20.759"
"704","703.8994","21.103"
"705","704.9218","21.586"
"706","705.8961","20.345"
"707","706.9026","20.241"
"708","707.8775","21.000"
"709","708.8842","21.138"
"710","709.8905","20.793"
"711","710.8809","20.897"
"712","711.8880","20.897"
"713","712.8947","20.759"
"714","713.8858","21.034"
"715","714.8933","21.138"
"716","715.8841","20.448"
"717","716.8914","20.517"
"718","717.8982","20.655"
"719","718.9055","21.103"
"770","769.8694","-2.310"
"771","770.8756","0.069"
"772","771.8676","0.276"
"773","772.8918","0.276"
"774","773.8680","0.517"
"775","774.8761","0.552"
"776","775.8525","0.483"
"777","776.8609","0.759"
"778","777.9013","1.069"
"779","778.8935","-0.276"
"780","779.8698","-0.483"
"781","780.8939","0.069"
"782","781.8686","0.690"
"783","782.8584","-0.207"
"784","783.8643","0.172"
"785","784.8861","0.621"
"786","785.8599","0.172"
"787","786.8977","-0.207"
"788","787.8558","0.448"
"789","788.8615","0.276"
"790","789.8835","-0.724"
"791","790.8575","0.276"
"792","791.8651","-0.138"
"793","792.8733","-0.552"
"794","793.8975","0.172"
"795","794.8739","0.517"
"796","795.8665","0.414"
"797","796.8746","-0.310"
"798","797.8672","0.621"
"799","798.8756","0.483"
"800","799.8680","0.517"
"801","800.8764","0.069"
"802","801.8989","0.138"
"803","802.9052","0.207"
"804","803.8634","0.483"
"805","804.9018","0.172"
"806","805.9078","-0.138"
"807","806.8661","0.345"
"808","807.8563","0.103"
"809","808.8785","0.000"
"810","809.9006","0.414"
"811","810.8588","0.379"
"812","811.8649","-0.621"
"813","812.8549","0.241"
"814","813.8607","0.966"
"815","814.8504","-0.276"
"816","815.8566","-0.172"
"817","816.8626","0.724"
"818","817.8684","-0.276"
"819","818.8743","-0.414"
"820","819.8799","0.724"
"821","820.8702","0.483"
"822","821.8771","0.483"
"823","822.8685","0.034"
"824","823.8760","0.517"
"825","824.8511","-0.172"
"826","825.8909","0.310"
"827","826.8501","0.759"
"828","827.8417","0.069"
"829","828.8652","-0.172"
"830","829.8566","0.414"
"831","830.8637","0.379"
"832","831.8545","0.207"
"833","832.8455","0.828"
"834","833.8517","0.621"
"835","834.8583","0.103"
"836","835.8648","-0.621"
"837","836.8874","0.414"
"838","837.8456","0.724"
"839","838.8526","0.793"
"840","839.8591","0.690"
"841","840.8495","0.724"
"842","841.8568","0.862"
"843","842.8654","1.034"
"844","843.8736","0.759"
"845","844.8818","0.000"
"846","845.8421","-0.069"
"847","846.8823","-0.379"
"848","847.8585","-1.586"
"849","848.8828","-3.724"
"850","849.8590","-3.276"
"851","850.8513","-2.931"
"852","851.8909","-2.310"
"853","852.8662","-2.103"
"854","853.8573","-1.379"
"855","854.8485","-1.207"
"856","855.8556","-0.724"
"857","856.8788","-0.759"
"858","857.8698","-0.759"
"859","858.8453","-0.379"
"860","859.8682","-0.138"
"861","860.8599","0.483"
"862","861.8662","0.552"
"863","862.8721","0.414"
"864","863.8622","0.345"
"865","864.8682","-0.517"
"866","865.8741","0.724"
"867","866.8802","0.690"
"868","867.8542","0.621"
