"Viewer version","2.84"
"Measure start time","Friday, January 18, 2019 11:00:19 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"236","236.0797","1.138"
"237","237.0702","0.345"
"238","238.0613","0.448"
"239","239.0522","0.586"
"240","240.0596","0.621"
"241","241.0986","1.724"
"242","242.0745","-0.414"
"243","243.0659","1.138"
"244","244.0732","1.517"
"245","245.0649","0.931"
"246","246.0722","0.414"
"247","247.0798","1.000"
"248","248.0553","2.034"
"249","249.0787","1.345"
"250","250.0704","1.379"
"251","251.0768","0.828"
"252","252.0990","1.517"
"253","253.0573","1.552"
"254","254.0795","0.724"
"255","255.0858","1.759"
"256","256.0757","1.483"
"257","257.0501","1.138"
"258","258.0566","0.621"
"259","259.0628","2.517"
"260","260.0692","1.379"
"261","261.0930","0.621"
"262","262.0527","0.759"
"263","263.0608","1.069"
"264","264.0687","0.483"
"265","265.0768","0.931"
"266","266.0848","1.276"
"267","267.0927","0.345"
"268","268.0526","0.655"
"269","269.0608","1.724"
"270","270.1009","1.379"
"271","271.0750","1.241"
"272","272.0494","0.862"
"273","273.0718","0.690"
"274","274.0621","1.241"
"275","275.0840","0.690"
"276","276.0746","0.414"
"277","277.0968","0.828"
"278","278.0550","0.828"
"279","279.0774","0.379"
"280","280.0675","0.897"
"281","281.0745","0.552"
"282","282.0501","1.241"
"283","283.0736","0.931"
"284","284.0808","0.241"
"285","285.0558","0.517"
"286","286.0636","1.069"
"287","287.0870","0.793"
"288","288.0940","0.034"
"289","289.0695","0.828"
"290","290.0768","1.241"
"291","291.0525","0.897"
"292","292.0602","1.862"
"293","293.0515","1.621"
"294","294.0592","1.586"
"295","295.0672","0.552"
"296","296.0749","1.034"
"297","297.0826","0.345"
"298","298.0903","0.690"
"299","299.0660","0.655"
"300","300.0576","0.586"
"301","301.0970","0.241"
"302","302.0564","0.552"
"303","303.0636","1.552"
"304","304.1028","1.069"
"305","305.0623","1.345"
"306","306.0855","0.552"
"307","307.0609","1.897"
"308","308.0843","2.138"
"309","309.0917","1.207"
"310","310.0829","0.759"
"311","311.0882","0.276"
"312","312.0935","0.034"
"313","313.0668","1.517"
"314","314.0722","0.655"
"315","315.0772","0.724"
"316","316.0667","-0.069"
"317","317.0559","-0.552"
"318","318.0768","0.517"
"319","319.0660","0.414"
"320","320.0873","-0.586"
"321","321.0629","-0.552"
"322","322.0392","-0.034"
"323","323.0478","-0.069"
"324","324.0725","-0.759"
"325","325.0809","-0.103"
"326","326.0731","1.276"
"327","327.0819","-0.172"
"328","328.0743","0.069"
"329","329.0829","-0.448"
"330","330.0750","-0.310"
"331","331.0508","-0.483"
"332","332.0745","0.310"
"333","333.0981","0.069"
"334","334.0895","0.448"
"335","335.0966","1.828"
"336","336.0723","6.931"
"337","337.0797","-0.759"
"338","338.0712","0.069"
"339","339.0629","-0.138"
"370","370.0463","6.793"
"371","371.0689","6.552"
"372","372.0755","6.517"
"373","373.0667","6.241"
"374","374.0414","6.414"
"375","375.0486","7.931"
"376","376.0870","8.172"
"377","377.0621","6.966"
"378","378.0691","7.241"
"379","379.0600","7.517"
"380","380.0512","7.276"
"381","381.0749","6.690"
"382","382.0676","7.862"
"383","383.0760","7.276"
"384","384.0691","6.379"
"385","385.0613","7.414"
"386","386.0702","7.414"
"387","387.0787","7.586"
"388","388.0875","7.483"
"389","389.0961","6.931"
"390","390.0725","7.414"
"391","391.0636","7.552"
"392","392.0704","7.517"
"393","393.0768","6.483"
