"Viewer version","2.84"
"Measure start time","Wednesday, January 16, 2019 8:55:06 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"255","255.0005","-0.828"
"256","256.0060","-1.172"
"257","257.0278","-0.655"
"258","258.0176","-0.655"
"259","259.0234","-0.828"
"260","259.9981","-1.000"
"261","261.0043","0.414"
"262","262.0276","-0.414"
"263","263.0199","-1.000"
"264","264.0120","-0.552"
"265","265.0197","-0.241"
"266","265.9953","-1.103"
"267","267.0194","-1.138"
"268","268.0277","-0.276"
"269","269.0196","-0.655"
"270","270.0113","-0.552"
"271","271.0025","0.310"
"272","272.0098","0.069"
"273","273.0170","-0.241"
"274","274.0240","0.379"
"275","275.0311","0.172"
"276","276.0063","0.103"
"277","277.0137","0.414"
"278","278.0208","0.379"
"279","279.0281","-0.207"
"280","280.0354","-0.483"
"281","280.9955","0.103"
"282","282.0038","-0.724"
"283","283.0443","-0.828"
"284","284.0046","0.483"
"285","285.0448","-0.517"
"286","286.0209","-0.207"
"287","287.0130","0.103"
"288","288.0532","0.483"
"289","289.0294","-0.379"
"290","290.0537","-0.069"
"291","291.0280","0.276"
"292","292.0338","-1.207"
"293","293.0239","-0.931"
"294","294.0456","-0.897"
"295","295.0511","-0.931"
"296","296.0091","-1.069"
"297","296.9991","-0.207"
"298","298.0049","-1.069"
"299","299.0105","-1.034"
"300","300.0161","-0.138"
"301","301.0237","-0.759"
"302","302.0168","-0.862"
"303","303.0252","0.034"
"304","304.0023","-0.759"
"305","305.0432","-0.724"
"306","306.0040","0.000"
"307","307.0449","-0.586"
"308","308.0216","-0.552"
"309","309.0149","0.517"
"310","310.0555","-0.379"
"311","311.0148","-0.483"
"312","312.0215","0.138"
"313","313.0121","-0.138"
"314","314.0186","-0.690"
"315","315.0253","3.552"
"316","316.0317","-0.172"
"317","317.0387","-0.862"
"318","318.0294","-0.069"
"319","319.0203","-0.241"
"320","320.0270","-0.828"
"321","321.0184","-0.724"
"322","322.0259","-0.414"
"323","323.0170","-1.379"
"324","324.0405","-1.034"
"325","325.0317","-0.621"
