"Viewer version","2.84"
"Measure start time","Wednesday, January 16, 2019 3:09:08 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"61","61.0809","-0.414"
"62","62.0705","-0.310"
"63","63.0768","1.310"
"64","64.0823","0.724"
"65","65.0720","0.069"
"66","66.0463","-0.345"
"67","67.0682","1.034"
"68","68.0738","-0.034"
"69","69.0638","-0.276"
"70","70.0699","-0.655"
"71","71.0627","-0.241"
"72","72.0713","0.379"
"73","73.0635","-0.345"
"74","74.0402","-0.966"
"75","75.0651","0.103"
"76","76.0419","1.069"
"77","77.0661","0.517"
"78","78.0587","-0.517"
"79","79.0677","-0.759"
"80","80.0441","0.897"
"81","81.0512","0.034"
"82","82.0588","-0.138"
"83","83.0663","0.138"
"84","84.0738","-0.345"
"85","85.0492","0.172"
"86","86.0726","-0.897"
"87","87.0800","-1.483"
"88","88.0713","-0.103"
"89","89.0467","0.414"
"90","90.0698","-0.448"
"91","91.0776","-0.655"
"92","92.0370","-0.517"
"93","93.0447","-0.103"
"94","94.0519","0.379"
"95","95.0596","-0.103"
"96","96.0672","-0.103"
"97","97.0587","1.241"
"98","98.0659","0.586"
"99","99.0414","-0.241"
"100","100.0488","-0.414"
"101","101.0726","-0.586"
"102","102.0800","0.552"
"103","103.0396","-0.586"
"104","104.0471","-0.552"
"105","105.0546","-0.207"
"106","106.0301","0.207"
"107","107.0533","-0.138"
"108","108.0771","-0.586"
"109","109.0526","-0.276"
"110","110.0760","-0.276"
"111","111.0673","-0.586"
"112","112.0422","-0.483"
"113","113.0338","-0.621"
"114","114.0729","-0.690"
"115","115.0318","0.138"
"116","116.0714","-0.379"
"117","117.0304","-0.759"
"118","118.0379","-0.759"
"119","119.0772","-0.483"
"120","120.0520","-0.345"
"121","121.0767","-0.552"
"122","122.0375","-0.414"
"123","123.0302","-0.138"
"124","124.0706","-0.724"
"125","125.0472","-0.759"
"126","126.0398","-0.414"
"127","127.0484","0.034"
"128","128.0411","0.034"
"199","199.0079","4.310"
"200","200.0155","4.103"
"201","201.0218","3.897"
"202","202.0123","3.483"
"203","203.0347","3.655"
"204","204.0252","4.069"
"205","205.0157","4.034"
"206","206.0378","3.828"
"207","207.0282","4.345"
"208","208.0187","3.724"
"209","209.0249","3.655"
"210","210.0157","3.724"
"211","211.0236","3.828"
"212","212.0167","3.793"
"213","213.0259","3.828"
"214","214.0353","3.931"
"215","215.0285","4.103"
"216","216.0215","4.000"
"217","217.0467","4.103"
"218","218.0395","4.034"
"219","219.0010","4.172"
"220","220.0581","4.103"
"221","221.0333","4.172"
